id,cau_hoi,A,B,C,D,dap_an,giai_thich
81,"When Tet holiday comes, Vietnamese people often feel inclined to ........................................ their houses.",do up,do through,do over,do in,A,"do up: trang trí, dọn dẹp lại nhà"
82,"Bob has a bad lung cancer and his doctor advised him to ........................................ smoking.",turn up,give up,take up,put up,B,"give up: từ bỏ thuốc lá"
83,"When he realized the police had spotted him, the man ........................................ the exit as quickly as possible.",made off,made for,made out,made up,B,"make for: hướng về phía lối thoát"
84,"The government is thinking of bringing ........................................ a law to make it compulsory for cyclists to wear crash helmets.",on,up,in,round,C,"bring in a law: ban hành một bộ luật mới"
85,"Susan was alone in the house when the fire ........................................ .",broke out,broke down,broke up,broke away.,A,"break out: bùng phát (hỏa hoạn, chiến tranh)"
86,"I think you need to ........................................ your ideas more clearly so that the reader doesn’t get confused.",dawn on,set out,get on with,give in,B,"set out: trình bày, sắp xếp ý tưởng"
87,"Susie and Fran ........................................ us last night, so I had to quickly defrost a pizza.",turned up,dropped in on,come across,went through,B,"drop in on sb: tạt vào thăm ai"
88,"Rebecca ........................................ on our conversation to tell us that James had just been rushed into hospital.",broke up,get ahead,faced up,cut in,D,"cut in: nói xen vào cuộc hội thoại"
89,"Is it a compulsion that the scheme ........................................ next Friday?",carry out,will carry out,carried out,be carried out,D,"be carried out: được tiến hành (cấu trúc giả định)"
90,"No one knows where Sam is living now. The last time that I ........................................ was about four years ago.",ran into him,ran him out,ran him down,ran after him,A,"run into sb: tình cờ gặp ai"
91,All his plans for starting his own business fell ........................................ .,in,through,down,away,B,"fall through: thất bại, không thành hiện thực"
92,"Whenever a problem ........................................ , we try to discuss frankly and find solutions as soon as possible.",comes in,comes up,comes off,comes by,B,"come up: vấn đề nảy sinh"
93,"The computer isn’t working - it broke ........................................ this morning.",out,into,down,over,C,"break down: máy móc bị hỏng"
94,"The final year at the secondary school is the time for teenagers to get ........................................ thinking about choosing jobs.",off with,by in,behind with,down to,D,"get down to + V-ing: bắt đầu nghiêm túc làm gì"
95,"On Friday night, some of our friends came to the party and ........................................ for the weekend.",fell behind,waited up,stayed on,kept up,C,"stay on: ở lại lâu hơn dự định"
96,"I have been looking ........................................ this book for months, and at last I have found it.",over,up,for,at,C,"look for: tìm kiếm"
97,"You can always ........................................ Ann to give you sound advice.",bank of,bank for,bank at,bank on,D,"bank on sb: trông cậy vào ai"
98,"The new manager ........................................ very strict rules as soon as he had taken over the position.",settled down,put down,laid down,wrote down,C,"lay down rules: đề ra các quy tắc"
99,"Everyone knows about pollution problems, but not many people have ........................................ any solution.",come up with,looked into,thought over,get round to,A,"come up with: tìm ra, nảy ra (giải pháp)"
100,"The speaker fails to get his message ........................................ to his audience.",around,in,across,out,C,"get sth across: truyền tải được thông điệp"
101,"She is a friendly person. She gets ........................................ all her neighbors.",up well with,down well with,on well with,off with,C,"get on well with: hòa hợp với hàng xóm"
102,"Jack and Linda ........................................ last week. They just weren’t happy together.",ended up,finished off,broke into,broke up,D,"break up: chia tay"
103,"Brian asked Judy ........................................ to dinner and a movie.",out,on,for,of,A,"ask sb out: mời ai đi chơi"
104,"Her contract ........................................ in two months, so she’s looking for another job.",runs down,runs out,goes out,goes away,B,"run out: hết hạn hợp đồng"
105,"I’m not sure my brother will ever get married because he hates the feeling of being ........................................ .",tied in,tied down,tied up,tied in with,B,"tied down: bị ràng buộc"
106,"It’s a small lamp, so it doesn’t ........................................ off much light.",cast,give,shed,spend,B,"give off: phát ra (ánh sáng, mùi hương)"
107,"When I joined the army, I found it difficult to ........................................ out orders from my superiors, but I soon got used to it.",call,carry,miss,take,B,"carry out orders: thực hiện mệnh lệnh"
108,"If too many species ........................................ out, it will upset the ecosystem.",disappear,die,go,extinct,B,"die out: tuyệt chủng"
109,"It is very important for a film or a company to keep ........................................ the changes in the market.",pace of,track about,touch with,up with,D,"keep up with: theo kịp sự thay đổi"
110,"I’m saving all my pocket money ........................................ to buy a new PlayStation.",out,down,up,away,C,"save up: tiết kiệm tiền"
111,"The effect of the painkiller is ........................................ and I begin to feel the soreness again.",turning out,doing without,fading away,wearing off,D,"wear off: thuốc hết tác dụng, mất dần cảm giác"
112,"Children should be taught that they have to ........................................ everything after they use it.",put away,pick off,collect up,catch on,A,"put away: cất dọn đồ đạc"
113,"I can’t walk in these high-heeled boots. I keep ........................................ .",falling off,falling back,falling over,falling out,C,"fall over: bị vấp ngã"
114,"People are advised to ........................................ smoking because of its harm to their health.",cut down,cut off,cut in,cut down on,D,"cut down on: cắt giảm hút thuốc"
115,"It took Ted a long time to get ........................................ the breakup of his marriage.",over,across,along with,through,A,"get over: vượt qua (sự đổ vỡ, cú sốc)"
116,"The smell of the sea ........................................ his childhood.",took him in,took after,took him back to,took it for granted,C,"take sb back to: gợi nhớ ai về kỷ niệm xưa"
117,"Despite all the interruptions, he ........................................ with his work.",pressed on,held on,stuck at,hung out,A,"press on: tiếp tục kiên trì làm việc"
118,"The new office block ........................................ well with its surroundings.",blends in,stands out,shapes up,sets off,A,"blend in: hòa hợp với không gian xung quanh"
119,"It’s a serious operation for a woman as old as my grandmother. She’s very frail. I hope she ........................................ .",gets over,comes round,pulls through,stands up,C,"pull through: hồi phục sau cơn bạo bệnh"
120,"It was very difficult to ........................................ what he was saying about the noise of the traffic.",pick up,make up,turn out,make out,D,"make out: nghe được, hiểu được"
