id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"It was the third time in six months that the bank had been held ........................................ .",over,down,up,out,C,"hold up: đình trệ, bị cướp (trong ngữ cảnh ngân hàng)"
2,"I always run ........................................ of money before the end of the month.",out,back,up,down,A,"run out of st: hết sạch cái gì"
3,"I’ve just spent two weeks looking ........................................ an aunt of mine who’s been ill.",at,for,out for,after,D,"look after: chăm sóc"
4,"I’ve always got ........................................ well with old people.",off,on,in,through,B,"get on well with: có mối quan hệ tốt với ai"
5,"It’s very cold in here. Do you mind if I turn ........................................ the heating?",down,away,off,on,D,"turn on: bật (thiết bị)"
6,"They’ve ........................................ a new tower where that old building used to be.",put up,put down,pushed up,pushed down,A,"put up: xây dựng lên"
7,"I ran ........................................ George in the library.",out of,over,through,into,D,"run into: tình cờ gặp"
8,"You need a rest; you look run ........................................ .",through,over,down,up,C,"run down: mệt mỏi, kiệt sức"
9,"He puts ........................................ some money every week.",away,up,off,out,A,"put away: cất đi, để dành tiền"
10,"Our dog has been run ........................................ by a car.",over,down,into,through,A,"run over: bị xe cán qua"
11,"You may not like the noise, but you will have to put ........................................ .",up with,aside,by,down,A,"put up with: chịu đựng"
12,"I promise to look ........................................ the matter.",for,after,into,up,C,"look into: điều tra, xem xét"
13,"Look ........................................! It is falling.",over,at,for,out,D,"Look out!: Coi chừng, cẩn thận"
14,"The two countries have broken ........................................ relations.",out,up,off,into,C,"break off: chấm dứt quan hệ"
15,"Shall have to bring this matter ........................................ at the next meeting.",round,up,off,about,B,"bring up: đề cập tới một vấn đề"
16,"The new government has brought ........................................ many changes.",about,round,up,off,A,"bring about: gây ra, đem lại sự thay đổi"
17,"She used to be thin, but she is filled ........................................ a lot.",in,into,up,out,D,"fill out: mập ra, béo ra"
18,"Let us do ........................................ these regulations.",away with,over,up,for,A,"do away with: bãi bỏ, thủ tiêu"
19,"As I have just had a tooth ........................................ , I am not allowed to eat or drink anything for three hours.",taken out,crossed out,broken off,tried on,A,"take out a tooth: nhổ răng"
20,"The woman ........................................ when the police told her that her son had died.",got over,fell apart,looked up,broke down,D,"break down: suy sụp, khóc nức nở"
21,"Please ........................................ the light, it’s getting dark here.",turn on,turn off,turn over,turn into,A,"turn on: bật đèn"
22,"The nurse has to ........................................ the patients at the midnight.",look after,look up,look at,look for,A,"look after: chăm sóc bệnh nhân"
23,"There is an inflation. The prices ........................................ .",are going on,are going down,are going over,are going up,D,"go up: tăng lên (giá cả)"
24,"Remember to ........................................ your shoes when you are in a Japanese house.",take care,take on,take over,take off,D,"take off: cởi (giày, quần áo)"
25,"You can ........................................ the new words in the dictionary.",look for,look after,look up,look at,C,"look up: tra cứu từ điển"
26,"It’s cold outside. ........................................ your coat.",Put on,Put down,Put off,Put into,A,"put on: mặc áo vào"
27,"If you want to be healthy, you should ........................................ your bad habits in your lifestyles.",give up,call off,break down,get over,A,"give up: từ bỏ thói quen xấu"
28,"Never put off until tomorrow what you can do today.",do,let,delay,leave,C,"put off = delay: trì hoãn"
29,"My father still hasn’t really recovered from the death of my mother.",looked after,taken after,gone off,get over,D,"get over = recover from: vượt qua nỗi đau/phục hồi"
30,"The bomb exploded with a loud bang which could be heard all over the town.",went on,went out,went off,went away,C,"go off = explode: nổ tung"
31,"John, could you look after my handbag while I go out for a minute.",take part in,take over,take place,take care of,D,"look after = take care of: chăm sóc, trông coi"
32,"Why do they ........................................ talking about money all the time?",keep on,give up,take after,stop by,A,"keep on: tiếp tục làm gì"
33,"My father gave up smoking two years ago.",liked,continued,stopped,enjoyed,C,"give up = stop: ngừng, bỏ"
34,"The government hopes to ........................................ its plans for introducing cable TV.",turn out,carry out,carry on,keep on,B,"carry out: tiến hành, thực hiện kế hoạch"
35,"When the tenants failed to pay their bill, the authorities decided to ........................................ the gas supply to the flat.",cut down,cut out,cut off,cut up,C,"cut off: ngừng cung cấp (điện, nước, gas)"
36,"You go on ahead and then I’ll catch ........................................ you.",along with,forward to,up with,on to,C,"catch up with: đuổi kịp ai"
37,"Both Ann and her sister look like her mother.",take after,take place,take away,take on,A,"look like = take after: giống ai đó"
38,"I’ll be back in a minute, Jane. I just want to try out my new tape recorder.",resemble,test,arrive,buy,B,"try out = test: thử nghiệm"
39,"The national curriculum is made ........................................ of the following subjects: English, Maths, Chemistry and so on....",from,on,up,in,C,"be made up of: bao gồm"
40,"Shy people often find it difficult to ........................................ group discussions.",take place in,take part in,get on with,get in touch with,B,"take part in: tham gia vào"
