id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,The man was found unconscious at the foot of the cliff. He .................... have fallen 200 meters.,needn’t,must,should,mustn’t,B,"must + have + Vp2 dùng để diễn tả một suy luận hợp lí trong quá khứ. Tạm dịch: Anh ta chắc chắn đã rơi từ độ cao 200m."
2,When the fog lifts we .................... where we are.,could see,will be able to see,must have seen,are seeing,B,"will be able to see: diễn tả một khả năng có thể xảy ra trong tương lai. Tạm dịch: Khi mây tan, chúng ta sẽ có thể thấy mình đang ở đâu."
3,The swimmer was very tired but he .................... the shore before he collapsed.,was able to reach,can reach,could reach,has reached,A,"was able to reach: dùng khi cố gắng xoay xở để làm được việc gì đó trong một tình huống cụ thể ở quá khứ."
4,"If a letter comes for me, .................... you please forward it to this address.",shall,could,must,should,B,"Could you...: dùng để diễn tả một yêu cầu lịch sự. Tạm dịch: Nếu có thư cho tôi, bạn làm ơn chuyển giúp tôi nhé."
5,I don’t believe it. It .................... be true.,can’t,mustn’t,shouldn’t,wouldn’t,A,"Can't + V: diễn tả sự chắc chắn điều gì đó không thể xảy ra ở hiện tại. Tạm dịch: Tôi không tin, nó không thể là sự thật."
6,"Laura, you and the kids just have dinner without waiting for me. I .................... work very hard today.",can,may,should,would,B,"may + V: diễn tả điều có khả năng xảy ra nhưng không chắc chắn. Tạm dịch: Anh có thể phải làm việc cả ngày hôm nay."
7,Leave early so that you .................... miss the bus.,didn’t,won’t,shouldn’t,mustn’t,B,"won’t miss: sẽ không bỏ lỡ. Tạm dịch: Rời đi sớm để mà không lỡ xe bus."
8,He was very lucky when he fell off the ladder. He .................... himself.,could have hurt,should have hurt,must have hurt,will have hurt,A,"Could have + Vp2: diễn tả một điều có thể đã xảy ra (nhưng thực tế đã không xảy ra). Tạm dịch: Anh ta có thể đã bị thương."
9,Robert arrived without his book. He .................... it.,might have lost,should have lost,would have lost,will have lost,A,"Might have + Vp2: diễn tả một điều có lẽ đã xảy ra trong quá khứ nhưng không chắc chắn."
10,"Twenty years ago, David .................... speak Arabic fluently. Now he’s forgotten a lot.",could,might,needed,must,A,"Could + V: diễn tả khả năng trong quá khứ. Tạm dịch: 20 năm trước David có thể nói tiếng Ả Rập trôi chảy."
11,Jessica hasn’t made up her mind about where to go to school. She .................... attend Duke University. She just doesn’t know yet.,mustn’t,may not,needn’t,can’t,B,"may not + V: diễn tả một khả năng có thể không xảy ra. Tạm dịch: Cô ấy có lẽ không học Đại học Duke."
12,This box isn’t as heavy as it looks. You .................... help me with it. Thanks anyway for offering to help.,must,mustn’t,might,needn’t,D,"needn’t + V: không cần thiết phải làm gì. Tạm dịch: Bạn không cần giúp tôi đâu (vì hộp không nặng)."
13,Yesterday everyone in the office .................... leave the building for a fire drill. I am glad it wasn’t a real fire.,may,might,must,mustn’t,B,"might + V: diễn tả một khả năng đã xảy ra trong quá khứ. Tạm dịch: Hôm qua mọi người có thể đã phải rời văn phòng."
14,You .................... play loud music at night. The neighbors will call the police.,mustn’t,needn’t,might not,couldn’t,A,"mustn’t + V: cấm đoán. Tạm dịch: Bạn không được phép bật nhạc to lúc nửa đêm."
15,You .................... stand up. There are a lot of seats available on the bus.,couldn’t,mustn’t,needn’t,might not,C,"needn’t + V: không cần thiết phải làm gì. Tạm dịch: Bạn không cần đứng đâu vì còn nhiều ghế trống."
16,People who use public parks .................... clean up after themselves.,must,may,ought,might,A,"must + V: bắt buộc/trách nhiệm. Tạm dịch: Mọi người phải tự dọn dẹp sau khi sử dụng công viên."
17,This library book is overdue. I .................... better return it today.,need,must,might,had,D,"had better: tốt hơn hết nên làm gì. Tạm dịch: Tôi nên trả sách hôm nay."
18,Our company provides free advice on the use of our products. You .................... pay us.,must,have to,needn’t,mustn’t,C,"needn’t + V: không cần thiết phải trả tiền (vì nó miễn phí)."
19,Whatever .................... come, I will always be by your side.,must,may,could,need,B,"Whatever may come: cụm từ cố định nghĩa là bất kể điều gì xảy đến. Tạm dịch: Dù chuyện gì xảy ra tôi vẫn bên bạn."
20,“.................... you hand that book please?” “Sure. Here it is.”,Could,Should,Must,May,A,"Could + V: diễn tả yêu cầu lịch sự. Tạm dịch: Bạn có thể chuyển cho tôi cuốn sách đó được không?"
