id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"“Where do you think Rooney is today?”. “I have no idea. He .................... late.”",should have left,would sleep,would have sleep,may have slept,D,"May + have + Vp2: diễn tả sự việc có lẽ đã xảy ra nhưng không chắc chắn (căn cứ vào cụm 'I have no idea')."
2,Barbate painted his bedroom black. It looks dark and dreary. He .................... a different color.,had to choose,must have chosen,should have chosen,could have been choosing,C,"Should have + Vp2: diễn tả việc lẽ ra nên làm trong quá khứ nhưng đã không làm."
3,The children .................... “thank you” to you when you gave them their gifts.,will have said,should have said,must say,should say,B,"Should have + Vp2: diễn tả một bổn phận lẽ ra nên thực hiện trong quá khứ. Tạm dịch: Bọn trẻ lẽ ra nên nói cảm ơn."
4,If we had known your new address we .................... to see you.,came,will come,would have come,would come,C,"Câu điều kiện loại 3 (If + S + had Vp2): Diễn tả sự việc không có thật trong quá khứ. Cấu trúc: would have + Vp2."
5,These two boys look identical. They .................... twins.,must have been,should be,must be,should have been,C,"Must be: đưa ra suy luận logic ở hiện tại dựa trên bằng chứng rõ ràng (look identical)."
6,You've been working non-stop for ten hours. You .................... be really tired.,should,must,would rather,ought to,B,"Must be: suy luận logic chắc chắn ở hiện tại. Tạm dịch: Bạn chắc hẳn đang rất mệt."
7,The fortune teller predicted that .................... inherit a big fortune before the end of this year.,will,she will,would,she would,D,"Dùng 'would' trong câu trần thuật để lùi thì từ 'will' sau động từ tường thuật quá khứ (predicted)."
8,I’m feeling very tired this morning. I .................... have stayed up late last night.,couldn’t,shouldn’t,mustn’t,to stopping,B,"Shouldn’t have + Vp2: lẽ ra không nên làm gì trong quá khứ (nhưng đã làm)."
9,He helped her but it was not necessary. He needn’t .................... her.,help,to help,be helping,have helped,D,"Needn’t have + Vp2: lẽ ra không cần thiết phải làm nhưng đã làm rồi."
10,“.................... you like to play a game of tennis?” “I’d love to.”,Could,Will,Do,Would,D,"Cấu trúc mời mọc: Would you like to + V-bare?"
11,His letter is full of mistakes. He .................... the mistakes carefully before sending it.,must have checked,should have checked,could have checked,can have checked,B,"Should have + Vp2: lẽ ra nên làm gì đó trong quá khứ (để tránh hậu quả hiện tại)."
12,“I bought two bottles of milk.” “You .................... have bought milk; we have heaps of it in the house.”,couldn’t,needn’t,mustn’t,hadn’t,B,"Needn’t have + Vp2: lẽ ra không cần mua (vì nhà đã có sẵn nhiều)."
13,When I first went to England I .................... English but I .................... it.,can read; can’t speak,can read; couldn’t speak,could read; couldn’t speak,could read; can’t speak,C,"Dùng 'could/couldn't' để chỉ khả năng trong quá khứ (căn cứ vào 'went to England')."
14,The car plunged into the river. The driver .................... out but the passengers were drowned.,is able to get,could get,was able to get,can get,C,"Was able to: dùng để chỉ việc xoay xở thực hiện được một hành động cụ thể trong tình huống nguy cấp ở quá khứ."
15,I got lost and .................... ask a policeman the way.,have to,must have to,had to,would,C,"Had to: chỉ sự bắt buộc trong quá khứ (căn cứ vào 'got lost')."
16,We have some days off after the exam. .................... spend some time together?,Let,Shall I,Shall we,Would you like,C,"Shall we + V-bare: cấu trúc đưa ra lời đề nghị cùng làm gì đó."
17,You .................... ring the bell; I have a key.,may not,needn’t,mustn’t,couldn’t,B,"Needn’t + V-bare: không cần thiết phải làm gì (vì đã có chìa khóa)."
18,You .................... drink this; it’s poison.,must,needn’t,mustn’t,shouldn’t,C,"Mustn’t + V-bare: cấm đoán (vì đây là chất độc)."
19,Nobody knows how people first came to these islands. They .................... have sailed from South America.,might,must,should,had,A,"Might have + Vp2: diễn tả khả năng có thể đã xảy ra trong quá khứ nhưng không chắc chắn."
20,She felt ill and .................... leave early.,has to,must,had to,ought,C,"Had to: sự bắt buộc trong quá khứ (căn cứ vào động từ 'felt')."
