id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"I didn't want to disturb the meeting. I left without saying goodbye.",Rather than disturb the meeting I left without saying goodbye.,I disturbed the meeting because I said goodbye.,I would rather disturb the meeting than leaving without saying goodbye.,The meeting was disturbed as I left saying goodbye.,A,"Dịch: Hơn là làm cắt ngang cuộc họp, tôi rời đi mà không nói lời tạm biệt. ""Rather than"" phù hợp để diễn tả sự lựa chọn thay thế nhằm tránh một việc khác."
2,"Having spent all his money, Daniel couldn't afford a new watch.",As Daniel had bought a new watch he spent all his money.,Danile didn't buy a new watch although he had a lot of money.,Because he had spent all the money Daniel couldn't afford a new watch.,Daniel couldn't get a new watch because he didn't have much money.,C,"Phân từ hoàn thành ""Having Vp2"" dùng để chỉ hành động xảy ra trước. Câu viết lại dùng ""Because"" để chỉ nguyên nhân tiêu hết tiền dẫn đến không mua được đồng hồ."
3,She doesn't want to go to their party. We don't want to go either.,Either we or she wants to go to their party.,Neither we nor she want to go to their party.,Neither we nor she wants to go to their party.,Neither she nor we don't want to go to their party.,C,"Cấu trúc ""Neither S1 nor S2"" (Cả S1 và S2 đều không). Động từ chia theo chủ ngữ thứ 2 (she) nên dùng ""wants"" số ít."
4,"Noisy as the hotel was, they stayed there.",Much as the hotel was noisy they stayed there.,In spite of the noisy hotel and they liked it.,Despite the hotel was noisy they stayed there.,Although the noisy hotel they stayed there.,A,"Cấu trúc nhấn mạnh: ""Adj + as + S + be"" tương đương với ""Much as + S + be + adj"" (Mặc dù...)."
5,She was so busy that she couldn't answer the phone.,She was very busy that she couldn't answer the phone.,She was too busy to answer the phone.,She was too busy not to answer the phone.,She was very busy so that she couldn't answer the phone.,B,"Chuyển đổi giữa cấu trúc ""So... that"" (quá... đến nỗi) sang ""Too... to V"" (quá... để làm gì)."
6,Tim graduated with a good degree. He joined the ranks of the unemployed.,Tim joined the ranks of the unemployed because he graduated with a good degree.,If Tim graduated with a good degree he would join the ranks of the unemployed.,Though Tim graduated with a good degree he joined the ranks of the unemployed.,That Tim graduated with a good degree helped him join the ranks of the unemployed.,C,"Dịch: Mặc dù Tim tốt nghiệp bằng giỏi (vế tích cực), anh ấy vẫn thất nghiệp (vế tiêu cực) -> Dùng ""Though"" chỉ sự tương phản."
7,"In spite of his poverty, he led a devoted life to the revolutionary cause.",He could not devote his life to the revolutionary cause because of his poverty.,Although he was poor he led a devoted life to the revolutionary cause.,If he had not been so poor he could have devoted his life to the revolutionary cause.,He led a devoted life to the revolutionary cause but he was so poor.,B,"Chuyển đổi cụm danh từ ""In spite of his poverty"" sang mệnh đề ""Although he was poor""."
8,She tried very hard to pass the driving test. She could hardly pass it.,Although she didn't try hard to pass the driving test she could pass it.,She tried very hard so she passed the driving test satisfactorily.,No matter how hard she tried she could hardly pass the driving test.,Despite being able to pass the driving test she didn't pass it.,C,"Cấu trúc: ""No matter how + adj/adv + S + V"" (Dù có... thế nào đi chăng nữa)."
9,Smallpox is a dangerous disease. Malaria is a dangerous disease.,Smallpox is a dangerous disease and so is malaria.,Malaria is a dangerous disease but smallpox is not.,Neither smallpox nor malaria is a dangerous disease.,Either smallpox or malaria is a dangerous disease.,A,"Cấu trúc đồng tình khẳng định: ""S1 + be..., and so + be + S2"" (A là..., và B cũng thế)."
10,"Transportation has been made much easier thanks to the invention of car. However, cars are the greatest contributor of air pollution.",The invention of cars has made transportation much easier but cars are among the greatest contributors of air pollution.,However easier the invention of cars has made transportation it is cars that among the greatest contributors of air pollution.,Although the invention of cars has made transportation much easier cars are the greatest contributor of air pollution of air.,Although the invention of cars has made transportation much easier people use cars to contribute to the pollution of air.,C,"Dùng ""Although"" để nối hai câu có ý nghĩa đối lập về lợi ích và tác hại của ô tô."
