id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,Jose had a hard time comparing the iPhone to the Samsung phone because to him they were apples and oranges.,containing too many technical details,very similar,completely different,very complicated,C,"apples and oranges: hoàn toàn khác nhau, khác một trời một vực."
2,"Peter is the black sheep of the family, so he is never welcomed there.",a beloved member,a bad and embarrassing member,the only child,the eldest child,B,"the black sheep: thành viên cá biệt, người bị coi là tồi tệ và đáng xấu hổ trong nhóm/gia đình."
3,There's a list of repairs as long as ................ .,your arm,a pole,your arms,a mile,A,"as long as your arm: rất dài (danh sách, văn bản...)."
4,I tried to talk to her but she was as high as a ................ .,kite,house,sky,wall,A,"as high as a kite: quá phấn khích (do ảnh hưởng của chất kích thích hoặc cồn)."
5,We're over the ................! Who wouldn't be? We've just won £1 million!,planet,clouds,stars,moon,D,"over the moon: cực kỳ vui sướng, hạnh phúc."
6,"I've never really enjoyed going to the ballet or the opera; they're not really my ................ .",piece of cake,sweets and candy,biscuit,cup of tea,D,"not one's cup of tea: không phải sở trường hoặc thứ ai đó yêu thích."
7,You never really know where you are with her as she just blows hot and cold.,keeps going,keeps taking things,keeps changing her mood,keeps testing,C,"blow hot and cold: hay thay đổi ý kiến, tâm trạng dao động."
8,"""Edwards seems like a dog with two tails this morning."" – ""Haven't you hear the news? His wife gave birth a baby boy early this morning.""",extremely happy,extremely disappointed,exhausted,very proud,A,"like a dog with two tails: rất vui vẻ, hạnh phúc."
9,Thomas knows Paris like the back of his ................ . He used to be a taxi driver there for 2 years.,head,mind,hand,life,C,"know sth like the back of one's hand: biết rõ cái gì như lòng bàn tay."
10,Josh may get into hot water when driving at full speed after drinking.,get into trouble,stay safe,fall into disuse,remain calm,A,"get into hot water: gặp rắc rối, gặp khó khăn."
11,You have to be on your toes if you want to beat her.,pay all your attention to what you are doing,upset her in what she is doing,get involved in what she is doing,make her comply with your orders,A,"be on your toes: chú ý, cảnh giác, tập trung vào việc đang làm."
12,By appearing on the soap powder commercials she became a ................ name.,housekeeper,housewife,household,house,C,"a household name: một cái tên quen thuộc, nổi tiếng với mọi nhà."
13,"When his parents are away, his oldest brother ................ .",knocks it off,calls the shots,draws the line,is in the same boat,B,"call the shots: chỉ huy, quyết định các công việc cần làm."
14,Hearing about people who mistreat animals makes me go hot under the ................ .,chin,collar,sleeves,vest,B,"hot under the collar: điên tiết, cáu tiết."
15,"I know you are upset about breaking up with Tom, but there are plenty more ................ .",horses in the stable,cows in the shed,tigers in the jungle,fish in the sea,D,"plenty more fish in the sea: còn rất nhiều lựa chọn khác (thường dùng trong tình cảm)."
16,"I'll have to go to the funeral of Ms. Jane, a ................ of mine.",heart to heart,body and soul,flesh and blood,skin and bones,C,"flesh and blood: người có máu mủ ruột thịt."
17,When the kids asked him about his girlfriend he'd go as red as a ................ ,tomato,chili,strawberry,beetroot,D,"as red as a beetroot: đỏ mặt (vì ngượng ngùng)."
18,"'What I've got to say to you now is strictly ................ the record and most certainly not for publication,' said the government official to the reporter.",off,on,in,at,A,"off the record: không chính thức, không được công bố công khai."
19,I can't give you the answer on the ................; I'll have to think about it for a few days.,place,minute,scene,spot,D,"on the spot: ngay lập tức."
20,Someone is going to have to take responsibility for this disaster. Who is going to ................?,foot the bill,carry the can,hatch the chicken,catch the worms,B,"carry the can: chịu trách nhiệm, chịu sự chỉ trích cho việc gì."
21,I am sure your sister will lend you a sympathetic ................ when you explain the situation to her.,eye,ear,arm,finger,B,"lend an ear: lắng nghe một cách chân thành, đồng cảm."
22,"Unfortunately, the injury may keep him out of football ................ . He may never play again.",for good,now and then,once in a while,every so often,A,"for good: mãi mãi, vĩnh viễn."
23,The children were full of beans today looking forward to their field trip.,eating a lot,hyperactive,melancholy,lively and in high spirits,D,"full of beans: sôi nổi, hăng hái, tràn đầy năng lượng."
24,"John: ""Oh, I forgot my girlfriend's birthday last week."" - Anne: "" ............ """,Not on your life,So I guess you are in the doghouse again.,Sure knock on wood.,You really should get a life.,B,"be in the doghouse: bị ai đó giận dỗi, khó chịu vì lỗi lầm mình đã gây ra."
25,"Sometimes in a bad situation, there may still be some good things. Try not to ""throw out the ................ with the bathwater"".",fish,duck,baby,child,C,"throw the baby out with the bathwater: vứt bỏ những thứ giá trị cùng với những thứ không cần thiết."
26,Wendy is on the horns of a dilemma: she just wonders whether to go for a picnic with her friends or to stay at home with her family.,unwilling to make a decision,able to make a choice,eager to make a plan,unready to make up her mind,D,"on the horns of a dilemma: tiến thoái lưỡng nan, phân vân chưa quyết định được."
27,At every faculty meeting Ms. Volatie always manages to put her foot in her mouth.,move rapidly,trip over her big feet,fall asleep,say the wrong thing,D,"put one's foot in one's mouth: nói điều gì đó sai lầm hoặc gây xấu hổ."
28,If you are at a loose end this weekend I will show you around the city.,free,confident,occupied,reluctant,A,"at a loose end: rảnh rỗi, không có việc gì làm."
29,Thanks to her regular workouts and sensible diet she certainly strikes me as in the pink.,in absolute health,in good health,in clear health,in extreme health,B,"in the pink: có sức khỏe tốt."
30,He was such a wet blanket at the party tonight!,He made people at the party wet through.,He spoiled other people's pleasure at the party.,He bought a wet blanket to the party.,He was wet through when going home from the party.,B,"wet blanket: người phá đám, làm hỏng niềm vui của người khác."
31,That the genetic differences make one race superior to another is nothing but a tall story.,cynical,unbelievable,untrue,exaggeration,B,"a tall story: chuyện khó tin, chuyện hoang đường."
32,You should accept the Nokia mobile phone as a 16-birthday present from your parents delightedly. Don't ................ .,look gift horse in the mouth,buy it through the nose,pull my leg,take it for granted,A,"don't look a gift horse in the mouth: đừng soi xét, đòi hỏi giá trị khi nhận quà."
33,Failing to submit the proposal on time was ................ for Tom.,a real kick in the pants,an open and shut case,a shot in the dark,a nail in the coffin,D,"a nail in the coffin: giọt nước tràn ly, điều dẫn đến sự thất bại/kết thúc."
34,"At first, no one believed she was a pilot, but her documents ................ colour to her statements.",provided,got,borrowed,lent,D,"lend colour to st: chứng minh, làm cho điều gì thêm thuyết phục."
35,Mr. Simpkins is the big ................ in the company as he has just been promoted to the position of Managing Director.,bread,meat,cheese,apple,C,"a big cheese: nhân vật quan trọng, tai to mặt lớn."
36,Shake a leg or you will miss the train.,Hurry up,Slow down,Watch out,Put down,A,"shake a leg: nhanh lên."
37,"I'm going on business for a week, so I'll be leaving everything ................ .",on your guards,up to your eyes,in your capable hands,under the care of you,C,"in one's capable hands: trong quyền giải quyết, dưới sự đảm đương của ai đó đáng tin."
38,My father hit the roof when he found that I'd damaged the car.,was over the moon,burst with anger,went with the flow,kept his shirt on,B,"hit the roof: cực kỳ giận dữ."
39,"I refuse to believe a word of it; it's a cock-and-................ story.",hen,goose,bull,duck,C,"a cock-and-bull story: chuyện bịa đặt, vẽ vời."
40,William was as ................ as a cucumber when the harsh punishment was meted out to him by the judge.,cool,cold,placid,impassive,A,"as cool as a cucumber: bình tĩnh, không nao núng."
41,One way to let off ................ after a stressful day is to take some vigorous exercise.,cloud,tension,steam,sweat,C,"let off steam: xả hơi, giải tỏa căng thẳng."
42,I wish you'd do the accounts. I don't have ................ for numbers.,a head,a mind,the heart,the nerve,A,"have a head for st: có năng khiếu, giỏi về cái gì."
43,He sent his children to the park so that he could have some ................ .,fresh and quiet,quiet and peace,peace and quiet,fresh and peace,C,"peace and quiet: sự bình yên và tĩnh lặng."
44,I think the main problem in this area is the lack of a good bus service. - You're right. You've hit the ................ on the head.,nail,wall,lips,hand,A,"hit the nail on the head: nói đúng trọng tâm, nói chính xác."
