id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"All nations should ___________ hands to work out a plan to solve the problem of global warming.",join,hold,shake,lend,A,"A. join hands (v): chung tay, hiệp lực, góp sức | B. hold hands (v): nắm tay (2 người yêu nhau) | C. shake hands (v): bắt tay | D. lend a hand = help (v): giúp đỡ. Tạm dịch: Tất cả các quốc gia nên chung tay lập ra một kế hoạch để giải quyết vấn đề nóng lên toàn cầu."
2,"Experts in climatology and other scientists are becoming ___________ concerned about the changes to our climate which are taking place.",supremely,extremely,completely,totally,B,"A. supremely /suːˈpriːmli/ (adv): một cách cao nhất, tột bậc | B. extremely /ɪkˈstriːmli/ (adv): cực kỳ | C. completely /kəmˈpliːtli/ (adv): hoàn toàn, đầy đủ, trọn vẹn | D. totally /ˈtəʊtəli/ (adv): hoàn toàn. Cấu trúc: Be extremely concerned about st: rất quan ngại về vấn đề gì. Tạm dịch: Các chuyên gia về khí hậu học và các nhà khoa học khác đang rất quan ngại về những thay đổi khí hậu đang diễn ra."
3,"Although climate changes have occurred on our planet before, these ___________ changes were different from the modern ones in that they occurred gradually and, as far as we know, naturally.",climate,climatology,climatic,climax,C,"A. climate /ˈklaɪmət/ (n): thời tiết | B. climatology /ˌklaɪməˈtɒlədʒi/ (n): khí hậu học | C. climatic /klaɪˈmætɪk/ (a): thuộc khí hậu, thuộc nhiệt đới | D. climax /ˈklaɪmæks/ (n): cao trào (văn chương). Cụm danh từ: climatic changes (n): những thay đổi về thời tiết. Tạm dịch: Mặc dù biến đổi khí hậu đã xảy ra trên hành tinh chúng ta trước đây rồi nhưng những thay đổi khí hậu này khác với những điều hiện đại do chúng xảy ra dần dần và theo như chúng ta biết thì chúng diễn ra một cách tự nhiên."
4,"It was also suggested that more forests should be planted to create ___________ sinks to absorb greenhouse gases.",so-called,so-so,so-and-so,so called,A,"A. so-called /ˌsəʊˈkɔːld/ (adj): cái được gọi là | B. so-so /ˌsəʊˈsəʊ/ (adj): tàm tạm, vừa phải | C. so-and-so /ˈsəʊ.ən.səʊ/ (n): vật nào đó, cái nào đó | D. so called: không phải cụm tính (danh) từ. Tạm dịch: Người ta cũng gợi ý rằng nên trồng nhiều rừng hơn để tạo ra các bồn chứa được gọi là hấp thụ các khí nhà kính."
5,"Many scientists ___________ the blame for recent natural disasters on the increase in the world’s temperatures and are convinced that, more than ever before, the Earth is at risk from the forces of the wind, rain and sun.",give,put,take,have,B,"Cụm từ: put the blame for st: đổ lỗi cho cái gì đó. Tạm dịch: Nhiều nhà khoa học đổ lỗi cho việc tăng nhiệt độ của thế giới gây ra các thảm họa thiên nhiên gần đây và đang thuyết phục rằng, hơn bao giờ hết, trái đất đang có nguy cơ chịu ảnh hưởng của gió, mưa và mặt trời."
6,"Environmental groups are putting pressure on governments to take action to reduce the amount of carbon dioxide which is given ___________ by factories and power plants, thus attacking the problem at its source.",out,off,away,in,B,"A. give out (v): chia, phân phối, cạn kiệt | B. give off (v): thải ra, tỏa ra | C. give away (v): tiết lộ | D. give in (v): nhân nhượng. Tạm dịch: Nhóm môi trường đang đặt áp lực lên chính phủ phải hành động để giảm lượng khí CO2 được thải ra bởi các nhà máy và nhà máy điện, do đó có thể giải quyết tận gốc của vấn đề."
7,"Climate change allows for infectious diseases to spread more easily; contributes to ___________ illnesses and death; has severe impact on water supplies, threatens food production and upsets ecological balance.",heat-insulated,heat-released,heat-related,heat-treated,C,"A. heat-insulated /ˌhiːt ˈɪnsjuleɪtɪd/ (a): được cách nhiệt | B. heat-released (v): được tỏa nhiệt | C. heat-related (a): liên quan đến nhiệt | D. heat-treated (a): được nhiệt luyện. Tạm dịch: Biến đổi khí hậu khiến cho các bệnh truyền nhiễm lây lan dễ dàng hơn; làm tăng các bệnh liên quan đến nhiệt và số người chết; gây ảnh hưởng nghiêm trọng đến nguồn cung cấp nước, đe dọa sản lượng lương thực và làm đảo lộn cân bằng sinh thái."
8,"By 2050, ___________ temperatures could lead to the extinction of a million species.",rising,raising,arising,plummeting,A,"A. rise /raɪz/ (v): gia tăng (số hoặc lượng) | B. raise /reɪz/ (v): nâng cái gì lên vị trí cao hơn; gia tăng | C. arise /əˈraɪz/ (v): xuất hiện, nảy sinh | D. plummet /ˈplʌmɪt/ (v): rơi thẳng xuống, rơi nhanh, tụt mạnh. Tạm dịch: Vào năm 2050, việc tăng nhiệt độ có thể dẫn đến sự tuyệt chủng của hàng triệu loài động vật."
9,"Having read the report on how the burning of petrol in cars ___________ to climate change, we decided to sell our car and get a bicycle instead.",attributes,contributes,introduces,distributes,B,"A. attribute /ˈætrɪbjuːt/ (v): quy cho là | B. contribute /kənˈtrɪbjuːt/ (v): góp phần | C. introduce /ˌɪntrəˈdʒuːs/ (v): giới thiệu | D. distribute /dɪˈstrɪbjuːt/ (v): phân phối, phân phát. Tạm dịch: Khi đọc báo cáo về lượng xăng bị đốt cháy khi dùng xe hơi góp phần vào biến đổi khí hậu, chúng tôi quyết định bán xe của mình và dùng một chiếc xe đạp để thay thế."
10,"The government has pledged to clean up industrial ___________.",emissions,emit,emitted,emissive,A,"A. emissions /iˈmɪʃən/ (n): sự thải ra, sự phát ra, khí thải | B. emit /iˈmɪt/ (v): thải ra | C. emitted (v): động từ hình thái Ved của emit | D. emissive /iˈmɪsɪv/ (a): phát ra, bốc ra, tỏa ra. Cấu trúc: pledge to do st: cam kết làm gì. Tạm dịch: Chính phủ cam kết sẽ làm sạch các khí thải công nghiệp."
11,"The country’s entire grain harvest has been hit by a __________.",brought,fought,drought,sought,C,"A. brought: động từ hình thái Ved của bring | B. fought: động từ hình thái Ved của fight | C. drought /draʊt/ (n): hạn hán | D. sought: động từ hình thái Ved của seek. Tạm dịch: Toàn bộ vụ lúa trong cả nước mất trắng sau một cơn hạn hán."
12,"Scientists worry about the ___________ of many species of plants and animals from our planet.",eruption,destruction,erosion,disappearance,D,"A. eruption /ɪˈrʌpʃn/ (n): sự phun trào (núi lửa) | B. destruction /dɪˈstrʌkʃn/ (n): sự phá hủy | C. erosion /ɪˈrəʊʒn/ (n): sự xói mòn | D. disappearance /ˌdɪsəˈpɪərəns/ (n): sự biến mất. Tạm dịch: Các nhà khoa học lo lắng về sự biến mất của rất nhiều loài động vật thực vật trên hành tinh của chúng ta."
13,"___________ - reducing climate change - involves reducing the flow of heat-trapping greenhouse gases into the atmosphere, either by reducing sources of these gases or enhancing the “sinks” that accumulate and store these gases.",Reduction,Mitigation,Limitation,enhancement,B,"A. Reduction /rɪˈdʌkʃn/ (n): sự giảm xuống | B. Mitigation /ˌmɪtɪˈɡeɪʃn/ (n): sự làm dịu nhẹ | C. Limitation /ˌlɪmɪˈteɪʃn/ (n): sự giới hạn | D. enhancement /ɪnˈhɑːnsmənt/ (n): sự nâng cao. Tạm dịch: Giảm thiểu - giảm biến đổi khí hậu - liên quan đến việc giảm dòng khí nhà kính bẫy nhiệt vào khí quyển, bằng cách giảm các nguồn khí này hoặc tăng cường “các bể” tích tụ và lưu trữ các khí này."
14,"The goal of mitigation is to avoid dangerous human ___________ with the climate system, and stabilize greenhouse gas levels in a timeframe sufficient to allow ecosystems to adapt naturally to climate change.",independence,interference,indication,interruption,B,"A. independence /ˌɪndɪˈpendəns/ (n): sự độc lập, tự do | B. interference /ˌɪntəˈfɪərəns/ (n): sự can thiệp; sự xen vào | C. indication /ˌɪndɪˈkeɪʃn/ (n): sự biểu thị, biểu lộ | D. interruption /ˌɪntəˈrʌpʃn/ (n): sự gián đoạn, sự ngắt lời. Tạm dịch: Mục tiêu của giảm thiểu là để tránh sự can thiệp nguy hại của con người vào hệ thống khí hậu, và ổn định mức khí nhà kính theo một khung thời gian đủ để khiến hệ sinh thái thích nghi tự nhiên với biến đổi khí hậu."
15,"Throughout history, people and societies have adjusted to and coped with changes in climate and extremes with ___________ degrees of success.",various,varied,varying,variable,A,"A. various /ˈveəriəs/ (a): đa dạng, khác nhau | B. varied /ˈveərɪd/ (a): thuộc nhiều loại khác nhau | C. vary /ˈveəri/ (v): thay đổi, biến đổi | D. variable /ˈveəriəbl/ (a): có thể thay đổi. Tạm dịch: Trong suốt lịch sử, con người và xã hội đã điều chỉnh và đối phó với những thay đổi về khí hậu và thời tiết cực đoan với các mức độ thành công khác nhau."
16,"In the ___________ of national or international climate policy direction, cities and local communities around the world have been focusing on solving their own climate problems.",absence,ignorance,delimitation,concentration,A,"A. absence /ˈæbsəns/ (n): sự vắng mặt, sự không có | B. ignorance /ˈɪɡnərəns/ (n): sự lơ là | C. delimitation /ˌdiːlɪmɪˈteɪʃn/ (n): sự phân định | D. concentration /ˌkɒnsnˈtreɪʃn/ (n): sự tập trung. Tạm dịch: Trong trường hợp không có định hướng chính sách khí hậu quốc gia hoặc quốc tế, các thành phố và cộng đồng địa phương trên khắp thế giới đã tập trung vào giải quyết các vấn đề khí hậu của chính họ."
17,"With clear ___________, his company couldn’t deny having dumped a large quantity of toxins into the sea.",evidence,proof,investigation,examination,A,"A. evidence /ˈevɪdəns/ (n): (pháp lý) bằng chứng; chứng cứ | B. proof /pruːf/ (n): chứng cứ, bằng chứng | C. investigation /ɪnˌvestɪˈɡeɪʃn/ (n): sự điều tra | D. examination /ɪɡˌzæmɪˈneɪʃn/ (n): sự kiểm tra, sự xem xét. Cụm từ: clear evidence: chứng cứ rõ ràng. Tạm dịch: Với bằng chứng rõ ràng, công ty của ông không thể phủ nhận đã đổ một số lượng lớn chất độc xuống biển."
18,"He was suspected ___________ having received presents from the local companies and ignored their violations of the environmental law.",about,on,of,for,C,"Cấu trúc: suspect sb of st/doing st: nghi ngờ ai phạm tội gì đó. Tạm dịch: Anh ta bị nghi ngờ đã nhận quà hối lộ từ công ty tại địa phương và làm ngơ trước sự vi phạm về luật môi trường của họ."
19,"For many years now, ___________ have attempted to protect the environment by making businesses responsible for making sure that the chemical they use don’t add to the destruction of the environment.",politicians,politics,parties,residents,A,"A. politicians /ˌpɒləˈtɪʃənz/ (n): nhà chính trị | B. politics /ˈpɒlətɪks/ (n): hoạt động chính trị | C. parties /ˈpɑːtiz/ (n): đảng | D. residents /ˈrezɪdənts/ (n): người dân. Tạm dịch: Trong nhiều năm nay, các chính trị gia đã cố gắng để bảo vệ môi trường bằng cách bắt các doanh nghiệp phải cam kết đảm bảo rằng các hóa chất mà họ sử dụng không gia tăng sự phá hoại đến môi trường."
