id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Patients at highest _____ of complications can be detected based on artificial intelligence techniques.",danger,risk,chance,threat,B,"A. danger /ˈdeɪndʒər/ (n) nguy hiểm, nguy cơ | B. risk /rɪsk/ (n): sự rủi ro, mạo hiểm | C. chance /tʃæns/ (n): cơ hội | D. threat /θret/ (n): mối đe dọa. Cấu trúc: at risk of = in danger of: có nguy cơ, có thể gặp rủi ro. Tạm dịch: Bệnh nhân có nguy cơ biến chứng cao nhất có thể được phát hiện dựa trên kỹ thuật trí tuệ nhân tạo. Cấu trúc: (right/just) around the corner: sắp xảy ra, sắp đến nơi"
2,"For years, AI researchers had implied that a breakthrough was just _____ the corner.",at,around,in,from,B,"Tạm dịch: Trong nhiều năm, các nhà nghiên cứu AI đã ngụ ý rằng một bước đột phá sắp xảy ra."
3,"Marvin Minsky said in 1967 that within a generation the problem of creating AI would be _____ solved.",utterly,substantially,extremely,highly,B,"A. utterly /'ʌtəli/ (adv): hoàn toàn, tuyệt đối | B. substantially /səbˈstænʃəli/ (adv): một cách căn bản | C. extremely /ɪk'stri:mli/ (adv): rất | D. highly /'haɪli/ (adv): cao. Tạm dịch: Marvin Minsky nói rằng vào năm 1967 trong vòng một thế hệ, vấn đề tạo ra AI sẽ được giải quyết về căn bản."
4,"By the late 1980s, the term AI was being avoided by many researchers, who opted instead _____ themselves with specific sub-disciplines such as neural networks, agent technology, case-based reasoning.",aligning,to align,to aligning,align,B,"Align /ə'laɪn/ (v): căn chỉnh, sắp xếp cho thẳng hàng. Cấu trúc: opt to do st: chọn, quyết định làm gì. Tạm dịch: Vào cuối những năm 1980, thuật ngữ AI đã bị nhiều nhà nghiên cứu tránh né, thay vào đó họ chọn cách sắp xếp các phân ngành cụ thể như mạng lưới thần kinh, công nghệ tác nhân, lý luận dựa trên trường hợp."
5,"They attributed the increase in workforce productivity _____ the adoption of AI technologies.",in,to,of,for,B,Cấu trúc: attribute something to somebody/something: gán cái gì là do ai/cái gì. Tạm dịch: Họ đã cho rằng sự gia tăng năng suất của lực lượng lao động là do việc áp dụng các công nghệ AI.
6,"If _____ and artificial intelligence in the workplace become a reality, there will surely be an increasing need for skills that robots can't offer.",automatic,automate,automation,automatically,C,"A. automatic /ˌɔːtəˈmætɪk/ (a): tự động | B. automate /ˈɔːtəmeɪt/ (v): tự động hóa | C. automation /ˌɔːtəˈmeɪʃn/ (n): sự tự động hóa | D. automatically /ˌɔːtəˈmætɪkli/ (adv): một cách tự động Khi có từ “and"" thì 2 vế sẽ có cùng chức năng từ loại. Do đó, vị trí trống cần một danh từ nên đáp án là | C. Tạm dịch: Nếu việc tự động hóa và trí tuệ nhân tạo tại nơi làm việc trở thành hiện thực, chắc chắn sẽ có nhu cầu ngày càng cao về các kỹ năng mà robot không thể cung cấp."
7,"Artificial intelligence (AI) is the ability of a digital computer to perform tasks _____ associated with intelligent beings.",commonly,popularly,basically,primarily,A,"A. commonly /'kɒmənli/ (adv): thường thường | B. popularly /'pɒpjələli/ (adv): phổ biến | C. basically /'beɪsɪkəli/ (adv): về cơ bản | D. primarily /praɪ'merəli/ (adv): chủ yếu, chính. Tạm dịch: Trí tuệ nhân tạo là khả năng của một máy tính kỹ thuật số thực hiện các nhiệm vụ thường liên quan đến trí thông minh của nhân loại."
8,"At companies like Facebook, Amazon, Apple, Netflix and Google, they help to develop long-term plans and digital _____.",interacts,interactive,interactional,interactions,D,"A. interact /ˌɪntərˈækt/ (v): tương tác | B. interactive /ˌɪntərˈæktɪv/ (a): tương tác, tác động lẫn nhau | C. interactional /ˌɪntərˈækʃənl/ (a): tác động, chịu ảnh hưởng của nhau | D. interaction /ˌɪntərˈækʃn/ (n): sự tương tác. Tạm dịch: Tại các công ty như Facebook, Amazon, Apple, Netflix và Google, chúng giúp phát triển các kế hoạch dài hạn và tương tác kỹ thuật số."
9,"Artificial intelligence is based on the _____ that the process of human thought can be mechanized.",evidence,theory,belief,assumption,D,A. evidence /'evidəns/ (n): bằng chứng | B. theory /'θiəri/ (n): lý thuyết | C. belief /bɪ'li:f/ (n): niềm tin | D. assumption /əˈsʌmpʃən/ (n): giả định. Tạm dịch: Trí tuệ nhân tạo được dựa trên giả định rằng quá trình suy nghĩ của con người có thể được cơ giới hóa.
10,"An electronic brain refers to a large computing machine depending _____ on electronic devices for its operation.",primarily,immediately,artificially,naturally,A,"A. primarily /praɪ'merəli/ (adv): chủ yếu, chính | B. immediately /ɪ'mi:diətli/ (adv): ngay lập tức | C. artificially /ˌɑːtɪˈfɪʃəli/ (adv): giả tạo | D. naturally /ˈnætʃrəli/ (adv): tự nhiên. Tạm dịch: Một bộ não điện tử đề cập đến một máy tính lớn phụ thuộc chủ yếu vào các thiết bị điện tử cho sự hoạt động của nó."
