id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"The history of what we call cinema today began in the ___________ 19th century.",lately,late,early,next,C,"A. lately /'leɪtli/ (adv): gần đây | B. late /leɪt/ (a): trễ, muộn, cuối | C. early /'ɜ:li/ (a): sớm, đầu | D. next /nekst/ (a): kế tiếp. Tạm dịch: Lịch sử của ngành điện ảnh ngày nay đã bắt đầu từ đầu thế kỉ 19."
2,"From that time, film makers were prepared to make longer and better films and build ___________ places where only films were shown.",normal,special,unlimited,unrestricted,B,"A. normal /'nɔ:məl/ (a): bình thường | B. special /'speʃəl/ (a): đặc biệt | C. unlimited /ʌn'lɪmɪtɪd/ (a): không giới hạn | D. unrestricted /ˌʌnrɪ'strɪktɪd/ (a): không nghiêm khắc. Tạm dịch: Từ đó, các nhà làm phim đã được chuẩn bị để sản xuất ra những bộ phim dài hơn và hay hơn cũng như xây dựng những nơi chuyên dụng chỉ dùng để chiếu phim."
3,"Silence of The Lambs is a/an ___________ film. It makes the audience scared.",comedy,science fiction,action,horror,D,"A. comedy /'kɒmədi/ (n): hài kịch | B. science fiction /ˌsaɪəns 'fɪkʃən/ (a): khoa học viễn tưởng | C. action /'ækʃən/ (n): hoạt động | D. horror /'hɒrər/ (n): cảm giác sợ hãi, kinh hoàng. Tạm dịch: Bộ phim “Silence of The Lambs” là một bộ phim kinh dị. Nó khiến khán giả cảm thấy sợ hãi."
4,"The ship hits an iceberg and ___________ rapidly.",sinks,improves,escapes,floats,A,"A. sink /sɪŋk/ (v): chìm | B. improve /ɪm'pru:v/ (v): cải thiện | C. escape /ɪ'skeɪp/ (v): trốn thoát | D. float /fləʊt/ (v): nổi. Tạm dịch: Con tàu đã đâm vào tảng băng và chìm xuống nhanh chóng."
5,"We’re best friends as we have a ___________ interest in music.",passion,passionately,passionless,passionate,D,"A. passion /'pæʃən/ (n): niềm đam mê | B. passionately /'pæʃənətli/ (adv): một cách nồng nhiệt | C. passionless /'pæʃənləs/ (a): lạnh nhạt | D. passionate /'pæʃənət/ (a): say đắm, nồng nhiệt. Tạm dịch: Chúng tôi là bạn thân của nhau, vì chúng tôi có chung một niềm đam mê cháy bỏng với âm nhạc."
6,"My teacher assigned us a writing task about ___________ of our favorite singers.",biology,biography,biodiversity,biochemist,B,"A. biology /baɪ'ɒlədʒi/ (n): môn Sinh học | B. biography /baɪ'ɒɡrəfi/ (n): tiểu sử, lý lịch | C. biodiversity /ˌbaɪəʊdaɪ'vɜ:səti/ (n): sự đa dạng hệ sinh thái | D. biochemist /ˌbaɪəʊ'kemɪst/ (n): nhà hóa học. Tạm dịch: Bài tập về nhà giáo viên giao cho chúng tôi là viết một bài tiểu sử về một ca sĩ yêu thích của bản thân."
7,"Titanic is a ___________ love story film.",tragic,funny,exciting,interesting,A,"A. tragic /'trædʒɪk/ (a): bi kịch | B. funny /'fʌni/ (a): hài hước | C. exciting /ɪk'saɪtɪŋ/ (a): hào hứng | D. interesting /'ɪntrəstɪŋ/ (a): thú vị. Tạm dịch: “Titanic” là một bộ phim tâm lý tình cảm bi kịch."
8,"Lina, the ___________ album of the new music band in our city, will be uploaded on the website next week. I’m looking forward to listening to it.",debut,only,best-selling,individual,A,"A. debut /'deɪbju:/ (n): buổi trình diễn đầu tiên, lần ra mắt đầu tiên | B. only /'əʊnli/ (a): chỉ | C. best-selling /best'selɪŋ/ (a): bán chạy | D. individual /ˌɪndɪ'vɪdʒuəl/ (n): cá nhân. Cấu trúc: look forward to + V-ing. Tạm dịch: “Lina”, album mở đầu của một ban nhạc mới ở thành phố của chúng tôi, sẽ được đăng lên mạng vào tuần tới."
9,"The ___________ cheered loudly when the singers came out on the stage.",audience,spectator,public,watcher,A,"A. audience /'ɔ:diəns/ (n): khán giả (các buổi biểu diễn, hòa nhạc) | B. spectator /spek'teɪtər/ (n): khán giả (cổ vũ trong thi đấu) | C. public /'pʌblɪk/ (n): cộng đồng, công chúng | D. watcher /'wɒtʃər/ (n): người xem. Tạm dịch: Khán giả đã reo hò nồng nhiệt khi cô ca sĩ bước ra sân khấu."
10,"A ___________ is a famous cinema actor or actress.",filmgoer,film director,film maker,film star,D,"A. filmgoer (n): người thường đi xem phim ở rạp | B. film director (n): đạo diễn phim | C. film maker (n): nhà làm phim | D. film star /'fɪlm ,stɑ:r/ (n): ngôi sao điện ảnh. Tạm dịch: Một ngôi sao điện ảnh là một nam hoặc nữ diễn viên điện ảnh nổi tiếng."
11,"The ___________ between the original book and this new film is very faint.",relative,relation,relationship,related,B,"A. relative /'relətɪv/ (n): họ hàng | B. relation /rɪ'leɪʃən/ (n): sự liên quan, mối liên hệ | C. relationship /rɪ'leɪʃənʃɪp/ (n): mối quan hệ | D. related /rɪ'leɪtɪd/ (a): liên quan. Tạm dịch: Sự liên quan giữa cuốn sách gốc và bộ phim mới này rất mờ nhạt."
12,"There’s a love story in it, and it’s very funny. I suppose you’d call it a ___________.",horror film,detective film,romantic comedy,thriller,C,"A. horror film (n): phim kinh dị | B. detective film (n): phim trinh thám | C. romantic comedy (n): hài kịch lãng mạn | D. thriller (n): phim kinh dị. Tạm dịch: Bộ phim nói về một câu chuyện tình yêu pha thêm một ít sự hài hước, tôi đoán bạn sẽ gọi nó là hài kịch lãng mạn."
13,"Steven Spielberg is one of the famous ___________ . He has made lots of films including “Jaw, Jurassic Park, Schindler’s List”, etc.",stars,directors,actors,script writers,B,"A. star (n): ngôi sao | B. director /daɪ'rektər/ (n): đạo diễn | C. actor (n): diễn viên | D. script writer (n): người viết kịch bản. Tạm dịch: Steven Spielberg là một đạo diễn rất nổi tiếng."
14,"The film contains of explicit ___________ of violence.",scenes,scents,sceneries,screens,A,"A. scene /si:n/ (n): cảnh | B. scent (n): mùi hương | C. scenery /'si:nəri/ (n): phong cảnh | D. screen (n): màn ảnh. Tạm dịch: Bộ phim này chứa rất nhiều cảnh bạo lực."
15,"He practically ___________ a comic style called stand-up comedy in which a comedian performs in front of a live audience.",realized,invented,distributed,thought,B,"A. realize (v): nhận ra | B. invent /ɪn'vent/ (v): phát minh | C. distribute (v): phân phát | D. think (v): suy nghĩ. Tạm dịch: Anh ấy đã phát minh ra một thể loại hài kịch mới, được gọi là hài độc thoại."
16,"That the young talented pianist won the Pulitzer Prizes has attracted ___________ attention.",worldwide,scientific,undue,comprehensive,A,"A. worldwide /ˌwɜ:ld'waɪd/ (a)(adv): toàn cầu | B. scientific (a): thuộc về khoa học | C. undue (a): quá mức | D. comprehensive (a): hiểu. Tạm dịch: Sự kiện nghệ sĩ piano trẻ tài năng giành được giải Pulitzer đã thu hút được nhiều sự chú ý trên toàn thế giới."
17,"Quang Hung sometimes feels ___________ of his country, Viet Nam, when he hears the national anthem.",interested,delighted,proud,ashamed,C,"A. interested (a): thích thú | B. delighted (a): vui vẻ | C. proud /praʊd/ (a): tự hào | D. ashamed (a): xấu hổ. Tạm dịch: Quang Hùng thường cảm thấy tự hào về đất nước của mình, Việt Nam, khi anh ấy nghe quốc ca."
