id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"My Math teacher is the one who is the most ___________ of the staff in the school.",respectable,respected,respective,respectful,A,"A. respectable /rɪˈspektəbl/ (a): đáng kính, đáng tôn trọng | B. respected /rɪˈspektɪd/ (a): được tôn trọng, kính trọng | C. respective /rɪˈspektɪv/ (a): riêng từng cái; tương ứng | D. respectful /rɪˈspektfl/ (a): lễ phép, kính cẩn. Tạm dịch: Giáo viên dạy Toán của tôi là một trong những người đáng kính nhất trong các nhân viên trong trường."
2,"I still keep wondering if I was doing the right thing when I asked my father for ___________ permission to leave school.",a,an,the,0,D,"Permission /pəˈmɪʃn/ (n): sự cho phép. Permission là một danh từ trừu tượng nên không dùng mạo từ. Tạm dịch: Tôi vẫn cứ tự hỏi liệu tôi có đang làm đúng khi xin bố tôi cho phép nghỉ học."
3,"The boy was punished for playing ___________ from his physics lessons.",truant,runaway,absent,joyride,A,"A. truant /ˈtruːənt/ (n/a): đứa bé trốn học/ lêu lổng | B. runaway /ˈrʌnəweɪ/ (n/a): người bỏ trốn/ chạy trốn | C. absent /ˈæbsənt/ (a): vắng mặt | D. joyride /ˈdʒɔɪraɪd/ (n): cuộc đi chơi lén lút. Cụm từ cố định: play truant: trốn học. Tạm dịch: Cậu bé bị phạt bởi đã trốn tiết Vật lý."
4,"The students in the nursing department are ___________ female.",restrictively,predominantly,arbitrarily,spontaneously,B,"A. restrictively /rɪˈstrɪktɪvli/ (adv): một cách hạn chế | B. predominantly /prɪˈdɒmɪnəntli/ (adv): phần lớn, chủ yếu | C. arbitrarily /ˌɑːbɪˈtrerəli/ (adv): tùy tiện, ngẫu nhiên | D. spontaneously /spɒnˈteɪniəsli/ (adv): thanh thoát, tự nhiên, không gò bó. Tạm dịch: Sinh viên trong khoa điều dưỡng phần lớn là nữ."
5,"Education in England puts ___________ force for children from 9 to 16 years old.",into,on,off,through,A,"Cụm từ cố định: put into force : bắt buộc. Tạm dịch: Giáo dục là bắt buộc đối với trẻ từ 9 đến 16 tuổi."
6,"Students who study far from home often have problems with ___________.",recommendation,mortgage,campus,accommodation,D,"A. recommendation /ˌrekəmenˈdeɪʃn/ (n): thư giới thiệu, lời đề cử | B. mortgage /ˈmɔːɡɪdʒ/ (n): tiền thế chấp | C. campus /ˈkæmpəs/ (n): khu sân bãi (của trường trung học, đại học) | D. accommodation /əˌkɒməˈdeɪʃn/ (n): chỗ ăn ở, chỗ trọ. Tạm dịch: Sinh viên học xa nhà thường có vấn đề về việc chỗ ở."
7,"She took a course in fine arts ___________ starting her own business in interior design.",with a view to,in terms of,in order to,with reference to,A,"A. with a view to + V-ing: với mục đích làm gì | B. in terms of: xét về mặt | C. in order to = so as to + V(bare): để mà | D. with reference to: về, đối với (vấn đề gì). Tạm dịch: Cô đã tham gia một khóa học Mỹ thuật với mục đích bắt đầu việc kinh doanh riêng của mình trong thiết kế nội thất."
8,"The university administrations are introducing new measures to ___________ that the enrolment process runs smoothly.",maintain,improve,facilitate,ensure,D,"A. maintain /meɪnˈteɪn/ (v): duy trì | B. improve /ɪmˈpruːv/ (v): trau dồi | C. facilitate /fəˈsɪlɪteɪt/ (v): làm cho thuận tiện, dễ dàng | D. ensure /ɪnˈʃʊə(r)/ (v): đảm bảo. Tạm dịch: Các cơ quan quản lý trường đại học đang giới thiệu các biện pháp mới để đảm bảo rằng quá trình tuyển sinh diễn ra trơn tru."
9,"The school was closed for a month because of serious ___________ of fever.",outcome,outburst,outbreak,outset,C,"A. outcome /ˈaʊtkʌm/ (n): hậu quả | B. outburst /ˈaʊtbɜːst/ (n): sự bùng lửa, cơn giận | C. outbreak /ˈaʊtbreɪk/ (n): sự bùng nổ (dịch bệnh, chiến tranh,...) | D. outset /ˈaʊtset/ (n): sự khởi đầu. Tạm dịch: Trường học đã đóng cửa một tháng vì sự bùng nổ nghiêm trọng của dịch sốt."
10,"Students are not allowed to handle these chemicals unless they are under the ___________ of a teacher.",supervision,examination,guidance,assistance,A,"A. supervision /ˌsuːpəˈvɪʒn/ (n): sự trông nom, giám sát | B. examination /ɪɡˌzæmɪˈneɪʃn/ (n): bài kiểm tra, kì thi | C. guidance /ˈɡaɪdns/ (n): sự hướng dẫn | D. assistance /əˈsɪstəns/ (n): sự giúp đỡ, phụ tá. Tạm dịch: Học sinh không được phép xử lý các hóa chất trừ khi là dưới sự giám sát của giáo viên."
11,"Could you stand ___________ for me and teach my English class tomorrow morning, John?",up,in,out,down,B,"Cụm từ cố định: stand in for sb: thay thế tạm thời ai đó. Tạm dịch: Bạn có thể thay tôi đứng lớp tiếng Anh vào sáng ngày mai được không John?"
12,"“How was your exam?” “A couple of questions were tricky, but on the ___________ it was pretty easy.”",spot,general,hand,whole,D,"A. on the spot: ngay lập tức | B. in general: nói chung, nhìn chung | C. on hand: sẵn sàng, sẵn có | D. on the whole: nhìn chung là. Tạm dịch: “Bài kiểm tra hôm qua của cậu như thế nào?” - “Có một vài câu đánh đố nhưng nhìn chung thì khá là dễ.”"
13,"If you practice regularly, you can learn this language skill in short ___________ of time.",period,phrase,span,stage,A,"A. period /ˈpɪəriəd/ (n): thời kỳ, giai đoạn, khoảng thời gian | B. phrase /freɪz/ (n): nhóm cụm từ, thành ngữ | C. span /spæn/ (n): chiều dài (từ đầu này đến đầu kia) | D. stage /steɪdʒ/ (n): giai đoạn, giai thoại. Cụm từ: in short period of time: trong thời gian ngắn. Tạm dịch: Nếu bạn thường xuyên thực hành, bạn có thể học kĩ năng ngoại ngữ trong một thời gian ngắn."
14,"Points will be added to the Entrance Examination scores for those who hold an excellent high school ___________.",degree,certificate,diploma,qualification,C,"A. degree /dɪˈɡriː/ (n): bằng cấp, cấp độ | B. certificate /səˈtɪfɪkət/ (n): chứng chỉ | C. diploma /dɪˈpləʊmə/ (n): giấy khen, bằng khen, bằng tốt nghiệp | D. qualification /ˌkwɒlɪfɪˈkeɪʃn/ (n): trình độ, đẳng cấp. Tạm dịch: Điểm sẽ được bổ sung (cộng) vào điểm thi tuyển sinh đối với những học sinh có bằng tốt nghiệp THPT xuất sắc."
15,"Higher education is very important to national economies, and it is also a source of trained and ___________ personnel for the whole country.",educated,educational,educative,uneducated,A,"A. educated /ˈedʒukeɪtɪd/ (a): có học thức | B. educational /ˌedʒuˈkeɪʃənl/ (a): thuộc về giáo dục, có tính giáo dục | C. educative /ˈedʒukətɪv/ (a): có tác dụng giáo dục | D. uneducated /ʌnˈedʒukeɪtɪd/ (a): vô giáo dục, không được giáo dục. Tạm dịch: Giáo dục đại học rất quan trọng đối với nền kinh tế quốc gia, và đây cũng là một nguồn nhân lực được đào tạo và giáo dục cho cả nước."
16,"Mr Brown has kindly agreed to spare us some of his ___________ time to answer our questions.",valuable,worthy,costly,beneficial,A,"A. valuable /ˈvæljuəbl/ (a): có giá trị lớn, quý giá | B. worthy /ˈwɜːði/ (a): xứng đáng | C. costly /ˈkɒstli/ (a): đắt tiền, quý giá | D. beneficial /ˌbenɪˈfɪʃl/ (a): có lợi. Tạm dịch: Ông Brown đã vui lòng đồng ý dành thời gian quý báu của mình để trả lời câu hỏi của chúng tôi."
17,"A university degree is considered to be a ___________ for entry into most professions.",demand,requisite,claim,request,B,"A. demand /dɪˈmɑːnd/ (n): yêu cầu, đòi hỏi | B. requisite /ˈrekwɪzɪt/ (n): điều kiện tất yếu, điều kiện tiên quyết | C. claim /kleɪm/ (n): khẳng định | D. request /rɪˈkwest/ (n): yêu cầu. Tạm dịch: Một tấm bằng đại học được coi là một điều kiện tiên quyết để vào hầu hết các ngành nghề."
18,"Many people object to using physical ___________ in dealing with discipline problems at school.",violence,penalty,punishment,sentence,C,"A. violence /ˈvaɪələns/ (n): bạo lực | B. penalty /ˈpenəlti/ (n): hình phạt, tiền phạt | C. punishment /ˈpʌnɪʃmənt/ (n): sự trừng phạt | D. sentence /ˈsentəns/ (n): sự kết tội. Tạm dịch: Nhiều người phản đối việc sử dụng hình phạt về thể chất trong việc giải quyết các vấn đề kỷ luật ở trường."
19,"“___________ violence has recently increased not only in quantity, but also in severity”, said educational experts.",Schooling,Scholar,Scholarship,School,D,"A. Schooling /ˈskuːlɪŋ/ (n): sự dạy dỗ trong trường học, việc học | B. Scholar /ˈskɒlə(r)/ (n): học giả | C. Scholarship /ˈskɒləʃɪp/ (n): học bổng | D. School /skuːl/ (n): trường học. Cụm danh từ ghép: school violence: bạo lực học đường. Tạm dịch: “Bạo lực học đường gần đây đã tăng lên không chỉ ở số lượng, mà còn ở mức độ nghiêm trọng”, các chuyên gia giáo dục cho biết."
20,"It’s necessary for students to listen to their teacher ___________.",attend,attentive,attentively,attention,C,"A. attend /əˈtend/(v): tham gia | B. attentive /əˈtentɪv/ (a): chăm chú | C. attentively /əˈtentɪvli/ (adv): một cách chăm chú | D. attention /əˈtenʃn/ (n): sự chú ý. Tạm dịch: Rất cần thiết để học sinh lắng nghe giáo viên của họ một cách chăm chú."
21,"My mother ___________ me against staying late at night to prepare for exams.",warned,recommended,reprimanded,encouraged,A,"A. warn /wɔːn/ (v): cảnh báo | B. recommend /ˌrekəˈmend/ (v): giới thiệu, tiến cử | C. reprimand /ˈreprɪmɑːnd/ (v): khiển trách, quở trách | D. encourage /ɪnˈkʌrɪdʒ/ (v): khuyến khích. Cấu trúc: warn sb against doing smt = warn sb not to do smt: cảnh báo ai không làm gì. Tạm dịch: Mẹ tôi cảnh báo tôi không nên thức khuya đêm này qua đêm khác để ôn thi."
