id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"They were so excited about joining the local ___________ group that they couldn't sleep last night.",volunteer,voluntary,voluntarily,volunteerism,A,"A. volunteer /ˌvɒlənˈtɪə(r)/ (n): tình nguyện viên | B. voluntary (a): tình nguyện | C. voluntarily (adv). Căn cứ vào tính từ 'local' thì vị trí trống cần một danh từ. Tạm dịch: Họ đã rất hào hứng khi được gia nhập vào các nhóm tình nguyện viên ở địa phương."
2,"English teaching is considered a good example of a volunteer job which often turns ___________ a career.",off,up,on,into,D,"Cấu trúc: Turn into: biến thành. Tạm dịch: Dạy tiếng Anh được xem là một ví dụ điển hình của công việc tình nguyện, việc này thường biến thành một nghề nghiệp."
3,"A/an ___________ is a person who needs others to take care of him/her, because of illness that he/she had for a long time.",patient,martyr,invalid,addict,C,"A. patient: bệnh nhân | B. martyr: liệt sĩ | C. invalid /ɪnˈvælɪd/ (n): người bệnh tật, người tàn tật | D. addict: người nghiện. Tạm dịch: Một người tàn tật là người cần sự chăm sóc của người khác vì bệnh lâu ngày."
4,"Mr. Chen is more ___________ because he has finally agreed to allow his daughter to join an overseas volunteer organization in Africa.",single-minded,narrow-minded,absent-minded,open-minded,D,"A. single-minded: quyết tâm | B. narrow-minded: hẹp hòi | D. open-minded /ˌəʊpən ˈmaɪndɪd/ (a): cởi mở, rộng lượng. Tạm dịch: Ông Chen đã dễ tính hơn (cởi mở hơn) khi cho con gái tham gia tình nguyện quốc tế."
5,"A lot of generous businessmen have ___________ valuable contributions to helping needy people.",done,taken,made,given,C,"Cấu trúc: make contributions to: đóng góp, ủng hộ. Tạm dịch: Nhiều doanh nhân hào phóng đã ủng hộ để giúp đỡ những người khó khăn."
6,"Volunteer organizations are generally small-staffed, so they need to ___________ lots of volunteers for a huge event.",employ,recruit,research,catch,B,"A. employ: thuê | B. recruit /rɪˈkruːt/ (v): tuyển | C. research: nghiên cứu. Tạm dịch: Các tổ chức tình nguyện thường ít nhân viên nên cần tuyển thêm nhiều tình nguyện viên cho sự kiện lớn."
7,"You’d better ___________ a commitment to being a volunteer on a regular basis.",promise,do,make,pull,C,"Cấu trúc: Make a commitment to doing st: cam kết, dốc sức làm gì. Tạm dịch: Tốt hơn bạn nên làm một cam kết để trở thành một tình nguyện viên thường xuyên."
8,"They visit a retirement home and ___________ time doing fun activities with the elderly who lack immediate family.",spend,lose,waste,consume,A,"A. spend /spend/ (v): dành (thời gian) | B. lose: đánh mất | C. waste: lãng phí. Tạm dịch: Chúng tôi đến thăm viện dưỡng lão và dành nhiều thời gian để chơi với các cụ già."
9,"Both community ___________ and volunteerism are an investment in our community and the people who live in it.",life,language,performance,service,D,"D. service /ˈsɜːvɪs/ (n): dịch vụ. Community service: dịch vụ cộng đồng. Tạm dịch: Cả dịch vụ cộng đồng và phong trào tình nguyện đều là sự đầu tư cho cộng đồng."
10,"When you get involved in a volunteer project, you are able to ___________ your knowledge into practice.",take,put,bring,push,B,"Cấu trúc: Put one's knowledge into practice: áp dụng kiến thức vào thực tế. Tạm dịch: Khi tham gia dự án tình nguyện, bạn có thể áp dụng những kiến thức đã học vào thực tế."
11,"These ___________ children encounter many problems and really need our help.",disadvantaged,advantaged,disadvantage,advantage,A,"A. disadvantaged /ˌdɪsədˈvɑːntɪdʒd/ (a): thiệt thòi. Căn cứ vào danh từ 'children' cần một tính từ. Tạm dịch: Những trẻ em thiệt thòi đang phải đối mặt với nhiều vấn đề khó khăn."
12,"Volunteers can work with many ___________ children who were harmed by Agent Orange in childcare centres.",parentless,disabled,poor,homeless,B,"B. disabled /dɪˈseɪbld/ (a): khuyết tật. Tạm dịch: Tình nguyện viên có thể làm việc với những trẻ em khuyết tật chịu ảnh hưởng bởi chất độc màu da cam."
13,"Many international volunteer organizations are trying to find a ___________ to the problem of world hunger.",way,method,suggestion,solution,D,"D. solution /səˈluːʃn/ (n): giải pháp. Tạm dịch: Nhiều tổ chức tình nguyện quốc tế đang cố gắng tìm ra giải pháp cho nạn đói trên thế giới."
14,"Contact is ___________ connecting students with volunteer organizations abroad.",in place of,in charge of,in case of,in danger of,B,"B. in charge of (sb/st): chịu trách nhiệm cho ai/cái gì. Tạm dịch: Liên lạc đảm nhiệm kết nối học sinh với các tổ chức tình nguyện quốc tế."
15,"Football superstar David Beckham has a huge ___________ for kids in need.",head,strength,memory,heart,D,"D. heart /hɑːt/ (n): trái tim. Cấu trúc: Have a huge heart for sb: có tấm lòng nhân hậu dành cho ai. Tạm dịch: Beckham có một tấm lòng hào hiệp dành cho những đứa trẻ thiếu thốn."
