id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"The mass media are _____ of communication, such as books, newspapers, recordings, radio, movies, television, mobile phones and the Internet",models.,means,parts,types,B,"A. models /ˈmɒdlz/ (n): mô hình, kiểu mẫu | B. means /mi:nz/ (n): cách thức, phương tiện | C. parts /pɑ:ts/ (n): phần | D. types /taɪpz/ (n): kiểu. Tạm dịch: Phương tiện truyền thông đại chúng ỉà những phương tiện để giao tiếp như sách vở, báo chí, bài ghi âm, máy thu thanh, những bộ phim, điện thoại di động và Internet."
2,"_____ , data superhighway, multimedia - for those who have seen the future, the linking of computers, television and telephones will change our lives.",Cyberspace,Cyberattack,Cyberbully,Cyberbullying,A,"A. cyberspace /ˈsaɪbəspeɪs/ (n): mạng ảo | B. cyberattack /ˈsaɪbərətæk/ (n): việc tấn công trên mạng một cách trái phép | C. cyberbully /ˈsaɪbəbʊli/ (n): kẻ quấy rối trên mạng (đặc biệt là qua tin nhắn) | D. cyberbullying /ˈsaɪbəbʊliɪŋ/ (v-ing): việc quấy rối trên mạng. Tạm dịch: Mạng ảo, siêu dữ liệu, đa phương tiện ỉà những thứ dành cho chúng ta, những người nhìn thấy được tương lai, việc kết nối những chiếc máy tính, vô tuyến và điện thoại cùng với nhau sẽ thay đổi cuộc sống của chúng ta."
3,"The mass media are means of communication, such as books, newspapers, recordings, radio, movies, television, mobile phones and the Internet, that can _____ a large audience.",approach,reach,illustrate,transmit,B,"A. approach /əˈprəʊtʃ/ (v): tiếp cận | B. reach /ri:tʃ/ (v): đạt tới | C. illustrate /ˈɪləstreɪt/ (v): minh họa | D. transmit /trænzˈmɪt/ (v): truyền, dẫn. Tạm dịch: Phương tiện truyền thông đại chúng là phương tiện để giao tiếp như sách vở, báo chí, bài ghi âm, máy thu thanh,những bộ phim, vô tuyến, điện thoại di động và Internet, cái mà đã có được một lượng lớn khán giả."
4,"Most apps are fun and people use them all the time - to chat with friends, play games, get _____ , check the weather forecast, read news and books, and a lot more.",guides,directions,attentions,help,B,"A. guides /gaɪdz/ (n): hướng dẫn | B. directions /dəˈrekʃənz/ (n): chỉ dẫn | C. attentions /əˈtenʃənz/ (n): sự chú ý | D. help /help/ (n): sự giúp đỡ. Tạm dịch: Đa số các ứng dụng khá thú vị và người ta sử dụng chúng mọi lúc đế tán gẫu với những người bạn, chơi trò chơi, xem chỉ dẫn, kiểm tra dự báo thời tiết, đọc tin tức, đọc sách và nhiều điều khác."
5,"TV companies _____ their programmes across the country or even across the world.",broadcast,refresh,connect,publish,A,A. broadcast /ˈbrɔːdkɑːst/ (y): phát sóng | B. refresh /rɪˈfreʃ/ (y): làm tươi mới | C. connect /kə'nekt/ (v): kết nối | D. publish /ˈpʌblɪʃ/ (v): xuất bản. Tạm dịch: Những công ty Truyền hình phát sóng chương trình của họ khắp quốc gia và thậm chí là khắp thế giới.
6,"While a sports match has spectators and radio has listeners, television has _____",audience,witnesses,viewers,commentators,C,"A. audience /ˈɔːdiəns/ (n): khán giả | B. witnesses /ˈwɪtnəsəz/ (n): nhân chứng | C. viewers /ˈvjuːərz/ (n): người xem ti vi | D. commentators /ˈkɒmənteɪtərz/ (n): nhà bình luận. Tạm dịch: Trong khi trận đấu thể thao có những cổ động viên, máy thu thanh có những người nghe thì ti vi có những người xem."
7,"Mobile security apps are designed to protect and secure smartphone and tablet devices, in cases of theft or _____ of data.",loss,stolen,robbed,persecuted,A,"A. loss /lɒs/ (n): mất | B. stolen /'stəʊlən/ (v-ed): ăn cắp | C. robbed /rɒbd/ (v-ed): bị cướp | D. persecuted /ˈpɜːsɪkjuːtɪd/ (v-ed): quấy rầy, khủng bố. Tạm dịch: Những ứng dụng bảo mật di động được thiết kế để bảo vệ và giữ an toàn cho điện thoại thông minh và các máy tính bảng trong trường hợp bị cướp hoặc bị đánh mất dữ liệu."
8,"I hate _____ newspapers; they're just full of gossip, scandal and lies!",online,daily,tabloid,rubbish,C,"A. online /ˌɒnˈlaɪn/ (a): trực tuyến | B. daily /'deɪli/ (a): hằng ngày | C. tabloid /ˈtæblɔɪd/ (a): vắn tắt | D. rubbish /ˈrʌbɪʃ/ (a): rác rưởi. Cụm từ: tabloid newspapers: báo lá cải. Tạm dịch: Tôi ghét báo lá cải; chúng toàn là những chuyện ngồi lê đôi mách, các vụ bê bối và những lời dối trá."
9,"Television can make things _____ because it presents information in an effective way.",memory,memorial,memorable,memorably,C,"A. memory /'meməri/ (n): bộ nhớ | B. memorial /'meməriəl/ (a): kỷ niệm; để ghi nhớ, để kỷ niệm | C. memorable /'memərəbəl/ (a): đáng nhớ, dễ nhớ | D. memorably /'memərəbəli/ (adv): về mặt trí nhớ. Tạm dịch: Vô tuyến có thể làm cho mọi thứ thật dễ nhớ vì nó trình bày thông tin theo một cách hiệu quả."
10,"There's a great show on BBC1 tonight. Contestants have to race through a _____ supermarket as quickly as they can, filling up their trolleys as they go.",talk,game,quiz,live,B,Cụm từ: game show: trò chơi truyền hình. Tạm dịch: Có một trò chơi truyền hình trên kênh BBC1 tối nay. Những thí sinh phải đua trong siêu thị sao cho càng nhanh càng tốt để làm đầy xe đẩy hàng của họ khi họ đi.
11,"On some TV channels, a(n) be. tells you what the next programme is going to",journalist,commentator,announcer,producer,C,"A. journalist /ˈdʒɜːnəlɪst/ (n): nhà báo | B. commentator /ˈkɒmənteɪtər/ (n): nhà bình luận | C. announcer /əˈnaʊnsər/ (n): người dẫn chương trình | D. producer /prəˈdjuːsər/ (n): nhà sản xuất. Tạm dịch: Ở một vài kênh Truyền hình, người dẫn chương trình sẽ báo cho bạn biết chương trình tiếp theo chuẩn bị lên sóng."
