id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Mass media is one of the most significant agents of socialization that help people in their own _____ of beliefs and social norms.",deformity,formation,malformation,former,B,"A. deformity /dɪˈfɔːməti/ (n): tình trạng méo mó, dị dạng | B. formation /fɔːˈmeɪʃn/ (n): sự hình thành | C. malformation /ˌmælfɔːˈmeɪʃn/ (n): cơ thể bị dị tật | D. former / /ˈfɔːrmər/ (a): trước đây. Tạm dịch: Truyền thông đại chúng là một trong những nhân tố quan trọng của xã hội hóa, cái mà giúp con người hình thành nên những tín ngưỡng và những chuẩn mực xã hội."
2,"Our social relations enable us to shape our _____ and sense of sympathytowards others.",individuals,individuality,individualistic,individualism,B,A. individual /ˌɪndɪˈvɪdʒuəl/ (n): cá nhân | B. individuality /ˌɪndɪˌvɪdʒuˈæləti/ (n): cá tính | C. individualistic /ˌɪndɪˌvɪdʒuəˈlɪstɪk/ (a): mang tính cá nhân | D. individualism /ˌɪndɪˈvɪdʒuəlɪzəm/ (n): chủ nghĩa cá nhân. Tạm dịch: Những mối liên quan xã hội cho phép chúng ta hình thành nên cá tính riêng và khả năng đồng cảm đối với người khác.
3,"_____ problems are most prevalent in school-aged children. They usually act strangely and are not really open-minded to others.",misbehaving,behave,behaviors,behavioral,D,A. misbehaving /ˌmɪsbɪˈheɪv/ (v-ing): cư xử không đúng | B. behave /bɪˈheɪv/ (v): cư xử | C. behaviors /bɪˈheɪvjərz/ (n): hành vi | D. behavioral /bɪˈheɪvjərəl/ (a): thuộc về cư xử. Tạm dịch: Những vấn đề về cư xử là vấn đề phổ biến nhất của trẻ còn trong tuổi đến trường. Chúng thường hành động lạ lùng và không thực sự mở lòng ra với người khác.
4,"Communication serves several critical roles in the lives of older adults, including maintaining a sense of identity and relieving loneliness, _____ and anxiety.",depressed,antidepressants,depression,depressive,C,"A. depressed /dɪ'prest/ (a): buồn, trầm cảm | B. antidepressants /ˌæntidɪˈpresnt/ (n): thuốc chống suy nhược | C. depression /dɪˈpreʃn/ (n): sự chán nản | D. depressive /dɪˈpresɪv/ (a): suy nhược, suy yếu. Tạm dịch: Giao tiếp đóng nhiều vai trò quan trọng trong cuộc sống của người lớn, bao gồm cả việc duy trì tính đồng nhất và làm giảm đi sự cô đơn, chán nản và lo âu."
5,"That ill-mannered child was told to _____ for being rude to his aunt.",convict,excuse,pardon,apologize,D,A. convict /kənˈvɪkt/ (v): kết án | B. excuse /ɪkˈskjuːs/ (v): viện cớ | C. pardon /ˈpɑːdn/ (v): thứ lỗi | D. apologize /əˈpɒlədʒaɪz/ (v): xin lỗi. Tạm dịch: Đứa trẻ cư xử không tốt đó được bảo là phải xin lỗi vì đã thô lỗ với dì của nó.
6,"Before the invention of the Internet, people couldn’t of _____ such universal access to information. The main way to update it at that time was to read newspaper.",approach,conceive,reminisce,contemplate,B,"A. approach /əˈprəʊtʃ/ (v): tiếp cận | B. conceive /kənˈsiːv/ (v): nghĩ ra, tưởng tượng ra | C. reminisce /ˌremɪˈnɪs/ (v): hồi tưởng | D. contemplate /ˈkɒntəmpleɪt/ (v): suy ngẫm. Tạm dịch: Trước khi phát minh ra Internet con người không thể nghĩ ra cách tiếp cận thông tin phổ biến như vậy. Con đường chính để cập nhật thông tin vào thời điểm đó là đọc báo."
7,"Andrew, my best friend _____ in me on the understanding that I wouldn't tell anyone else.",confided,intimated,disclosed,confessed,A,"A. confided /kənˈfaɪdɪd/ (v-ed): thổ lộ | B. intimated /ˈɪntɪmeɪtɪd/ (v-ed): báo cho biết | C. disclosed /dɪsˈkləʊzd/ (v-ed): vạch trần, phơi bày | D. confessed /kənˈfest/ (v-ed): thú nhận. Tạm dịch: Andrew, bạn thân nhất của tôi đã thổ lộ với tôi vì tôi sẽ không kể với ai cả."
8,"My grandfather hates smartphones and is always _____ the art of conversation. the disappearance of",grieving,complaining,lamenting,moaning,C,"A. grieving /ɡriːvɪŋ/ (v-ing): gây đau buồn | B. complaining /kəmˈpleɪnɪŋ/ (v-ing): phàn nàn | C. lamenting /ləˈmentɪŋ/ (v-ing): than khóc, xót xa | D. moaning /məʊnɪŋ/ (v-ing): than vãn. Tạm dịch: ông bà tôi ghét điện thoại thông mình và luôn xót xa trước sự biến mất của nghệ thuật giao tiếp."
9,"Technological advancements such as video chats and messages have _____ changed the way we communicate with each other.",irredeemably,irrevocably,irreparably,irreplaceably,B,"A. irredeemably /ˌɪrɪˈdiːməbli/ (adv): không thể bù lại được | B. irrevocably /ɪˈrevəkəbli/ adv): không thể hủy bỏ, thay đổi | C. irreparably /ɪˈrepərəbli/ (adv): không thể sửa chữa được | D. irreplaceably /ˌɪrɪˈpleɪsəbli/ (adv): không thể thay thế. Tạm dịch: Những tiến bộ công nghệ như cuộc gọi thoại và tin nhắn đã thay đổi hoàn toàn cách mà con người giao tiếp với nhau."
10,"The sophisticated art of conversation has long been _____ neglected by youngsters.",woefully,pathetically,hilariously,dolefully,A,"A. woefully /ˈwəʊfəli/ (adv): đáng thương | B. pathetically /pəˈθetɪkli/ (adv): cảm động, lâm ly | C. hilariously /hɪˈleəriəsli/ (adv): vui nhộn, vui tươi | D. dolefully /ˈdəʊlfəli/ (adv): u sầu, buồn thảm. Tạm dịch: Nghệ thuật trò chuyện phức tạp đã bị bỏ rơi một cách đáng thương bởi người trẻ."
