id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Regular workout helps to _____ the body natural repair system, which, in turns, increases our general well-beings to a great extent.",stimulation,stimulate,stimulus,stimulant,B,"A. stimulation /ˌstɪmjuˈleɪʃn/ (n): sự kích thích | B. stimulate /ˈstɪmjuleɪt/ (v): kích thích | C. stimulus /ˈstɪmjələs/ (n): tác nhân kích thích | D. stimulant /ˈstɪmjələnt/ (n): chất kích thích. Tạm dịch: Tập luyện thường xuyên giúp kích thích hệ thống phục hồi tự nhiên của cơ thể, từ đó, làm tăng sức khỏe nói chung của chúng ta đến một mức độ lớn."
2,"Playing sports is a favourable condition for adolescents to cultivate mutual understanding as well as develop collaboration and _____ skills.",leading,leader,leadership,leaden,C,"A. leading /ˈliːdɪŋ/ (a): hàng đầu | B. leader /ˈliːdər/ (n): người lãnh đạo | C. leadership /ˈliːdəʃɪp/ (n): khả năng lãnh đạo | D. leaden /ˈledn/ (a): bằng chì, xám xịt, nặng nề Giaoandethitienganh.info. Tạm dịch: Chơi thể thao là điều kiện thuận lợi cho thanh thiếu niên trau dồi thêm hiểu biết cũng như phát triển khả năng phối hợp và kĩ năng lãnh đạo."
3,"If each developmental stage is fully formed, active children have the ability to completely reach their maximum _____ for participation in sports.",capacity,capacitate,capacitation,capacitance,A,"A. capacity /kəˈpæsəti/ (n): sức chứa, công suất | B. capacitate /kəˈpæsɪteɪt/ (v): làm cho có thể | D. capacitance /kəˈpæsɪtəns/ (n): điện dung capacity for something: khả năng tạo ra, trải qua, hiểu, học cái gì. Tạm dịch: Nếu mỗi giai đoạn phát triển được hình thành đầy đủ, trẻ em năng động có khả năng hoàn toàn đạt được khả năng tối đa để tham gia thể thao."
4,"Sports can be an effective way to foster blood circulation, burn extra fat as well as improve our stamina and _____",flexible,flexile,flexibility,flextime,C,"A. flexible /ˈfleksəbl/ (a): linh hoạt, dễ uốn nắn | B. flexile /'fleksil/ (a): linh hoạt | C. flexibility /ˌfleksəˈbɪləti/ (n): sự linh hoạt | D. flexitime /ˈfleksitaɪm/ (n): thời gian làm việc linh hoạt. Tạm dịch: Thể thao là cách hiệu quả để tăng cường sự tuần hoàn máu, đốt cháy chất béo, cải thiện sức chịu đựng và sự linh hoạt của chúng ta."
5,"According to Public Health England, 40% of the over 50s are leading _____ lifestyles these days.",depressive,vulnerable,powerful,sedentary,D,"A. depressive /dɪˈpresɪv/ (a): làm suy nhược, suy yếu | B. vulnerable /ˈvʌlnərəbl/ (a): dễ tổn thương | C. powerful /ˈpaʊəfl/ (a): hùng mạnh | D. sedentary /ˈsedntri/ (a): ngồi nhiều, ít đi chỗ khác. Tạm dịch: Theo cơ quan Y tế công cộng của Anh, 40% trong số những người trên 50 tuổi đang có lối sống ít vận động những ngày này."
6,"Although _____ to some people, the impacts of unhealthy lifestyles are for real.",dismissive,imperceptible,irrational,irrefutable,B,"A. dismissive /dɪsˈmɪsɪv/ (a): thô bạo, tùy tiện | B. imperceptible /ˌɪmpəˈseptəbl/ (a): không thể cảm thấy, không thể nhận thấy | C. irrational /ɪˈræʃənl/ (a): phi lý | D. irrefutable /ˌɪrɪˈfjuːtəbəl/ (a): không thể bác bỏ được (lí lẽ). Tạm dịch: Mặc dù khó nhận thấy đối với một số người nhưng những tác động của lối sống không lành mạnh là có thực."
7,"Team sports are good for learning accountability, _____ , and leadership, among many other traits.",dedication,analysis,management,academy,A,"A. dedication /ˌdedɪˈkeɪʃn/ (n): sự tận tâm | B. analysis /əˈnæləsɪs/ (n): sự phân tích | C. management /ˈmænɪdʒmənt/ (n): sự quản lí | D. academy /əˈkædəmi/ (n): học viện. Tạm dịch: Thể thao đồng đội thì tốt để học hỏi về trách nhiệm, sự tận tâm và khả năng lãnh đạo giữa rất nhiều điều khác nữa."
8,"Doing physical activities on a regular basis can lower our risk of _____ illnesses such as heart disease, cancer and diabetes.",recovering,refuting,diagnosing,contracting,D,"A. recovering /rɪˈkʌvərɪŋ / (v-ing): phục hồi | B. refuting /rɪˈfjuːtɪŋ/ (v-ing): bác bỏ | C. diagnosing /ˈdaɪəɡnəʊzɪŋ/ (v-ing): chẩn đoán | D. contracting /kənˈtræktɪŋ/ (v-ing): mắc phải (bệnh). Tạm dịch: Tập thể dục đều đặn có thể làm giảm nguy cơ mắc phải những căn bệnh như bệnh tim, ung thư và bệnh tiểu đường."
9,"The intrinsic value of sporting events is _____ to cement the diplomatic ties among _____ Giaoandethitienganh.info _____ nations all over the world.",aggressively,undoubtedly,inconsistently,inadequately,B,"A. agressively /əˈɡresɪvli/ (adv): hung hăng | B. undoubtedly /ʌnˈdaʊtɪdli/ (adv): không còn nghi ngờ gì, chắc chắn | C. inconsistently /ˌɪnkənˈsɪstəntli/ (adv): đầy mâu thuẫn | D. inadequately /ɪnˈædɪkwətli/ (adv): không thỏa đáng Giaoandethitienganh.info. Tạm dịch: Giá trị thực chất của các sự kiện thể thao chắc chắn là để thắt chặt mối quan hệ ngoại giao giữa các nước trên toàn thế giới."
10,"Fighting for a common goal, the best way to solve problems on route to a victory, teaches you how to build collaboration and communicate _____ A, excellently",,invaluably,effectively,unexpectedly,C,"A. excellently /ˈeksələntli/ (adv): xuất sắc | B. invaluably /ɪnˈvæljuəbi/ (adv): vô giá | C. effectively /ɪˈfektɪvli/ (adv): hiệu quả | D. unexpectedly /ˌʌnɪkˈspektɪdli/ (adv): bất ngờ. Tạm dịch: Đấu tranh vì một mục tiêu chung, cách tốt nhất để giải quyết các vấn đề trên con đường tới thành công, dạy cho bạn cách làm sao xây dựng được sự cộng tác và giao tiếp hiệu quả."
