id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Urbanization is the process by which ___________ areas grow bigger as more and more people leave the countryside to live in towns and cities.",rural,remote,suburban,urban,D,"A. rural /ˈrʊərəl/(a): dân dã, thôn quê | B. remote /rɪˈməʊt/(a): xa xôi | C. suburban /səˈbɜːbən/(a): ngoại ô | D. urban /ˈɜːbən/(a): thuộc đô thị. Tạm dịch: Sự đô thị hóa là một quá trình mà vì nó những khu vực thành thị trở nên lớn hơn và ngày càng nhiều người rời nông thôn để đến sống ở thị xã và thành phố."
2,"The new policies include cutting ___________ subsidies and trade barriers.",agriculture,agricultural,agriculturalist,agriculturally,B,"A. agriculture /ˈæɡrɪkʌltʃə/(n): nông nghiệp | B. agricultural /ˌæɡrɪˈkʌltʃərəl/(a): thuộc nông nghiệp | C. agriculturalist /ˌæɡrɪˈkʌltʃərəlɪst/(n): nhà nông | D. agriculturally /ˌæɡrɪˈkʌltʃərəli/(adv): một cách thuần nông. Căn cứ vào danh từ 'subsidies' nên vị trí trống cần một tính từ. Tạm dịch: Các chính sách mới bao gồm cắt giảm trợ cấp nông nghiệp và các rào cản thương mại."
3,"Rapid urbanization happened during the period of ___________ in Europe and North America in the nineteenth and early twentieth centuries.",industry,industrial,industrious,industrialization,D,"A. industry /ˈɪndəstri/(n): công nghiệp | B. industrial /ɪnˈdʌstriəl/(a): thuộc công nghiệp | C. industrious /ɪnˈdʌstriəs/(a): cần cù, chăm chỉ | D. industrialization /ɪnˌdʌstriəlaɪˈzeɪʃn/(n): công nghiệp hóa. Chỗ trống cần một danh từ. Tạm dịch: Sự đô thị hóa nhanh chóng xảy ra trong suốt thời kỳ công nghiệp hóa ở Châu Âu và Bắc Mỹ vào thế kỷ XIX và đầu thế kỷ XX."
4,"A lot of people left their home villages for urban areas hoping to find jobs in the rapidly ___________ industries in big towns and cities.",spreading,expanding,surrounding,boarding,B,"A. spreading /spredɪŋ/(n): sự lan rộng | B. expanding /ɪkˈspændɪŋ/(n): sự mở rộng, phát triển | C. surrounding /səˈraʊndɪŋ/(a): phụ cận | D. boarding /ˈbɔːdɪŋ/(n): sự lên tàu. Tạm dịch: Rất nhiều người rời quê hương để đến các khu vực thành thị hi vọng sẽ tìm được công việc trong các ngành công nghiệp đang phát triển nhanh chóng."
5,"Since 1950s urbanization has become slower in most MEDCs. Now, some of the biggest cities are losing population because people go back to live in rural areas. This is known as ___________.",counter-productivity,counter-partnership,counter-urbanization,counter-effect,C,"A. counter-productivity (n): sự phản tác dụng | B. counter-partnership (n): sự phản hợp tác | C. counter-urbanization /kaʊntəˌɜːbənaɪˈzeɪʃn/(n): sự phản đô thị hóa | D. counter-effect (n): sự phản tác dụng. Tạm dịch: Hiện nay một số các thành phố lớn nhất đang mất dần dân số bởi vì mọi người quay trở lại khu vực nông thôn sống. Điều này được biết đến như là sự phản đô thị hóa."
6,"People ___________ to urban areas on a massive scale due to lack of resources in rural areas.",travel,immigrate,migrate,emigrate,C,"A. travel (v): du lịch | B. immigrate (v): nhập cư | C. migrate /maɪˈɡreɪt/(v): di cư (tạm thời) | D. emigrate (v): di cư (chuyển hẳn đến). Tạm dịch: Mọi người di cư đến các khu vực thành thị với quy mô lớn do thiếu nguồn tài nguyên ở các khu vực nông thôn."
7,"Small farmers find it harder to ___________ a living not just because of bad weather conditions such as drought, floods, or storms, but because they can’t compete with large agricultural companies.",make,get,have,try,A,"A. make /meɪk/(v): làm | B. get (v): lấy | C. have (v): có | D. try (v): thử. Cụm từ: Make a living: kiếm sống. Tạm dịch: Các hộ nông dân quy mô nhỏ nhận thấy khó khăn hơn để kiếm sống không chỉ vì thời tiết xấu mà còn bởi vì sự cạnh tranh với các công ty nông nghiệp lớn."
8,"People living in rural areas are also “pulled” to cities, which are known to be places of financial centers, services, ___________ and opportunities.",health,wealth,stealth,heath,B,"A. health (n): sức khỏe | B. wealth /welθ/(n): của cải, sự giàu có | C. stealth (n): sự lén lút | D. heath (n): bãi đất hoang. Tạm dịch: Những người đang sống ở khu vực nông thôn cũng bị 'kéo' vào thành phố, nơi được biết đến như là nơi của trung tâm tài chính, dịch vụ, của cải và nhiều cơ hội."
9,"Believing that the standard of living in urban areas will be higher than in rural areas, many people come to the city seeking their ___________.",luck,opportunity,fortune,promotion,C,"A. luck (n): may mắn | B. opportunity (n): cơ hội | C. fortune /ˈfɔːtʃuːn/(n): vận may | D. promotion (n): sự khuyến khích. Tạm dịch: Tin tưởng rằng mức sống ở thành thị sẽ cao hơn ở nông thôn, nhiều người đi ra thành thị tìm kiếm vận may cho mình."
10,"Urbanization has provided job opportunities, higher ___________ and better access to health facilities and education.",wages,salaries,pensions,income,D,"A. wage (n): tiền công | B. salary (n): tiền lương hàng tháng | C. pension (n): lương hưu | D. income /ˈɪnkʌm/(n): thu nhập. Tạm dịch: Sự đô thị hóa cung cấp các cơ hội việc làm, thu nhập cao hơn và sự tiếp cận tốt hơn với các phương tiện y tế và giáo dục."
11,"The urban population will continue to grow and it is expected that its ___________ will increase to 70% by 2050.",level,population,habitants,proportion,D,"A. level (n): mức độ | B. population (n): dân số | C. habitants (n): dân cư | D. proportion /prəˈpɔːʃn/(n): tỉ lệ. Tạm dịch: Dân số thành thị sẽ tiếp tục tăng và người ta cho rằng tỉ lệ của nó sẽ tăng đến 70% vào năm 2050."
12,"MEDCs stands for more ___________ developed countries.",economic,economical,economically,economics,C,"A. economic (a): thuộc kinh tế | B. economical (a): tiết kiệm | C. economically /ˌiːkəˈnɒmɪkli/(adv): một cách kinh tế | D. economics (n): kinh tế học. Căn cứ vào tính từ 'developed' nên vị trí trống cần một trạng từ. Tạm dịch: MEDCs viết tắt cho các quốc gia có nền kinh tế phát triển hơn."
13,"Thailand’s urbanization rate has increased gradually over the past 50 years, bringing ___________ and wide-ranging benefits to the country.",apparent,apparently,unapparent,unapparently,A,"A. apparent /əˈpærənt/(a): rõ nét, hiển nhiên | B. apparently (adv): một cách rõ ràng | C. unapparent (a): không rõ ràng. Khi có 'and' thì hai vế giống nhau về từ loại, căn cứ vào 'wide-ranging' ta chọn đáp án A. Tạm dịch: Mức đô thị hóa của Thái Lan đã tăng dần dần hơn 50 năm qua, mang lại lợi ích toàn diện và rõ nét đối với đất nước."
14,"In terms of economic benefits, the national income statistics have shown that Bangkok and the surrounding areas usually ___________ more than 50% of the gross domestic product.",produce,create,generate,make,C,"A. produce (v): sản xuất | B. create (v): tạo nên | C. generate /ˈdʒenəreɪt/(v): sinh ra, tạo ra. Tạm dịch: Xét về mặt lợi ích kinh tế, các con số thống kê thu nhập quốc dân đã chỉ ra rằng Bangkok và các khu vực lân cận thường tạo ra hơn 50% tổng sản phẩm quốc nội."
15,"Regarding the social benefits, Bangkok’s inhabitants have access to better services and facilities ___________ to any other area of the country.",comparison,compared,comparing,comparative,B,"A. comparison (n): sự so sánh | B. compared /kəmˈpeəd/(v): so sánh. Tạm dịch: Xét về lợi ích xã hội, người dân Bangkok được tiếp cận với các dịch vụ và tiện ích tốt hơn so với bất kỳ khu vực nào khác trên cả nước."
16,"In the South, ___________ development concentrated on rice cultivation, and nationally, rice and rubber were the main items of export.",industrial,agricultural,mining,textile,B,"A. industrial (a): thuộc công nghiệp | B. agricultural /ˌæɡrɪˈkʌltʃərəl/(a): thuộc nông nghiệp | C. mining (n): sự khai mỏ | D. textile (n): vải dệt. Tạm dịch: Ở miền Nam, phát triển nông nghiệp tập trung vào trồng lúa và trên toàn quốc, gạo và cao su là mặt hàng xuất khẩu chính."
17,"However, urbanization has also resulted in massive problems.",numerous,huge,plentiful,abundant,A,"A. numerous /ˈnjuːmərəs/(a): nhiều, đông đảo | B. huge (a): to lớn, khổng lồ | C. plentiful (a): sung túc, dồi dào. Tạm dịch: Tuy nhiên, sự đô thị hóa cũng dẫn đến rất nhiều vấn đề."
18,"Thousands of migrants live in the modern ___________ surrounded by poverty, crime and drugs, and with no hope of getting a job.",hostages,mortgages,slums,inners,C,"A. hostage (n): con tin | B. mortgage (n): sự thế chấp | C. slum /slʌm/(n): khu ổ chuột | D. inner (a): bên trong. Tạm dịch: Hàng ngàn người di cư sống ở trong các căn nhà ổ chuột hiện đại bị vây quanh bởi sự nghèo đói, tội phạm và ma túy."
19,"Traffic ___________ is another big problem in the city whose road system is unable to cope with the increasing number of cars.",congestion,jam,rules,troubles,A,"A. congestion /kənˈdʒestʃən/(n): sự đông nghịt, tắc nghẽn | B. jam (n): mứt/ sự nhồi nhét | C. rule (n): luật lệ | D. trouble (n): rắc rối. Tạm dịch: Tắc nghẽn giao thông là một vấn đề lớn khác trong thành phố."
20,"The traffic congestion combined with the large concentration of factories has severely affected the air and water ___________.",standard,condition,quality,quantity,C,"A. standard (n): tiêu chuẩn | B. condition (n): điều kiện | C. quality /ˈkwɒləti/(n): chất lượng | D. quantity (n): số lượng. Tạm dịch: Tắc nghẽn giao thông cùng với mật độ lớn của các nhà máy đã ảnh hưởng nghiêm trọng đến chất lượng nguồn nước và không khí."
21,"For more than 20 years, the Vietnamese government has pursued the open-door ___________ and continued to woo foreign investment.",policy,way,export,guideline,A,"A. policy /ˈpɒləsi/(n): chính sách | B. way (n): cách, đường | C. export (n/v): xuất khẩu | D. guideline (n): hướng dẫn. Tạm dịch: Trong hơn 20 năm, chính phủ Việt Nam đã theo đuổi chính sách mở cửa và tiếp tục thu hút đầu tư nước ngoài."
22,"___________ zones are developing rapidly in the urban areas.",Agricultural,Organizational,Industrial,Industrialized,C,"A. Agricultural (a): thuộc nông nghiệp | B. Organizational (a): thuộc tổ chức | C. Industrial /ɪnˈdʌstriəl/(a): thuộc công nghiệp | D. Industrialized (a): đã công nghiệp hóa. Tạm dịch: Các khu công nghiệp đang phát triển một cách nhanh chóng ở các khu vực thành thị."
23,"After a decade of economic liberalization, Vietnam has seen a dramatic rise in living ___________ in urban areas.",surface,standards,levels,backgrounds,B,"A. surface (n): bề mặt | B. standard /ˈstændəd/(n): tiêu chuẩn, mức độ | C. level (n): mức, cấp độ | D. background (n): nền tảng. Tạm dịch: Sau một thập kỷ tự do hóa kinh tế, Việt Nam đã chứng kiến sự gia tăng mạnh mẽ về mức sống ở khu vực thành thị."
24,"A ___________ is money that is paid by a government or other authority in order to help an industry or business, or to pay for a public service.",capital,subsidy,investment,salary,B,"A. capital (n): thủ đô | B. subsidy /ˈsʌbsədi/(n): trợ cấp | C. investment (n): đầu tư | D. salary (n): lương. Tạm dịch: Trợ cấp là tiền được trả bởi chính phủ hoặc cơ quan có thẩm quyền để giúp ngành công nghiệp hoặc doanh nghiệp."
25,"The economic ___________ in the U.S in the 1970s had a serious impact on the whole world.",difficulty,crisis,unbalance,destruction,B,"A. difficulty (n): khó khăn | B. crisis /ˈkraɪsɪs/(n): cuộc khủng hoảng | C. unbalance (n): sự mất cân bằng. Tạm dịch: Cuộc khủng hoảng kinh tế ở Hoa Kỳ vào những năm 1970 đã gây tác động nghiêm trọng lên toàn thế giới."
26,"Urbanization refers to the population shift from rural to urban areas, “the gradual increase in the ___________ of people living in urban areas”, and the ways in which each society adapts to the change.",number,proportion,figures,amount,B,"A. number /ˈnʌmbər/(n): số | B. proportion /prəˈpɔːʃn/(n): phần, tỉ lệ | C. figures /ˈfɪɡər/(n): số liệu | D. amount /əˈmaʊnt/(n): số lượng. Tạm dịch: Sự đô thị hóa đề cập đến sự di dân từ nông thôn ra thành thị, sự tăng lên từ từ tỉ lệ người sống ở khu vực thành thị, và cách mỗi xã hội thích nghi với sự thay đổi."
27,"Urbanization is relevant to a range of disciplines, including geography, sociology, economics, urban ___________, and public health.",making,practicing,planning,growing,C,"A. making: làm | B. practicing: luyện tập | C. planning: kế hoạch, dự án | D. growing: phát triển, lớn lên. Tạm dịch: Quá trình đô thị hóa liên quan đến rất nhiều vấn đề bao gồm địa lý, xã hội học, kinh tế học, dự án đô thị và sức khỏe cộng đồng."
28,"Urbanization is a process ___________ populations move from rural to urban area, enabling cities and towns to grow.",nearly,nearby,whereby,nowhere,C,"A. nearly /ˈnɪəli/(adv): gần, sắp, suýt | B. nearby /ˈnɪəbaɪ/(adv/a): gần | C. whereby /weəˈbaɪ/(adv): do đó, nhờ đó | D. nowhere /ˈnəʊweə(r)/(adv): không nơi nào. Tạm dịch: Sự đô thị hóa là một quá trình, nhờ đó dân cư di chuyển từ nông thôn ra thành thị, tạo đà cho các thành phố, thị xã phát triển."
