id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Doctor said that if he practiced ___________ every day, he could keep his mind stress-free.",immune system,meditation,acupuncture,a diet,B,"A. immune system: hệ miễn dịch | B. meditation /ˌmedɪˈteɪʃən/ (n): thiền định | C. acupuncture /ˈækjupʌŋktʃər/ (n): thuật châm cứu | D. diet /ˈdaɪət/ (n): chế độ ăn. Tạm dịch: Bác sĩ nói rằng nếu anh ấy luyện tập ngồi thiền mỗi ngày, anh ấy sẽ tránh được căng thẳng."
2,"Sleep, rest and relaxation can slow down the ___________.",ageing process,life expectancy,cholesterol,health,A,"A. ageing process: quá trình lão hóa | B. life expectancy: tuổi thọ | C. cholesterol /kəˈlestərɒl/ (n): cholesterol | D. health /helθ/ (n): sức khỏe. Cấu trúc: slow down: làm chậm. Tạm dịch: Ngủ, nghỉ ngơi và thư giãn có thể làm chậm quá trình lão hóa."
3,"If you catch a cold, you should try natural ___________ before taking any medicine.",medicines,remedies,foods,ways,B,"A. medicine /ˈmedɪsən/ (n): thuốc | B. remedy /ˈremədi/ (n): phương thuốc | C. food /fuːd/ (n): thức ăn | D. way /weɪ/ (n): đường đi. Cấu trúc: catch a cold: bị cảm. Tạm dịch: Nếu bạn bị cảm, bạn nên thử những phương thuốc tự nhiên trước khi dùng thuốc tây."
4,"Fast food ___________ can increase the risk of obesity and heart disease.",consumptions,consuming,consume,consumption,D,"A. consumptions /kənˈsʌmpʃən/ (n-số nhiều) | B. consuming /kənˈsjuːmɪŋ/ (a): ám ảnh, chi phối | C. consume /kənˈsjuːm/ (v): tiêu thụ | D. consumption /kənˈsʌmpʃən/ (n): sự tiêu thụ. Tạm dịch: Tiêu thụ đồ ăn nhanh có thể làm tăng nguy cơ béo phì và các bệnh về tim mạch."
5,"Staying ___________ is half of the secret to weight control, the other half is healthy diet.",active,actively,inactive,inactively,A,"A. active /ˈæktɪv/ (a): tích cực | B. actively /ˈæktɪvli/ (adv): tích cực, hăng hái | C. inactive /ɪnˈæktɪv/ (a): không hoạt động, ì ạch | D. inactively /ɪnˈæktɪvli/ (adv): không hoạt động. Căn cứ vào ""stay"" thì trong ô trống ta cần một tính từ (cấu trúc: stay +Adj). Tạm dịch: Sống tích cực là một nửa bí quyết để kiểm soát cân nặng, nửa còn lại là chế độ ăn uống lành mạnh."
6,"After spending a week in bed, she made a complete ___________.",recover,recovering,recovery,recovered,C,"A. recover /rɪˈkʌvər/ (v): hồi phục | B. recovering /rɪˈkʌvərɪŋ/ (V-ing) | C. recovery /rɪˈkʌvəri/ (n): sự hồi phục | D. recovered /rɪˈkʌvərd/ (V-ed). Căn cứ vào tính từ ""complete"" thì trong ô trống ta cần một danh từ. Tạm dịch: Sau khi phải nằm cả tuần trên giường bệnh, cô ấy đã hồi phục hoàn toàn."
7,"Daily exercise and weight control strongly influence your chances of staying ___________.",health,healthy,healthily,healthiness,B,"A. health /helθ/ (n): sức khỏe | B. healthy /ˈhelθi/ (a): tốt cho sức khỏe | C. healthily /ˈhelθili/ (adv): một cách khỏe mạnh | D. healthiness /ˈhelθinəs/ (n): sự khỏe mạnh. Căn cứ vào ""stay"" thì trong ô trống ta cần một tính từ (cấu trúc: stay +Adj). Tạm dịch: Tập thể dục hàng ngày và kiểm soát cân nặng ảnh hưởng lớn đến cơ hội sống khỏe mạnh của bạn."
8,"In addition to a nutritious diet, a ___________ lifestyle can boost your health and increase your life expectancy.",stress-free,sugar-free,cholesterol-free,anti-ageing,A,"A. stress-free: không căng thẳng | B. sugar-free: không có đường | C. cholesterol-free: không chứa cholesterol | D. anti-ageing: chống lão hóa. Tạm dịch: Cùng với một chế độ ăn uống giàu dinh dưỡng thì một lối sống không căng thẳng có thể cải thiện sức khỏe và tăng tuổi thọ của bạn."
9,"Science has shown that many types of chronic diseases are ___________ to people's bad eating habits.",given,attributed,contributed,caused,B,"A. give /ˈɡɪv/ (v): tặng | B. attribute /ˈæt rɪbjuːt/ (v): quy cho | C. contribute /kənˈtrɪbjuːt/ (v): đóng góp | D. cause /kɔːz/ (v): gây ra. Tạm dịch: Khoa học đã chỉ ra rằng rất nhiều bệnh mãn tính gây ra bởi thói quen ăn uống không lành mạnh của con người."
10,"People are always advised to ___________ smoking because of its harm to their health.",cut down,cut off,cut in,cut down on,D,"A. cut down: giảm | B. cut off: cắt bỏ | C. cut in: cắt ngang, xen vào | D. cut down on: giảm bớt. Tạm dịch: Người ta luôn được khuyên là nên giảm bớt việc hút thuốc bởi vì thuốc lá có hại cho sức khỏe."
11,"You have to take the full ___________ of your antibiotics even if you feel better, otherwise your illness will simply return.",course,prescription,receipt,treatment,A,"A. course /kɔːs/ (n): tiến trình | B. prescription /prɪˈskrɪpʃən/ (n): việc kê đơn | C. receipt /rɪˈsiːt/ (n): công thức | D. treatment /ˈtriːtmənt/ (n): sự chữa trị. Tạm dịch: Bạn phải uống thuốc kháng sinh thậm chí ngay cả lúc bạn đã cảm thấy tốt hơn. Nếu không, bạn sẽ bị ốm trở lại."
12,"500 years ago, the average human ___________ was about 40 years.",lifespan,lifetime,life cycle,life length,A,"A. lifespan /ˈlaɪfspæn/ (n): tuổi thọ | B. lifetime /ˈlaɪftaɪm/ (n): thời gian sống | C. life cycle: vòng đời. Tạm dịch: 500 năm trước, tuổi thọ trung bình của con người ở mức khoảng 40 tuổi."
13,"She wishes that we hadn't sent her the candy yesterday because she's on a ___________.",debt,diet,scale,death,B,"A. debt /det/ (n): nợ | B. diet /ˈdaɪət/ (n): chế độ ăn uống | C. scale /skeɪl/ (n): cái cân | D. death /deθ/ (n): cái chết. Cấu trúc: be on diet: ăn kiêng. Tạm dịch: Cô ấy ước rằng chúng tôi đã không tặng cô ấy kẹo ngày hôm qua vì cô ấy đang ăn kiêng."
14,"He sent his children to the park so that he could have some ___________.",fresh and quiet,quiet and peace,peace and quiet,fresh and peace,C,"C. peace and quiet: bình yên. Tạm dịch: Anh ta đưa con mình đến công viên để anh ta có thể tận hưởng một chút bình yên."
15,"In the wake of increasing food poisoning, many consumers have turned to vegetables grown ___________.",homely,thickly,wildly,organically,D,"A. homely /ˈhəʊmli/ (a): giản dị, chất phác | B. thickly /ˈθɪkli/ (adv): dày | C. wildly /ˈwaɪldli/ (adv): hoang dã | D. organically /ɔːˈɡænɪkli/ (adv): hữu cơ. Tạm dịch: Trong bối cảnh ngộ độc thực phẩm gia tăng, rất nhiều khách hàng đã chuyển qua sử dụng rau quả hữu cơ."
16,"Obesity is a medical condition in which excess body fat has ___________ to the extent that it may have a negative effect on health.",accumulated,measured,obtained,eliminated,A,"A. accumulate /əˈkjuːmjəleɪt/ (v): tích lũy | B. measure /ˈmeʒər/ (v): đo lường | C. obtain /əbˈteɪn/ (v): đạt được | D. eliminate /ɪˈlɪmɪneɪt/ (v): loại bỏ. Tạm dịch: Béo phì là một bệnh y học mà mỡ thừa trong cơ thể tích lũy nhiều đến mức có ảnh hưởng tiêu cực cho sức khỏe."
