id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Students are restrained from eating bananas prior to an exam for _________ of failing 'like sliding on a banana skin'.",cheer,fear,scare,anger,B,"A. cheer /tʃɪər/(n): sự cổ vũ, vui vẻ | B. fear /fɪər/ (n): nỗi sợ | C. scare /skeər/ (n): sự sợ hãi | D. anger /ˈæŋɡər/ (n): sự tức giận. Ta có cụm từ: for fear of st/doing st: vì sợ điều gì/làm gì. Tạm dịch: Học sinh kiêng ăn chuối trước kì thi vì sợ trượt kì thi như trượt vỏ chuối."
2,"Regarding what food to avoid before taking an important examination, homophones and the shape of your food comes into _________.",action,fact,reality,play,D,"A. action /ˈækʃən/ (n): hành động | B. fact /fækt/ (n): sự thật | C. reality /riˈæləti/ (n): thực tế | D. play /pleɪ/ (n/v): vở kịch/chơi. Cụm từ: come into play: có hiệu lực, có tác dụng. Tạm dịch: Khi xem xét nên tránh ăn gì trước một kì thi quan trọng thì hình dạng và từ đồng âm của đồ ăn có thể có tác dụng."
3,"People often avoid eating squash, pumpkin, melon and peanuts before their exams because they suppose that it is a _________.",no-go,so so,way out,bright side,A,"A. no-go: không tốt, bí bách | B. so so: bình thường, tàm tạm | C. way out: kì lạ | D. bright side: mặt tích cực. Tạm dịch: Mọi người thường tránh ăn bí, bí ngô, dưa và đậu trước khi thi vì họ cho rằng chúng không tốt."
4,"When you first arrive in a foreign culture, often your first reaction is _________ positive. Everything seems exciting, different and fascinating.",extremely,completely,tremendously,dramatically,B,"A. extremely /ɪkˈstriːmli/ (adv): vô cùng | B. completely /kəmˈpliːtli/ (adv): hoàn toàn | C. tremendously /trɪˈmendəsli/ (adv): vô cùng | D. dramatically /drəˈmætɪkli/ (adv): đột ngột. Tạm dịch: Khi bạn lần đầu đến nước ngoài, phản ứng của bạn thường hoàn toàn lạc quan. Mọi thứ dường như đều thú vị, khác lạ và tuyệt vời."
5,"_________ nowadays is a choice people make on their own, but this has not always been the case in society.",Marriage,Marital,Marriageable,Marrying,A,"A. marriage /ˈmærɪdʒ/ (n): hôn nhân | B. marital /ˈmærɪtl/ (a): thuộc về hôn nhân | C. marriageable /ˈmærɪdʒəbl/ (a): đủ tư cách kết hôn | D. marry /ˈmæri/ (v): cưới. Tạm dịch: Hôn nhân hiện nay là sự lựa chọn riêng của mỗi người, nhưng không phải trường hợp nào cũng như vậy trong xã hội."
6,"It was the _________ that the fathers made the decision on whom their children were going to marry.",religion,superstition,custom,fate,C,"A. religion /rɪˈlɪdʒən/ (n): tôn giáo | B. superstition /ˌsuːpəˈstɪʃn/ (n): sự mê tín | C. custom /ˈkʌstəm/ (n): phong tục | D. fate /feɪt/ (n): định mệnh. Tạm dịch: Việc cha quyết định con mình sẽ cưới ai là một phong tục."
7,"We are all too _________ of traditions in our modern world, but they can have a very strong impact on us.",dismissing,dismissal,dismissed,dismissive,D,"A. dismissing /dɪˈsmɪsɪŋ/: loại bỏ, sa thải | B. dismissal /dɪˈsmɪsl/ (n): sự loại bỏ, sự sa thải | D. dismissive /dɪˈsmisiv/ (+ of) (a): tùy tiện, xem thường. Tạm dịch: Tất cả chúng ta đều quá coi nhẹ truyền thống trong xã hội hiện đại, nhưng chúng có thể có ảnh hưởng lớn đến chúng ta."
8,"Most young people nowadays believe in _________ marriage - first comes love, then comes marriage.",romantic,unique,contractual,arranged,A,"A. romantic /rəʊˈmæntɪk/ (a): lãng mạn | B. unique /juːˈniːk/ (a): độc đáo | C. contractual /kənˈtræktʃuəl/ (a): mang tính hợp đồng | D. arranged /əˈreɪndʒd/ (a): được sắp xếp. Tạm dịch: Hầu hết người trẻ hiện nay tin vào cuộc hôn nhân lãng mạn – từ tình yêu đi đến hôn nhân."
9,"Most Americans don't object _________ being called by their first names.",about,for,in,to,D,"Object + to + V-ing: phản đối làm gì. Tạm dịch: Hầu hết người Mỹ không phản đối việc bị gọi bằng họ."
10,"_________ liked ao dai, kimono, hanbok help preserve a country's heritage and educate people about their history.",National costumes,Tradition food,Traditions and customs,Folktales,A,"A. national costumes: quốc phục | B. tradition food: đồ ăn truyền thống | C. traditions and customs: truyền thống và phong tục | D. folktale (n): truyện cổ tích. Tạm dịch: Quốc phục như áo dài, kimono, hanbok giúp bảo tồn di sản của một quốc gia và giáo dục dân chúng về lịch sử của họ."
11,"People from Brazilian and North American cultures have different feelings about lateness. Brazilians expect a person with status or _________ to arrive late, while in the United States, lateness is usually considered to be disrespectful and unacceptable.",prevalence,prestige,privilege,position,B,"A. prevalence /ˈprevələns/ (n): sự phổ biến | B. prestige /presˈtiːʒ/ (n): uy tín | C. privilege /ˈprɪvəlɪdʒ/ (n): đặc quyền | D. position /pəˈzɪʃn/ (n): vị trí. Tạm dịch: Người Brazil và Bắc Mỹ có cảm nhận khác nhau về sự chậm trễ. Người Brazil cho rằng một người có địa vị hoặc uy tín sẽ đến muộn, trong khi đó ở Mỹ, việc muộn giờ thường được cho là bất kính và không thể chấp nhận."
12,"Americans believe in 'romantic' marriage - a boy and a girl are _________ to each other, fall in love, and decide to marry each other.",loved,handed,attracted,married,C,"A. love /lʌv/ (v): yêu | B. hand /hænd/ (v): trao tay | C. attract /əˈtrækt/ (v): thu hút | D. marry /ˈmæri/ (v): cưới. Tạm dịch: Người Mỹ tin tưởng vào những cuộc hôn nhân lãng mạn – khi một nam một nữ thu hút lẫn nhau, yêu nhau rồi quyết định cưới."
13,"The custom of paying a bride price before marriage is still a _________ part of many African cultures.",well-established,well-advised,well-built,well-balanced,A,"A. well-established /ˌwel ɪˈstæblɪʃt/ (a): bền vững | B. well-advised /ˌwel ədˈvaɪzd/ (a): khôn ngoan, cẩn trọng | C. well-built /ˌwel ˈbɪlt/ (a): vạm vỡ | D. well-balanced /ˌwel ˈbælənst/ (a): cân bằng. Tạm dịch: Phong tục trả giá cô dâu trước khi cưới vẫn là một phần cố hữu trong văn hóa của các nước châu Phi."
