id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"One of the seven wonders of the ancient world, the Great Pyramid of Giza was a monument of wisdom and _____ built as a tomb for Pharaoh Cheops in2720B.C. _____",prophecy,superstition,fanatic,idolatry,A,"A. prophecy /'prɒfəsi/ (n): sự tiên tri, sự đoán trước | B. superstition /suːpəˈstɪʃn/ (n): sự mê tín | C. fanatic /fəˈnætɪk/ (n): người cuồng tín | D. idolatry aɪˈdɒlətri/ (n): sự sùng bái thần tượng. Tạm dịch: Một trong bảy kì quan của thế giới cổ xưa, Kim Tự tháp Giza là một đài kỷ niệm về trí thông minh và sự tiên tri được xây dựng như một lăng tẩm dành cho vua Pharaoh vào năm 2720 trước Công nguyên."
2,"The thirteen-acre structure near the Nile River is a solid mass of stone blocks covered with _____ .",stone,limestone,clay,mud,B,A. stone /stəʊn/ (n): đá | B. limestone /laɪmstəʊn/ (n): đá vôi | C. clay /kleɪ/ (n): đất sét | D. mud /mʌd/ (n): bùn. Tạm dịch: Công trình kiến trúc rộng 13 mẫu gần dòng sông Nile là một khối đá rắn được bao phủ bởi đá vôi.
3,"The four sides of the pyramid are aligned almost _____ on true north, south, east, and west - an incredible engineering feat.",truly,actually,positively,exactly,D,"A. truly /'tru:li/ (adv): đúng (nhấn mạnh cái gì đó là đúng) | B. actually /ˈæktʃuəli/ (adv): thực sự (nhấn mạnh cái gì xảy ra trên thực tế) | C. positively /ˈpɒzətɪvli/ (adv): cực kỳ, hết sức, tuyệt đối (nhấn mạnh tính đúng đắn của tuyên bố | D. exactly /ɪɡˈzæktli/ (adv): chính xác. Tạm dịch: Bốn mặt của Kim Tự tháp được sắp xếp thẳng hàng gần như chính xác cả ở bốn hướng Bắc, Nam, Tây, Đông - một công trình xây dựng không thể tin được."
4,"A _____ person who travels or hikes carrying their belongings in a rucksack.",backpacker,backstabber,backseat driver,backhander,A,"A. backpacker /'bæk pækər/: Tây ba-lô | B. backstabber /'bæk stæbər/ (n): người đâm sau lưng | C. backseat driver /bæk si:t 'draɪvər/ (n): người ngồi sau nhưng chỉ cách lái xe, chỉ đường | D. backhander /bæk'hændər/ (n): cú đánh bất ngờ, của đút lót. Tạm dịch: Một người khách du lịch là người đi hoặc đi bộ mang theo tư trang trong một cái ba lô."
5,"While in my heart I can see myself wondering enchanted through China’s Forbidden City, in my head I know I would be standing _____ at the back of a group listening to some Imperial Palace Tour Guide.",enjoyably,grumpily,relaxingly,surprisingly,B,"A. enjoyably /ɪnˈdʒɔɪəbli/ (adv): một cách thích thú | B. grumpily /'grʌmpəli/ (adv): một cách gắt gỏng, cục cằn | C. relaxingly /rɪˈlæksɪŋli/ (adv): một cách thư giãn | D. surprisingly /səˈpraɪzɪŋli/ (adv): một cách đáng ngạc nhiên. Tạm dịch: Mặc dù trong tim tôi đã bị mê hoặc bởi Tử cấm Thành của Trung Quốc nhưng trong đầu tôi biết rằng tôi đang đứng thật khó chịu ở sau nhóm người đang lắng nghe hướng dẫn du lịch về một vài cung điện hoàng gia."
6,"St. Catherine's Monastery Library in Egypt is the first in the world _____ in the sixth century.",to be built,built,to built,to have built,A,"Căn cứ vào ""the first"" động từ dùng to V (câu mang nghĩa bị động nên ta dùng to be Vp2). Tạm dịch: Thư viện tu viện Thánh Catherine ở Ai Cập là thư viện đầu tiên trên thể giới được xây dựng vào thế kỉ 6."
7,"This part of the country is famous _____ its beautiful landscapes and fine cuisine.",about,with,of,for,D,Cấu trúc: tobe famous for st: nổi tiếng về cái gì. Tạm dịch: Phần này của thành phố nổi tiếng về những phong cảnh đẹp và nghệ thuật ẩm thực.
8,"The top tourist _____ in Vietnam, Ha Long Bay features thousands of islands, each topped with thick jungle vegetation, forming a spectacular seascape of limestone pillars.",attractiveness,attraction,attractive,attract,B,"A. attractiveness /əˈtræktɪvnəs/ (n): sự hấp dẫn về ngoại hình | B. attraction /əˈtrækʃn/ (n): sự thu hút, hấp dẫn | C. attractive /əˈtræktɪv/ (a): hấp dẫn | D. attract /a'træk/ (v): hấp dẫn. Tạm dịch: Là điểm thu hút khách du lịch hàng đầu ở Việt Nam, vịnh Hạ Long bao gồm hàng trăm các quần đảo, mỗi đảo có đỉnh được bao phủ bởi rừng nhiệt đới tạo nên bức tranh biển tuyệt đẹp từ những cột đá vôi."
9,"A rather surprisingly geographical _____ of Antarctica is that a huge freshwater lake, one of the world’s largest and deepest, lies hidden there under four kilometers of ice.",factor,mark,feature,character,C,"A. factor /'fæktər/ (n): nhân tố | B. mark /ma:k/ (n): điểm số, dấu, nhãn hiệu | C. feature /'fi:tʃər/ (n): đặc điểm, đặc trưng | D. character /'kærəktər/ (n): tính cách. Tạm dịch: Một đặc điểm địa chất đáng ngạc nhiên của Nam Cực là có một hồ nước ngọt lớn, một trong những hồ rộng và sâu nhất thế giới, nằm dưới 4 km băng."
10,"The only structure to remain intact is the Flag Tower of Hanoi built in 1812 during the Nguyen _____",Feudalism,Royal,Empire,Dynasty,D,"A. feudalism /ˈfjuːdəlɪzəm/ (n): chế độ phong kiến | B. royal /ˈrɔɪəl/ (n): người trong hoàng tộc; hoàng thân | C. empire /ˈempaɪər/ (n): đế chế, đế quốc | D. dynasty /ˈdɪnəsti/ (n): triều đại. Tạm dịch: cấu trúc duy nhất vẫn còn nguyên vẹn là cột cờ Hà Nội cái mà đã được xây vào năm 1812 dưới triều nhà Nguyễn."
