id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"This book is not really ___________ . It is a waste of money buying it.",inform,information,informative,informatively,C,"A. inform /ɪn'fɔ:m/ (v): thông báo | B. information /ɪnfə'meɪʃən/ (n): thông tin | C. informative /ɪn'fɔ:mətɪv/ (a): chứa nhiều tin tức, thông tin. Căn cứ sau tobe “is” ta cần một tính từ. Tạm dịch: Quyển sách này không thực sự chứa nhiều thông tin. Thật phí tiền khi mua nó."
2,"I like ___________ books in which the story is told or illustrated with pictures.",comic,thriller,romantic,science,A,"A. comic /'kɒmɪk/ (a): thuộc khôi hài, truyện tranh | B. thriller /'θrɪlər/ (n): giật gân | C. romantic /rəʊ'mæntɪk/ (a): lãng mạn | D. science /'saɪəns/ (n): khoa học. Tạm dịch: Tôi thích truyện tranh vì những câu chuyện được kể và minh họa bởi những bức tranh. → Comic books: truyện tranh"
3,"In the United Kingdom, over 12,000 periodicals, magazines, bulletins, annuals, trade journals, and academic journals are published ___________ a regular basis.",in,on,at,with,B,"Cụm từ: on a regular basis = everyday/always: hằng ngày. Tạm dịch: Ở Anh hơn 12000 cuốn tạp chí định kỳ, tạp chí, tập san, tạp chí hằng năm, quảng cáo thương mại và báo chí học thuật được xuất bản hằng ngày."
4,"Mary enjoys reading ___________, adventure, and whatever else she can either buy or borrow.",romance,romantic,romanticize,romanticism,A,"A. romance /rəʊ'mæns/ (n): truyện/sự lãng mạn | B. romantic (a) | C. romanticize (v) | D. romanticism (n). Căn cứ vào từ “and” các vế phải cân nhau về từ loại, “adventure” là danh từ nên ta cần một danh từ. Tạm dịch: Mary thích đọc truyện lãng mạn, phiêu lưu và bất cứ sách gì cô ấy mua hoặc mượn được."
5,"If you ___________ a book, you have a brief look at it without reading or studying it seriously.",dip into,put away,pick up,put down,A,"A. dip into: đọc qua vài trang | B. put away: dọn dẹp | C. pick up: nhặt được gì đó | D. put down: đặt xuống. Tạm dịch: Nếu bạn đọc qua một vài trang của một quyển sách, bạn sẽ có cái nhìn vắn tắt về nó mà không cần đọc hay nghiên cứu kĩ càng."
6,"There is an enormous range of holiday courses on ___________ in the summer.",demand,suggestion,advice,offer,D,"A. demand /dɪ'mɑ:nd/ (n): yêu cầu | B. suggestion (n): gợi ý | C. advice (n): lời khuyên | D. offer /'ɒfər/ (n): sự trả giá, lời đề nghị. Cụm từ: on offer: giảm giá. Tạm dịch: Có nhiều những kỳ nghỉ đang giảm giá trong hè."
7,"Eating out is the national ___________ in France.",pastime,interest,hobby,game,A,"A. pastime /'pɑ:staɪm/ (n): thời gian rảnh, trò tiêu khiển | B. interest (n): sở thích | C. hobby (n): sở thích | D. game (n): trò chơi. Tạm dịch: Ăn hàng là hoạt động thường ngày ở Pháp."
8,"Do you think computer games is just for kids? Then you should think again. You might be ___________ to learn that the game industry now makes more money than Hollywood.",concerned,admired,startled,surprised,D,"A. concerned (a): để tâm | B. admired (a): ngưỡng mộ | C. startled (a): giật mình | D. surprised /sə'praɪzd/ (a): ngạc nhiên. Tạm dịch: Bạn có lẽ sẽ ngạc nhiên khi biết rằng ngành công nghiệp trò chơi hiện tại hái ra tiền hơn cả Hollywood."
9,"The novel has had a tremendous impact on entertainment and ___________.",publisher,publishing,published,publishment,B,"A. publisher (n): nhà xuất bản | B. publishing /'pʌblɪʃɪŋ/ (n): việc xuất bản | C. published (a-Ved): được xuất bản | D. publishment (n): sự xuất bản. Tạm dịch: Tiểu thuyết có ảnh hưởng đáng kể lên thị trường giải trí và xuất bản."
10,"___________ comprises transport and accommodation advertised and sold together by a vendor known as a tour operator.",package holiday,holidaymaker,holiday camp,holiday packages,A,"A. package holiday: kì nghỉ trọn gói | B. holidaymaker (n): người đi du lịch. Tạm dịch: Kì nghỉ trọn gói bao gồm sự đi lại và chỗ ở được quảng cáo và bán cùng nhau bởi một người rao bán được biết đến là nhà điều phối du lịch."
11,"There has been an increase in the ___________ of folk music over recent years.",popular,popularity,popularize,popularization,B,"A. popular (a): phổ biến | B. popularity /pɒpjə'lærəti/ (n): sự phổ biến | C. popularize (v) | D. popularization (n). Sau mạo từ “the” cần một danh từ. Tạm dịch: Có sự tăng lên về sự phổ biến của nhạc dân gian trong những năm gần đây."
12,"She always has a burning desire to become an excellent lawyer - she’s conscientious and has a ___________ mind.",well-trained,well-informed,well-built,well-intentioned,B,"A. well-trained (a): được đào tạo tốt | B. well-informed /wel ɪn'fɔ:md/ (a): thông thạo, có hiểu biết. Tạm dịch: Cô ấy có một khát khao cháy bỏng trở thành một luật sư – cô ấy thận trọng và có hiểu biết."
13,"I’m not very ___________ on going to a football match today.",keen,enthusiastic,happy,interested,A,"A. keen /ki:n/ (a): thích | B. enthusiastic (a): nhiệt tình. Cấu trúc: tobe keen on st: thích cái gì. Tạm dịch: Hôm nay tôi không thích đi xem đá bóng."
14,"I hate camping because I can’t ___________ an umbrella tent in the wind and I can’t make a fire in the rain.",put up,set off,take over,turn round,A,"A. put up: dựng (lều, trại) | B. set off: khởi hành | C. take over: tiếp quản. Tạm dịch: Tôi ghét dựng trại vì tôi không thể dựng lều trong gió và không thể đốt lửa trong mưa."
15,"Most children nowadays prefer watching TV ___________ reading.",from,to,than,over,B,"Cấu trúc: prefer st to st: thích cái gì hơn cái gì. Tạm dịch: Đa số trẻ con bây giờ thích xem tivi hơn đọc sách."
16,"He ___________ us for hours with his stories and jokes.",supported,entertained,regarded,raised,B,"A. supported (v-ed): ủng hộ | B. entertained /entə'teɪnd/ (v-ed): giải trí, khôi hài. Tạm dịch: Anh ta mua vui cho chúng tôi hằng giờ với những câu chuyện và trò cười của anh ta."
17,"She enjoyed a few moments of peace in the ___________ of the garden.",loneliness,lonesome,solitude,solitary,C,"A. loneliness (n): sự cô đơn | B. lonesome (a): cô đơn | C. solitude /'sɒlɪtju:d/ (n): nơi vắng vẻ, tĩnh mịch | D. solitary (a): một mình. Tạm dịch: Cô ấy tận hưởng một vài khoảnh khắc tĩnh lặng của khu vườn."
18,"Many people indulge in ___________ leisure pursuit such as watching television.",home-based,homemade,home-loving,homegrown,A,"A. home-based (a): ở nhà | B. homemade (a): nhà làm ra | C. home-loving (a): thích ở nhà hơn ra ngoài. Tạm dịch: Nhiều người thích theo đuổi những thú vui ở nhà như xem ti vi."
19,"I used to swim twice a week, but I seem to have got ___________ recently.",out of place,out of the habit,out of question,out of practice,B,"A. out of place: không phù hợp | B. out of the habit: không còn là thói quen nữa | C. out of question: không thể được. Tạm dịch: Tôi từng đi bơi hai lần một tuần nhưng gần đây nó dường như không còn là thói quen của tôi nữa."
