id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Population explosion seems to surpass the ability of the earth to _____ the demand for food.",make,need,have,meet,D,A. make /meɪk/ (v): làm | B. need /ni:d/ (v): can | C. have /hæv/ (v): có | D. meet /mi:t/ (v): gặp gỡ. Cụm từ: meet the demand for st: đáp ứng nhu cầu về cái gì. Tạm dịch: Sự bùng nổ dân số dường như vượt quá khả năng của Trái đất trong việc đáp ứng nhu cầu về lương thực.
2,"While southern California is densely populated, _____ live in the northern part of the state.",a number of people,many people,few people,a few of people,C,A. a number of people = B. many people: nhiều người | C. few people: hầu như không có người | D. Không có a few of people. Tạm dịch: Trong khi phía Nam California dân cư đông đúc thì hầu như không có người ở phía Bắc của bang.
3,"It is becoming extremely difficult to grow enough food to feed the world's rapidly _____ population.",increasing,rising,accessing,excessing,A,"A. increasing /ɪnˈkriːsɪŋ/ [a]: đang tăng lên | B. rising /ˈraɪzɪŋ/ (a): tăng lên (đằng sau không có tân ngữ) | C. accessing /ˈæksesɪŋ/ (a): truy cập | D. excessing /ˈeksesɪŋ/ (a): quá mức, vượt giới hạn. Tạm dịch: Việc trồng đủ lương thực để đáp ứng cho dân số thế giới đang tăng nhanh như bây giờ ngày càng trở nên hết sức khó khăn."
4,"In most _____ developed countries, up to 50% of _____ population enters higher education at some time in their lives.",Ø/Ø,the/Ø,Ø/the,the/a,C,Sau most + N = most of + the/tính từ sở hữu + N: hầu hết 50% of the population: 50% dân số. Tạm dịch: Ở hầu hết các nước phát triển có tới 50% dân số đi học đại học vào một giai đoạn nào đó trong cuộc đời họ.
5,"The government has made a serious attempt to raise the _____ of living.",cost,standard,mode,level,B,"A. cost /kɒ:st/ (n): chi phí | B. standard /ˈstændəd/ (n): tiêu chuẩn | C. mode /məʊd/ (n): cách thức, phương thức | D. level /'levəl/ (n): mức độ. Cụm từ: Standard of living: chất lượng cuộc sống. Tạm dịch: Chính phủ đã có nỗ lực đáng kể để làm tăng chất lượng cuộc sống."
6,"In 2017, the rate of children living _____ poverty in the us were highest in Louisiana at 28% and lowest in New Hampshire at 10.3%.",in,off,on,out,A,"Cụm từ: live in poverty: sống trong nghèo đói. Tạm dịch: Năm 2017, tỉ lệ trẻ em sống trong nghèo đói ở Mỹ cao nhất ở Louisiana với 28% và thấp nhất ở New Hampshire với 10.3%."
7,"China is the fourth largest and the most _____ country in the world.",populated,populous,population,populate,B,A. populated /ˈpɒpjuleɪtɪd/ (a): có người cư trú | B. populous /ˈpɒpjələs/ (a): đông dân | C. population /ˌpɒpjuˈleɪʃn/ (n): dân số | D. populate /ˈpɒpjuleɪt t/ (v): định cư. Tạm dịch: Trung Quốc là quốc gia lớn thứ tư và đông dân cư nhất thế giới.
8,"Scientists say that the main reason for population _____ is an increase in birth rates.",explosion,explosive,explode,exploded,A,"A. explosion /ɪkˈspləʊʒn/ (n): sự bùng nổ | B. explosive /ɪkˈspləʊsɪv/ (a/n): gây nổ, chất nổ | C. explode /ɪkˈspləʊd/ (v): phát nổ | D. exploded /ɪkˈspləʊdɪd/ (v-ed): phát nổ. Cụm từ: population explosion: bùng nổ dân số. Tạm dịch: Các nhà khoa học cho rằng nguyên nhân chính dẫn tới bùng nổ dân số là do tỷ lệ sinh tăng."
9,"Another solution is to provide safe and inexpensive _____ methods.",birth-defect,birth-control,birth-mark,birth-rate,B,A. birth-defect /'bɜːθ di:fekt/ (n): dị tật bẩm sinh | B. birth-control /'bɜːθ kəntrəʊl/ (n): việc kiểm soát sinh đẻ | C. birth-mark /'bɜːθ ma:k/ (n): vết bớt | D. birth-rate /'bɜːθ reɪt/ (n): tỉ lệ sinh. Tạm dịch: Giải pháp khác là đưa ra những biện pháp kiếm soát sinh an toàn và không tốn kém.
10,"North America was once widely _____ by Native American tribes.",distributed,risen,populated,exploded,C,A. distributed /dɪ'strɪbju:tɪd/ (v-ed): phân bố | B. risen /rizn/ [v-ed]: tăng lên | C. populated /'pɒpjəleɪtɪd/ (v-ed): định cư | D. exploded /ɪk'spləʊdɪd/ (v-ed): bùng nổ. Tạm dịch: Bắc Mĩ là nơi từng được định cư rộng rãi bởi các bộ tộc người Mĩ bản địa.
11,"Mainly because of the recent health scares involving beef and chicken, the number of vegetarians is expected to rise _____ in the next five years.",increasingly,dramatically,slowly,limitedly,B,"A. increasingly /ɪn'kri:sɪŋli/ (adv): tăng lên | B. dramatically /drə'mætɪkəlɪ/ (adv): đáng kể | C. slowly /'sləʊli/ (adv): chậm chạp | D. limitedly /'lɪmɪtɪdli/ (adv): có giới hạn. Tạm dịch: Những nỗi lo ngại về sức khỏe gần đây phần lớn liên quan đến thịt bò và thịt gà, số lượng người ăn chay được mong đợi sẽ tăng lên đáng kể trong vòng 5 năm tới."
12,"Mexico City is growing quickly. In 1970, the city had about 9 million people. Now it has over 17 million. All these people are causing _____ for the city.",problems,matters,troubles,issues,A,"A. problem /'prɒbləm/ (n): vấn đề (cần được xử lí, giải quyết) | B. matter /'mætər/ (n): vấn đề (đang được xử lí, giải quyết) | C. trouble /'trʌbəl/ (n): rắc rối | D. issue /'ɪsju:/ (n): vấn đề mọi người đang suy nghĩ, bàn tán. Tạm dịch: Thành phố Mexico đang phát triển nhanh chóng. Vào năm 1970 thành phố có khoảng 9 triệu dân. Bây giờ nó đã có hơn 17 triệu dân. Những dân cư này đang gây ra nhiều vấn đề cho thành phố."
13,"Most of this growth had occurred since 1950 and was known as the population _____.",growth,explosion,surplus,density,B,"A. growth /grəʊθ/ (n): sự lớn lên, sự phát triển | B. explosion /ɪkˈspləʊʒn/ (n): sự bùng nổ | C. surplus /ˈsɜːpləs/ (n): số thặng dư | D. density /'densɪti/ (n): mật độ. Cụm từ: population explosion: sự bùng nổ dân số population density: mật độ dân số. Tạm dịch: Đa số sự phát triển này xảy ra từ năm 1950 và được biết đến là sự bùng nổ dân số."
14,"Between 1950 and 1980 the world population increased from 2.5 to over 4 billion, and by the end of the twentieth century the _____ had risen to about 6.6 billion.",number,figure,finger,quantity,B,"A. number /'nʌmbər/ (n): chữ số, số đếm | B. figure /ˈfɪgər/ (n): con số | C. finger /ˈfɪŋgər/ (n): ngón tay | D. quantity /'kwɒntəti/ (n): số lượng. Tạm dịch: Giữa năm 1950 và 1980 dân số thế giới đã tăng từ 2,5 lên 4 tỷ dân,và cuối thế kỷ 20 con số này đã lên tới 6,6tỷ."
15,"Already there are encouraging signs that the rate of increase in many less developed countries is beginning to _____.",slow down,speed up,cool down,heat up,A,"A. slow down: giảm tốc độ, làm chậm lại | B. speed up: tăng tốc, làm nhanh lên | C. cool down: làm mát, trở nên bình tĩnh hơn | D. heat up: làm ấm, làm nóng. Tạm dịch: Đã có những dấu hiệu tích cực về tỉ lệ tăng dân số ở các nước kém phát triển đang bắt đầu giảm đi."
16,"The population _____ is high in the southeast: 43 percent of the land contains most of its poplulations.",dense,densely,density,denses,C,"A. dense /'dens/ (a): đông đúc | B. densely /'densli/ (adv): dày đặc, đông đúc, rậm rạp | C. density /'densɪti/ (n): mật độ. Tạm dịch: Mật độ dân số cao ở vùng Đông Nam: 43% đất liền tập trung đa số dân."
17,"The rapid growth of population led to an acute _____ of housing.",shortfall,shortcut,shortcoming,shortage,D,"A. shortfall /ˈʃɔːtfɔːl/ (n): sự thâm hụt (ngân sách) | B. shortcut /ˈʃɔːtkʌt/ (n): đường tắt, biện pháp nhanh chóng | C. shortcoming /ˈʃɔːtkʌmɪŋ/ (n): sự thiếu sót, khuyết điểm | D. shortage /ˈʃɔːtɪdʒ/ (n): thiếu. Tạm dịch: Sự gia tăng dân số quá nhanh đã dẫn tới sự thiếu hụt nhà ở."
