id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"One advantage of living in a/an ___________ is to strengthen relationship between young children and adults.",nuclear family,nuclear house,extended family,extended house,C,"A. nuclear family (n): gia đình hạt nhân (có bố, mẹ và con) | C. extended family (n): gia đình mở rộng, đại gia đình (có ông bà, cha mẹ, cô dì,...). Tạm dịch: Một lợi thế của việc sống trong một đại gia đình là tăng cường mối quan hệ giữa trẻ nhỏ và người lớn."
2,"Good friendship should be based on ___________ understanding.",mutual,unselfish,instant,deep,A,"A. mutual /'mju:tʃuəl/ (a): lẫn nhau | B. unselfish /ʌn'selfɪʃ/ (a): không ích kỷ | C. instant /'ɪnstənt/ (a): lập tức | D. deep /di:p/ (a): sâu. Tạm dịch: Tình bạn tốt phải dựa trên sự thấu hiểu lẫn nhau."
3,"It makes sense to say that friendship can be compared to a tree. Its seed should find good soil and under ___________ conditions it will grow into a tree.",favor,favorite,favorable,favorably,C,"A. favor (n/v): ủng hộ | B. favorite (a/n): yêu thích | C. favorable /'feɪvərəbl/ (a): thuận tiện, thuận lợi | D. favorably (adv): thuận lợi. Tạm dịch: Thật ý nghĩa khi nói rằng tình bạn có thể được so sánh với một cái cây. Hạt giống của nó đi tìm đất tốt và trong điều kiện thuận lợi, nó sẽ phát triển thành cây."
4,"Generation ___________ is the difference in the thoughts and viewpoints amongst generations living together.",distance,gap,space,hole,B,"A. distance (n): khoảng cách | B. gap /ɡæp/ (n): chỗ trống, kẽ hở. Cụm từ: Generation gap: khoảng cách thế hệ. Tạm dịch: Khoảng cách thế hệ là sự khác biệt trong suy nghĩ và quan điểm giữa các thế hệ sống cùng nhau."
5,"Being friends means making ___________ for the other person’s faults, being tolerant to each other moods.",allowance,believe,use,fun,A,"A. allowance /ə'laʊəns/ (n): trợ cấp. Cấu trúc: make allowance for: chiếu cố cho, khoan dung cho. Tạm dịch: Trở thành bạn bè đồng nghĩa với việc chiếu cố cho lỗi lầm của người khác, khoan dung với tâm trạng của nhau."
6,"Do not hesitate to accept ___________ because you can’t give it in turn.",hospitable,hospitality,hospital,hospitably,B,"A. hospitable (a): hiếu khách | B. hospitality (n): lòng hiếu khách | C. hospital (n): bệnh viện | D. hospitably (adv): hiếu khách. Tạm dịch: Đừng ngần ngại chấp nhận lòng hiếu khách vì bạn không thể trả lại nó."
7,"My parents don’t let me get married until I graduate from university and they never ___________ their mind about that.",keep,impose,focus,change,D,"D. change (v): thay đổi. Cấu trúc: change one's mind: thay đổi suy nghĩ. Tạm dịch: Bố mẹ tôi không cho tôi kết hôn cho đến khi tôi tốt nghiệp đại học và họ không bao giờ thay đổi suy nghĩ về điều đó."
8,"The ___________ arises when Jack and his parents have considerable disagreement on his choice of university.",discrimination,conflict,agreement,debate,B,"A. discrimination (n): phân biệt đối xử | B. conflict /'kɒnflɪkt/ (n): xung đột | C. agreement (n): thoả thuận | D. debate (n): tranh luận. Tạm dịch: Sự xung đột phát sinh khi Jack và cha mẹ anh ấy có sự bất đồng lớn trong việc chọn trường đại học."
9,"The most important thing about friends for me is being able to share secrets, to tell each other your problems and share your worries, to help each other ___________.",on,at,in,out,D,"Cấu trúc: help (sb) out: giúp đỡ ai vượt qua khó khăn. Tạm dịch: Đối với tôi, điều quan trọng nhất về bạn bè là có thể chia sẻ bí mật, kể về những vấn đề của mình để cùng chia sẻ những lo lắng, và giúp đỡ lẫn nhau."
10,"Since the family law was implemented, ___________ violence has been a rare occurrence in this area.",domestic,household,internal,family,A,"A. domestic /də'mestɪk/ (a): trong nhà, nội trợ. Cụm từ: domestic violence: bạo hành gia đình. Tạm dịch: Kể từ khi luật gia đình được thực thi, bạo hành gia đình hiếm khi xảy ra ở khu vực này."
