id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Some educationalists hold the belief that personal _____ devices may do more harm than good to students.",electricity,electrified,electronic,electrical,C,A. electricity /ɪˌlekˈtrɪsəti/ (n): điện | B. electricfied /ɪˈlektrɪfaɪ/ (v-ed): nhiễm điện | C. electronic /ɪˌlekˈtrɒnɪk/ (a): thuộc về điện tử | D. electrical /ɪˈlektrɪkl/ (a): thuộc về điện. Tạm dịch: Một vài nhà giáo dục giữ quan điểm rằng những thiết bị điện tử cá nhân sẽ gây hại nhiều hơn là lợi đối với học sinh.
2,"Brainstorming is a useful tool for students to develop _____ solution to an issue.",creating,creative,creativity,creation,B,A. creating /kriˈeɪt/ (v-ing): sáng tạo | B. creative /kriˈeɪtɪv/ (a): sáng tạo | C. creativity /ˌkriːeɪˈtɪvəti/ (n): óc sáng tạo | D. creation /kriˈeɪʃn/ (n): sự tạo ra. Tạm dịch: Phương pháp vận dụng trí tuệ tập thể để giải quyết một vấn đề phức tạp là một công cụ hữu ích cho học sinh để đưa ra những giải pháp sáng tạo cho một vấn đề.
3,"If you have trouble _____ historical facts, just turn them into a song so you can easily recite it. _____ Giaoandethitienganh.info _____",commemorating,memorializing,memorably,memorizing,D,"A. commemorating /kəˈmeməreɪtɪŋ / (v-ing): tưởng nhớ | B. memorializing /məˈmɔːriəlaɪzɪŋ/ (v-ing): kỷ niệm | C. memorably /ˈmemərəbliɪŋ/ (a): đáng ghi nhớ | D. memorizing /ˈmeməraɪzɪŋ/ (v-ing): ghi nhớ. Tạm dịch: Nếu bạn gặp khó khăn trong việc ghi nhớ những sự thật lịch sử, hãy biến chúng thành một bài hát mà bạn có thể dễ dàng nhầm lại nó."
4,"It is _____ for teachers to take advantage of technological advancements and apply them into lectures to boost the efficacy of learning.",advising,advisory,advisable,ill-advised,C,"A. advising /ədˈvaɪzɪŋ/ (v-ing): khuyên bảo Giaoandethitienganh.info | B. advisory /ədˈvaɪzəri/ (a): tư vấn | C. advisable /ədˈvaɪzəbl/ (a): thích hợp, nên | D. ill-advised /ˌɪl ədˈvaɪzd/ (a): nhẹ dạ, khờ dại. Tạm dịch: Giáo viên nên tận dụng những tiến bộ công nghệ và ứng dụng chúng vào bài giảng của mình để làm tăng hiệu quả của việc học."
5,"While a child learns how to use educational _____ , he or she also develops a(n) _____ to analyze, synthesize and evaluate information, which are of great important to his or her academic success.",lessons - knowledge,software - ability,hardware - luck,plans - capacity,B,"A. lesson /'lesən/ (n): bài học knowledge /ˈnɒlɪdʒ/ (n): kiến thức | B. software /ˈsɒftweər/ (n): phần mềm ability /əˈbɪləti/ (n): khả năng, năng lực | C. hardware /ˈhɑːdweər/ (n): phần cứng luck /lʌk/ (n): sự may mắn | D. plan /plæn/ (n): kế hoạch capacity /kəˈpæsəti/ (n): khả năng. Tạm dịch: Khi một đứa trẻ học cách sử dụng một phần mềm về giáo dục, cậu bé hoặc cô bé cũng sẽ phát triển khả năng phân tích, tổng hợp và đánh giá thông tin, điều này là quan trọng nhất đối với thành công về mặt học thuật của cô bé hoặc cậu bé ấy."
6,"When used in the right way, mobile technology has the _____ to help students learn and understand a language effectively.",achievement,development,success,potential,D,"A. achievement /əˈtʃiːvmənt/ (n): sự đạt được, thành tựu | B. development /dɪˈveləpmənt/ (n): sự phát triển | C. success /səkˈses/ (n): thành công | D. potential /pəˈtenʃəl/ (n): tiềm năng, khả năng. Tạm dịch: Khi được sử dụng đúng cách, công nghệ di động có khả năng giúp học sinh học tập và hiểu một ngôn ngữ một cách hiệu quả."
7,"At the beginning of the lecture, the tutor commenced with a video to illustrate an _____ of the present situation.",overview,oversight,overtone,overture,A,"A. overview /ˈəʊvəvjuː/ (n): tổng quan, khái quát | B. oversight /ˈəʊvəsaɪt/ (n): trường hợp bỏ sót | C. overtone /ˈəʊvətəʊn/ (n): âm bội, ngụ ý thêm | D. overture /ˈəʊvətʃʊər/ (n): sự đàm phán, thương lượng. Tạm dịch: Ngay khi bắt đầu bài học, giáo viên đã mở đầu với một video minh họa tổng quát về tình huống hiện tại."
8,"Some new observation activities are being incorporated into the _____ of our school with a view to help students consolidate practical knowledge.",compendium,programme,curriculum,prospectus,C,A. compendium /kəmˈpendiəm/ (n): bản tóm tắt | B. programme /ˈprəʊɡræm/ (n): chương trình | C. curriculum /kəˈrɪkjələm/ (n): chương trình học | D. prospectus /prəˈspektəs/ (n): tờ rơi quảng cáo. Tạm dịch: Một vài những hoạt động quan sát mới đang được kết hợp vào chương trình học của trường chúng ta với mục đích giúp học sinh củng cố kiến thức thực tế.
9,"Using colorful slideshow to present the transformation of a frog from a tadpole, the lecture of my biology teacher was so interesting that all students listened _____ to what he said.",watchfully,attentively,prudently,guardedly,B,"A. watchfully /ˈwɒtʃfəli/ (adv): thận trọng | B. attentively /əˈtentɪvli/ (adv): để ý, chú tâm | C. prudently /ˈpruːdntli/ (adv): thận trọng, khôn ngoan | D. guardedly /ˈɡɑːdɪdli/ (adv): một cách ý tứ, cẩn thận. Tạm dịch: Sử dụng chương trình trình chiếu nhiều màu sắc để trình bày về việc chuyển đổi của một con ếch từ một con nòng nọc, bài giảng của giáo viên môn Giaoandethitienganh.info Sinh học của tôi thú vị đến nỗi tất cả học sinh đều lắng nghe một cách chăm chú tới những gì thầy nói."
10,"Thanks to the application of computers in the end-of-term test, students can now begin the test _____ ,which is much fairer than the written examination.",simultaneously,continuously,spontaneously,indefinitely,A,"A. simultaneously /ˌsɪmlˈteɪniəsli/ (adv): đồng thời | B. continuously /kənˈtɪnjuəsli/ (adv): liên tục | C. spontaneously /spɒnˈteɪniəsli/ (adv): tự ý | D. indefinitely /ɪnˈdefɪnətli/ (adv): mập mờ, vô hạn. Tạm dịch: Nhờ có việc ứng dụng máy tính vào bài kiểm tra cuối học kì, học sinh bây giờ có thể đồng loạt bắt đầu bài kiểm tra, điều này công bằng hơn rất nhiều so với bài kiểm tra viết tay."
