id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Environmentalists are furious with the American Government for delaying measures which will reduce greenhouse gas ___________.",exhaust fumes,smokes,wastes,emissions,D,"A. exhaust fumes: khói thải | B. smoke /sməʊk/ (n): khói | C. waste /weɪst/ (n): chất thải | D. emission /ɪˈmɪʃn/ (n): sự thải ra. Tạm dịch: Các nhà bảo vệ môi trường đã tức giận với chính phủ Mỹ về việc trì hoãn những giải pháp làm giảm sự phát thải khí nhà kính."
2,"The government is introducing strict new rules on the dumping of ___________ by industry.",pesticides,exhaust fumes,toxic waste,emissions,C,"A. pesticide /ˈpestɪsaɪd/ (n): thuốc diệt cỏ | B. exhaust fumes: khói thải | C. toxic waste: chất thải độc hại | D. emission: sự thải ra. Tạm dịch: Chính phủ đã đưa ra một bộ luật mới nghiêm khắc hơn về việc thải chất thải độc hại trong ngành công nghiệp."
3,"If government don’t ___________ global warming, more natural disasters will occur.",achieve,promote,discourage,prevent,D,"A. achieve /əˈtʃiːv/ (v): đạt được | B. promote /prəˈməʊt/ (v): thúc đẩy | C. discourage /dɪˈskʌrɪdʒ/ (v): khuyến khích | D. prevent /prɪˈvent/ (v): ngăn chặn. Tạm dịch: Nếu chính phủ không ngăn chặn sự nóng lên toàn cầu, các thảm họa thiên nhiên sẽ xảy ra nhiều hơn."
4,"Environmental groups are putting ___________ on governments to take actions to reduce the amount of carbon dioxide which is given off by factories and power plants, thus attacking the problems at its source.",force,pressure,persuasion,encouragement,B,"A. force /fɔːs/ (v): bắt buộc | B. pressure /ˈpreʃə(r)/ (n): áp lực | C. persuasion /pəˈsweɪʒn/ (n): sự thuyết phục | D. encouragement /ɪnˈkʌrɪdʒmənt/ (n): sự khuyến khích. Cấu trúc: Put pressure on: gây áp lực cho | Take action: hành động."
5,"Some scientists, ___________, believe that even if we stopped releasing carbon dioxide and other gases into the atmosphere tomorrow, we would have to wait several hundred years to notice the results.",but,although,despite,however,D,"A. but /bʌt/: nhưng | B. although /ɔːlˈðəʊ/: mặc dù | C. despite /dɪˈspaɪt/: mặc dù | D. however /haʊˈevə(r)/: tuy nhiên. Tạm dịch: Tuy nhiên, một vài nhà khoa học lại tin rằng thậm chí nếu mai chúng ta dừng việc thải khí CO2 và các loại khí khác vào bầu khí quyển, chúng ta cũng sẽ phải chờ hàng trăm năm để thấy được kết quả."
6,"The plants of a community are the producers: they use carbon dioxide, oxygen, nitrogen to ___________ their tissues using energy in the form of sunlight.",build up,turn up,put up,hold up,A,"A. build up: tăng thêm, phát triển | B. turn up: đến | C. put up: đặt, để xuống | D. hold up: trì hoãn. Tạm dịch: Các loài thực vật là những cỗ máy sản xuất: chúng sẽ sử dụng CO2, oxy và khí nitơ để phát triển các mô bằng cách sử dụng năng lượng ánh sáng mặt trời."
7,"We should educate people to be fully aware of danger and join hands to ___________ endangered species from becoming extinct.",protect,ban,escape,rescue,A,"A. protect /prəˈtekt/ (v): bảo vệ | B. ban /bæn/ (v): cấm | C. escape /ɪˈskeɪp/ (v): trốn thoát | D. rescue /ˈreskjuː/ (v): cứu. Cấu trúc: Be aware of: ý thức về | Join hands: chung tay | Protect st from: bảo vệ cái gì khỏi cái gì."
8,"The ___________ biological diversity is being promoted by millions of supporters worldwide.",preservative,preservation,preserve,preserved,B,"A. preservative /prɪˈzɜːvətɪv/ (a): để gìn giữ, để bảo tồn | B. preservation /ˌprezəˈveɪʃn/ (n): sự bảo tồn | C. preserve (v): bảo tồn | D. preserved (V-ed). Căn cứ vào mạo từ 'the' và giới từ 'of' trong ô trống ta cần một danh từ. Tạm dịch: Việc bảo tồn sự đa dạng hệ sinh thái đang được hàng ngàn người ủng hộ."
9,"When people can understand clearly the ___________ impacts, they will be more aware of conserving forests.",environment,environmental,environmentalist,environmentally,B,"A. environment (n): môi trường | B. environmental /ɪnˌvaɪrənˈmentl/ (a): (thuộc) môi trường | C. environmentalist (n): người bảo vệ môi trường | D. environmentally (adv): về phương diện môi trường. Căn cứ vào mạo từ 'the' và danh từ 'impacts', ô trống ta cần một tính từ. Tạm dịch: Khi con người hiểu một cách rõ ràng về những tác động của môi trường, họ sẽ có ý thức cao hơn về việc bảo vệ rừng."
10,"In the ___________ agriculture, farmers try to limit the use of chemicals and fertilizers.",sustainable,conserving,preserving,supporting,A,"A. sustainable /səˈsteɪnəbl/ (a): bền vững | B. conserve /kənˈsɜːv/ (v): giữ gìn | C. preserve (v): bảo tồn | D. support (v): ủng hộ. Căn cứ vào mạo từ 'the' và danh từ 'agriculture', ô trống ta cần một tính từ. Tạm dịch: Trong một ngành nông nghiệp bền vững, các nông dân cố gắng hạn chế sử dụng phân bón và chất hóa học."
