id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"The amount of solar energy that reaches the earth depends ___________ the atmosphere.",to,in,on,with,C,"Cấu trúc: depend on st/sb: phụ thuộc vào ai, cái gì. Tạm dịch: Lượng năng lượng mặt trời có thể thâm nhập Trái Đất phụ thuộc vào bầu khí quyển."
2,"Solar energy can be changed ___________ electricity.",in,to,into,for,C,"Cấu trúc: to be changed into st: được chuyển đổi thành cái gì. Tạm dịch: Năng lượng mặt trời có thể được chuyển đổi thành điện."
3,"Oil, coal and natural gas are ___________ fuels made from decayed material from animal or plants.",unleaded,smokeless,solid,fossil,D,"A. unleaded /ʌnˈledɪd/(a): không chì | B. smokeless /ˈsməʊkləs/(a): không có khói | C. solid /ˈsɒlɪd/(a): rắn | D. fossil /ˈfɒsl/(a): hóa thạch. Cụm từ: fossil fuels /ˈfɒsl ˈfjuːəlz/: nhiên liệu hóa thạch. Tạm dịch: Dầu, than đá, khí tự nhiên là những nhiên liệu hóa thạch được tạo thành từ động thực vật đã phân hủy."
4,"A nuclear reactor releases ___________ which is dangerous to the environment.",radiation,heat,energy,carbon dioxide,A,"A. radiation /ˌreɪdiˈeɪʃn/(n): phóng xạ | B. heat /hiːt/(n): nhiệt | C. energy /ˈenədʒi/(n): năng lượng | D. carbon dioxide /ˌkɑːbən daɪˈɒksaɪd/(n): khí CO2. Tạm dịch: Lò phản ứng hạt nhân thải ra chất phóng xạ gây nguy hiểm đối với môi trường."
5,"The government has spent £1 million on an advertising ___________ to encourage energy conservation.",campaign,promotion,operation,enterprise,A,"A. campaign /kæmˈpeɪn/(n): chiến dịch | B. promotion /prəˈməʊʃn/(n): sự thúc đẩy, sự thăng tiến | C. operation /ˌɒpəˈreɪʃn/(n): sự vận hành | D. enterprise /ˈentəpraɪz/(n): tổ chức kinh doanh, hãng, xí nghiệp. Tạm dịch: Chính phủ đã dành ra một triệu đô cho chiến dịch quảng cáo để khuyến khích sự bảo tồn năng lượng."
6,"All fossil fuels are ___________ resources that cannot be replaced after use.",unlimited,renewable,available,non-renewable,D,"A. unlimited /ʌnˈlɪmɪtɪd/(a): không giới hạn, vô tận | B. renewable /rɪˈnjuːəbl/(a): có thể tái tạo được | C. available /əˈveɪləbl/(a): có sẵn | D. non-renewable /ˌnɒnrɪˈnjuːəbl/(a): không tái tạo được. Tạm dịch: Tất cả nhiên liệu hóa thạch là những nguồn không thể tái tạo được, những cái không thể thay thế sau khi sử dụng."
7,"Many newer cars have a much lower fuel ___________.",consuming,consumer,consummation,consumption,D,"A. consuming /kənˈsjuːmɪŋ/(n-Ving): tiêu thụ | B. consumer /kənˈsjuːmər/(n): người tiêu dùng | C. consummation /ˌkɒnsəˈmeɪʃn/(n): sự làm xong, sự hoàn thành | D. consumption /kənˈsʌmpʃn/(n): sự tiêu thụ. Sau danh từ 'fuel' cần một danh từ để tạo thành danh từ ghép. Tạm dịch: Nhiều ô tô đời mới hơn tiêu thụ năng lượng ít hơn nhiều."
8,"We should develop such ___________ sources of energy as solar energy and nuclear energy.",tradition,alternative,revolutionary,surprising,B,"A. tradition /trəˈdɪʃn/(n): truyền thống | B. alternative /ɔːlˈtɜːnətɪv/(a): thay thế | C. revolutionary /ˌrevəˈluːʃənəri/(a): thuộc về cách mạng | D. surprising /səˈpraɪzɪŋ/(a): gây ngạc nhiên. Căn cứ vào danh từ 'sources' cần một tính từ đứng trước. Tạm dịch: Chúng ta nên phát triển những nguồn năng lượng thay thế như năng lượng mặt trời và năng lượng hạt nhân."
9,"There is now increasing concern about the world's energy ___________ particularly about those involving fossil fuels.",possessions,goods,materials,resources,D,"A. possession /pəˈzeʃn/(n): sự sở hữu | B. goods /ɡʊdz/(n): hàng hóa | C. material /məˈtɪəriəl/(n): nguyên liệu | D. resource /rɪˈzɔːs/(n): nguồn. Tạm dịch: Càng ngày càng có nhiều lo ngại về nguồn năng lượng của thế giới đặc biệt là nguồn năng lượng liên quan tới nhiên liệu hóa thạch."
10,"It's important for the developed countries to reduce energy ___________ as much as possible.",exhaustion,destruction,consumption,waste,C,"A. exhaustion /ɪɡˈzɔːstʃən/(n): sự kiệt sức | B. destruction /dɪˈstrʌkʃn/(n): sự phá hủy | C. consumption /kənˈsʌmpʃn/(n): sự tiêu thụ | D. waste /weɪst/(n): rác thải. Tạm dịch: Việc các nước phát triển phải cắt giảm sự tiêu thụ năng lượng càng nhiều càng tốt là điều rất quan trọng."
11,"The world's coal ___________ should last longer but, once used, these cannot be renewed.",reserves,reservations,stores,storage,A,"A. reserve /rɪˈzɜːv/(n): sự dự trữ | B. reservation /ˌrezəˈveɪʃn/(n): sự đặt trước, sự bảo tồn | C. store /stɔː(r)/(n): cửa hàng | D. storage /ˈstɔːrɪdʒ/(n): sự lưu trữ. Tạm dịch: Nguồn dự trữ than của thế giới nên có thời gian sử dụng lâu dài hơn nhưng một khi đã sử dụng thì không thể tái tạo được."
12,"___________ energy sources include water and wind power.",Friendly environmental,Environmentally friendly,Friendly environment,Environmental friendly,B,"Quy tắc: đứng trước tính từ là trạng từ nên ta có cụm: environmentally friendly: thân thiện với môi trường. Tạm dịch: Những nguồn năng lượng thân thiện với môi trường gồm có nước và năng lượng gió."
13,"The ___________ of these toxic substances into the environment is potentially devastating.",delivery,release,distribution,research,B,"A. delivery /dɪˈlɪvəri/(n): sự phân phát, vận chuyển | B. release /rɪˈliːs/(n/v): sự thải ra, phát ra | C. distribution /ˌdɪstrɪˈbjuːʃn/(n): sự phân bố | D. research /rɪˈsɜːtʃ/(n): nghiên cứu. Tạm dịch: Việc xả thải các chất độc hại ra môi trường gây ra nhiều tàn phá nghiêm trọng."
14,"Increased consumption will lead to faster ___________ of our natural resources.",exhaust,exhausting,exhaustion,exhaustive,C,"A. exhaust /ɪɡˈzɔːst/(n): khí thải | B. exhausting /ɪɡˈzɔːstɪŋ/(n-Ving): thải ra | C. exhaustion /ɪɡˈzɔːstʃən/(n): sự cạn kiệt | D. exhaustive /ɪɡˈzɔːstɪv/(a): toàn diện. Tạm dịch: Tiêu thụ càng nhiều sẽ khiến nguồn năng lượng tự nhiên của chúng ta càng nhanh cạn kiệt."
15,"___________ is produced from the heat stored in the earth's core.",Geothermal energy,Nuclear energy,Solar energy,Water energy,A,"A. geothermal energy: năng lượng địa nhiệt | B. nuclear energy: năng lượng hạt nhân | C. solar energy: năng lượng mặt trời | D. water energy: năng lượng nước. Tạm dịch: Năng lượng địa nhiệt được sản sinh ra từ nhiệt được lưu trữ bên trong lõi trái đất."
16,"Scientists have done researches on ___________ activities of the world's volcanoes.",sport,ecological,geothermal,geodetic,C,"A. sport /spɔːt/(n): thể thao | B. ecological /ˌiːkəˈlɒdʒɪkl/(a): thuộc sinh thái học | C. geothermal /ˌdʒiːəʊˈθɜːml/(a): thuộc địa nhiệt | D. geodetic /ˌdʒiːəʊˈdetɪk/(a): đo đạc. Trước danh từ 'activities' cần một tính từ. Tạm dịch: Các nhà khoa học đã tiến hành những nghiên cứu về các hoạt động địa nhiệt của núi lửa trên thế giới."
17,"Vietnam is rich in ___________, such as coal, apatite, bauxite, etc.",natural resources,seas,land,fish,A,"A. natural resources: tài nguyên thiên nhiên | B. seas /siː/(n): biển | C. land /lænd/(n): đất liền | D. fish /fɪʃ/(n): cá. Cấu trúc: be rich in st: giàu có về cái gì. Tạm dịch: Việt Nam giàu về tài nguyên thiên nhiên như than đá, apatit, bô-xít,..."
18,"Some people think nuclear power is the only real ___________.",alternation,energetic,alternative,fossil fuel,C,"A. alternation /ˌɔːltəˈneɪʃn/(n): sự xen nhau; sự xen kẽ, sự thay phiên, sự luân phiên | B. energetic /ˌenəˈdʒetɪk/(a): năng động | C. alternative /ɔːlˈtɜːnətɪv/(a/n): thay thế | D. fossil fuel /ˈfɒsl ˈfjuːəl/: nhiên liệu hóa thạch. Tạm dịch: Một vài người nghĩ rằng năng lượng hạt nhân là nguồn năng lượng thay thế duy nhất."
19,"He has ___________ extensive research into renewable energy sources.",carried out,turned on,taken over,cared for,A,"A. carried out: tiến hành | B. turned on: bật | C. taken over: tiếp quản, chiếm đoạt | D. cared for: bảo vệ, thích. Tạm dịch: Anh ấy đã tiến hành nhiều nghiên cứu về những nguồn năng lượng có thể tái tạo được."
20,"One danger is in ___________ radioactive wastes which are produced during nuclear reactions.",consisting of,getting rid of,making use of,taking care of,B,"A. consist of: bao gồm | B. get rid of = remove st: loại bỏ | C. make use of: tận dụng | D. take care of: chăm sóc. Tạm dịch: Việc loại bỏ những rác thải phóng xạ sản sinh ra trong các phản ứng hạt nhân là một điều nguy hiểm."
21,"___________ in large quantities in the Middle East, oil became known as black gold because of the large profit it brought.",Discovering,which was discovered,Discovered,That when discovered,C,"Kiến thức rút gọn hai mệnh đề cùng chủ ngữ: Cùng chủ ngữ là 'oil' căn cứ nghĩa của câu ta rút gọn ở dạng bị động Vp2. Tạm dịch: Được phát hiện với số lượng lớn ở vùng Trung Đông, dầu được biết đến như vàng đen bởi lợi nhuận lớn mà nó mang lại."
22,"Non-renewable energy sources are running ___________.",up,on,to,out,D,"A. run up: chạy lên, tăng nhanh (giá cả) | B. run on: chạy bằng nhiên liệu gì/trở đi trở lại một vấn đề nào đó | C. run to: chạy tới đâu | D. run out: cạn kiệt. Tạm dịch: Những nguồn năng lượng không thể tái tạo đang dần cạn kiệt."
23,"In some countries, people use wind or sea ___________ as the environment friendly energy sources.",wave,water,product,weed,A,"A. wave /weɪv/(n): sóng | B. water /ˈwɔːtər/(n): nước | C. product /ˈprɒdʌkt/(n): sản phẩm | D. weed /wiːd/(n): cỏ dại. Tạm dịch: Ở một vài quốc gia con người sử dụng gió hoặc sóng biển như nguồn năng lượng thân thiện với môi trường."
24,"Coal and oil are non-renewable ___________ sources.",engineer,energy,engineering,energetic,B,"A. engineer /ˌendʒɪˈnɪə(r)/(n): kỹ sư | B. energy /ˈenədʒi/(n): năng lượng | C. engineering /ˌendʒɪˈnɪərɪŋ/(n): nghề kỹ sư, công việc của kỹ sư | D. energetic /ˌenəˈdʒetɪk/(a): năng động. Tạm dịch: Than đá và dầu là nguồn năng lượng không thể tái tạo được."
25,"People on Earth are ___________ need of more nuclear energy.",on,at,in,for,C,"Cụm từ: be in need of st: đang cần thứ gì. Tạm dịch: Con người trên Trái Đất đang cần nhiều năng lượng hạt nhân hơn."
26,"___________ energy uses natural sources of energy such as the sun, wind, or water for power and fuel, rather than oil, coal, or nuclear power.",Alternative,Solar,Hydropower,Electricity,A,"A. alternative /ɔːlˈtɜːnətɪv/(a): thay thế | B. solar /ˈsəʊlər/(a): thuộc mặt trời | C. hydropower /ˈhaɪdrəʊpaʊər/(n): thủy điện | D. electricity /ɪˌlekˈtrɪsəti/(n): điện. Trước danh từ 'energy' cần một tính từ. Tạm dịch: Năng lượng thay thế sử dụng nguồn tài nguyên thiên nhiên như mặt trời, gió hoặc nước làm năng lượng và nhiên liệu thay vì dầu, than đá và năng lượng hạt nhân."
27,"The ___________ to use renewable energy sources is on the increase when non-renewable ones are running out.",attitude,tender,tendency,intention,C,"A. attitude /ˈætɪtjuːd/(n): thái độ | B. tender /ˈtendər/(a): mềm yếu, dễ vỡ | C. tendency /ˈtendənsi/(n): xu hướng | D. intention /ɪnˈtenʃn/(n): ý định. Tạm dịch: Xu hướng sử dụng các nguồn năng lượng có thể tái tạo đang tăng lên khi các nguồn năng lượng không thể tái tạo đang cạn kiệt đi."
28,"Many communities are burning ___________ and other biological waste products to produce electricity. Converting waste products to gases or oil is also an efficient way to dispose of wastes.",garbage,waste,litter,rubbish,A,"A. garbage /ˈɡɑːrbɪdʒ/(n): rác bỏ đi, phế thải | B. waste /weɪst/(n): rác thải trong công nghiệp | C. litter /ˈlɪtər/(n): rác thải nơi công cộng | D. rubbish /ˈrʌbɪʃ/(n): rác thải trong gia đình. Tạm dịch: Rất nhiều cộng đồng đang đốt phế liệu và những sản phẩm rác sinh học khác để tạo ra điện."
29,"Universities and colleges give solar energy courses where students learn to build their own solar ___________.",collectors,contributors,generators,conductors,A,"A. collector /kəˈlektər/(n): nhà sưu tầm/bộ thu | C. generator /ˈdʒenəreɪtər/(n): máy phát điện | D. conductor /kənˈdʌktər/(n): người chỉ huy/vật dẫn. Tạm dịch: Các trường đại học và cao đẳng đưa ra những khóa học về năng lượng mặt trời để học sinh có thể tự xây dựng nên bộ thu năng lượng mặt trời riêng của mình."
30,"A ___________ is a wall that is built across a river in order to stop the water flowing and to make a lake.",panel,sail boat,dam,mill,C,"A. panel /ˈpænəl/(n): thanh, ô (cửa) | B. sail boat: thuyền buồm | C. dam /dæm/(n): cái đập | D. mill /mɪl/(n): máy xay, máy nghiền. Tạm dịch: Một cái đập là một bức tường được xây qua một con sông để ngăn nước chảy và tạo thành một cái hồ."
