id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Gagarin served as the deputy training director of the Cosmonaut Training Centre, which was _____ named after him.",subsequently,consequently,eloquently,frequently,A,"A. subsequently /ˈsʌbsɪkwəntli/ (adv): sau đó | B. consequently /ˈkɒnsɪkwəntli/ (adv): do đó, bởi vậy, cho nên | C. eloquently /ˈeləkwəntli/ (adv): hùng biện, hùng hồn | D. frequently /ˈfriːkwəntli/ (adv): liên tục. Tạm dịch: Gagarin từng là Phó Giám đốc Đào tạo của Trung tâm Đào tạo Vũ trụ, cái mà sau đó đã được đặt theo tên của ông."
2,"There are no true seasons on Jupiter because the _____ inclination to the perpendicular of the orbital plane is only just over 3° - less than that for any other planet.",equatorial,axial,meridian,latitude,B,A. equatorial /ˌekwəˈtɔːriəl/ (a): thuộc xích đạo | B. axial ˈæksiəl/ (a): thuộc trục | C. meridian /məˈrɪdiən/ (n): kinh tuyến | D. latitude /ˈlætɪtjuːd/ (n): vĩ độ. Tạm dịch: Không có mùa thật sự trên sao Mộc vì sự nghiêng của trục vuông góc với mặt phẳng quỹ đạo chỉ hơn 3 độ - ít hơn so với những hành tinh khác.
3,"The most famous mark on Jupiter is the Great Red Spot, which has shown _____ in both intensity and color, and at times it has been invisible, but it always returns after a few years.",varieties,variations,variabilities,variegation,B,"A. varieties /vəˈraɪəti/ (n): sự đa dạng | B. variations /ˌveəriˈeɪʃn/ (n): sự biến đổi, sự dao động | C. variabilities /ˌveəriəˈbɪləti/ (n): tính chất có thể thay đổi được | D. variegation /ˌveəriˈgeɪʃən/ (n): tình trạng có nhiều đốm khác nhau. Tạm dịch: Điểm nổi tiếng nhất trên Sao Mộc là điểm đỏ khổng lồ, cái đã cho thấy sự biến đổi cả về mức độ lẫn màu sắc, và thỉnh thoảng nó đã biến mất Giaoandethitienganh.info nhưng luôn xuất hiện sau một vài năm."
4,"The astronaut was in orbit around the Earth at a _____ of more than 17,000 miles per hour.",pace,speed,space,expense,B,A. pace /peɪs/ (n): bước chân | B. speed /spi:d/ (n): tốc độ | C. space /speɪs/ (n): không gian | D. expense /ɪk'spens/ (n): chi phí. Tạm dịch: Nhà du hành vũ trụ đang trong quỹ đạo quay xung quanh trái đất ở tốc độ hơn 17000 dặm một giờ.
5,"No one knew precisely what would happen to a human being in space as well as how the mind would deal with the psychological _____ ?",pressure,stress,tension,changes,C,A. pressure /ˈpreʃər/ (n): áp lực | B. stress /stres/ (n): sự căng thẳng | C. tension /ˈtenʃn/ (n): tình trạng căng thẳng | D. changes /tʃeɪndʒ/ (n): những sự thay đổi. Tạm dịch: Không một ai biết chính xác điều gì sẽ xảy ra với con người trong không gian cũng như làm sao xử lí với tình trạng căng thẳng tâm lý.
6,"How would the body react to the _____ changes in temperature?",severe,sudden,extreme,rapid,B,"A. severe /sɪˈvɪər/ (a): khắt khe, gay gắt | B. sudden /ˈsʌdən/ (a): bất ngờ, đột ngột | C. extreme /ɪkˈstriːm/ (a): vô cùng, cực độ | D. rapid /ˈræpɪd/ (a): nhanh. Tạm dịch: Làm thế nào mà cơ thể phản ứng được với những thay đổi đột ngột về nhiệt độ?"
7,"On 21 December, 1968 the United States _____ Apollo 8 from the Kennedy Space Center.",started,launched,controlled,took off,B,"A. started /stɑːtɪd/ (v-ed): bắt đầu | B. launched /lɔːntʃd/ (v-ed): phóng, đưa ra | C. controlled /kənˈtrəʊld/ (v-ed): kiểm soát | D. took off: cất cánh (máy bay), cởi đồ. Tạm dịch: Vào ngày 21 tháng 12 năm 1968 Mỹ đã phóng đi Apollo 8 từ trung tâm không gian kennedy."
8,"The astronauts on board, Frank Borman, James Lovell and William Anders, were the first humans to _____ to the moon.",pay a visit,break their journey,journey,take a trip,C,"A. pay a visit: ghé thăm | B. break their journey: tạm dừng chân, tạm nghỉ chân | C. journey /ˈdʒɜːni/ (v): làm một cuộc hành trình | D. take a trip: có một chuyến đi. Tạm dịch: Các phi hành gia trên tàu, Frank Borman, James Lovell và William Anders, là những người đầu tiên du hành lên Mặt Trăng."
9,"The craft _____ the moon ten times and sent television pictures of its surface back to Earth.",circled,rounded,surrounded,orbited,D,A. circled /ˈsɜːkəld/ (v-ed): xoay quanh | B. rounded /ˈraʊndɪd/ (v-ed): quay tròn | C. surrounded /səˈraʊndɪd/ (v-ed): bao quanh | D. orbited /ˈɔːbɪtɪd/ v-ed): di chuyển theo quỹ đạo quanh cái gì. Tạm dịch: Máy bay đã di chuyến theo quỹ đạo quanh Mặt Trăng mười lần và gửi tín hiệu hình ảnh bề mặt của nó tời trái đất.
10,"Six hours after a successful _____ on the moon, Neil Armstrong was ready to leave _____ Giaoandethitienganh.info _____ the Eagle.",grounding,landing,staying,traveling,B,"A. grounding /ˈɡraʊndɪŋ/ (n): sự mắc cạn (tàu thủy) | B. landing /ˈlændɪŋ/ (n): sự hạ cánh (máy bay) | C. staying /steɪŋ/ (n): sự ở lại | D. traveling /ˈtrævlɪŋ/ (n): sự du lịch, sự di chuyển. Tạm dịch: Sáu tiếng đồng hồ sau khi hạ cánh thành công lên mặt trăng, Neil Armstrong đã sẵn sàng để rời khỏi con tàu The Eagle. Giaoandethitienganh.info"
11,"Neil Armstrong wore the special _____ and heavy boots. He placed his foot on the moon's surface and that's one small step for a man, one giant _____ for mankind.",space-suit/jump,space-clothes/leap,space-suit/leap,space-clothes/jump,C,"A. space-suit /speɪs su:t/ (n): quần áo du hành vũ trụ | B. jump /dʒʌmp/ (n): sự nhảy (trong thể dục thể thao) | C. space-suit /speɪs su:t/ (n): quần áo du hành vũ trụ | D. leap /li:p/ (n): bước nhảy, bước chuyển (có ý nghĩa) Không có space-clothes nên ta không xét đáp án B, | D. Tạm dịch: Neil Armstrong mặc quần áo du hành đặc biệt và đeo giày ống nặng, ông ấy đã đặt chân lên mặt trăng, đó là bước đi nhỏ của một con người nhưng ỉà bước đi lớn của nhân loại."
12,"The exploration of Mars is being carried out by means of _____",satellites,shuttle,plane,spacecraft,A,A. satellites /ˈsætəlaɪt/ (n): vệ tinh | B. shuttle /ˈʃʌtəl/ (n): tàu con thoi | C. plane /pleɪn/ (n): máy bay | D. spacecraft /ˈspeɪskrɑːft/ (n): tàu vũ trụ. Tạm dịch: Việc khám phá Sao Hỏa đang được tiến hành bằng các vệ tinh.
13,"Yuri Gagarin could have made another space flight if a tragic accident had not _____",happened,been happened,occurred,taken place,C,happen /ˈhæpən/ = occur /əˈkɜːr/ (v): xảy ra (không có dự tính từ trước) taken place: diễn ra (có dự tính từ trước). Tạm dịch: Yuri Gagarin lẽ ra có thể thực hiện một chuyên bay không gian khác nếu như tai nạn bi kịch không xảy ra.
14,"China became the third country in the world to be able to independently carry _____ out _____ space flights.",manned,mankind,man-made,mannered,A,"A. manned /mænd/ (a): có người lái | B. mankind /mæn'kaɪnd/ (n): nhân loại | C. man-made / mæn'meɪd/ (a): do con người làm, nhân tạo | D. mannered/'mænəd/ (a): kiểu cách, cầu kỳ (văn phong). Tạm dịch: Trung Quốc trở thành quốc gia thứ ba trên thế giới có khả năng độc lập tiến hành những chuyến bay có người lái vào không gian."
15,"Yuri Gagarin lifted _____ into space aboard the Vostok 1 at 9.07 a.m. Moscow time on 12th April, 1961.",on,up,off,of,C,"Cụm từ: lift off: phóng lên (tên lửa, tàu vũ trụ), bay vào. Tạm dịch: Yuri Gagarin đã bay vào không gian vũ trụ trên tàu Vostok 1 vào 9 giờ 7 phút sáng theo giờ Moscow ngày 12 tháng 4 năm 1961."
16,"After nearly five months of _____ , the first tenants of the international space station said they are eager to return to Earth.",weight,weighting,weightless,weightlessness,D,"A. weight /'weɪt (n): trọng lượng | B. weighting /'weɪtɪŋ/ (n): khoản thanh toán thêm, phụ cấp thêm (trong các trường hợp đặc biệt) | C. weightless /'weɪtləs/ (a): không trọng lượng | D. weightlessness /'weɪtləsnəs/ (n): tình trạng không trọng lượng. Tạm dịch: Sau gần năm tháng ở trong tình trạng không trọng lượng, những người chủ sở hữu đầu tiên của trạm không gian quốc tế nói rằng họ háo hức quay về trái đất."
17,"Although his flight lasted only 108 minutes, its _____ made him a national hero.",succeed,successful,successive,success,D,A. succeed /səkˈsiːd/ (v): thành công | B. successful /səkˈsesfəl/ (a): thành công | C. successive /səkˈsesɪv/ (a): liên tiếp | D. success /səkˈses/ (n): sự thành công. Tạm dịch: Mặc dù chuyến bay của anh ấy kéo dài chỉ 108 phút nhưng thành công của chuyến bay đã khiến anh ấy trở thành anh hùng dân tộc.
18,"Before Gagarin’s _____ flight, there were still enormous uncertainties.",historical,historic,history,historian,B,A. historical /hɪˈstɒrɪkəl/ (a): có liên quan đến lịch sử | B. historic /hɪˈstɒrɪk/ (a): thuộc về lịch sử Giaoandethitienganh.info | C. history /ˈhɪstri/ (n): lịch sử | D. historian /hɪˈstɔːriən/ (n): nhà sử gia. Tạm dịch: Trước chuyển bay lịch sử của Gagarin đã có vô số điều không chắc chắn.
