id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"I’m responsible for cooking dinner as my mother usually works ___________.",lately,latter,later,late,D,"A. lately /'leɪtli/ (adv): gần đây | B. latter /'lætər/ (a): cái sau | C. later /'leɪtər/ (a): về sau này | D. late /leɪt/ (a/adv): trễ, muộn. Cấu trúc: be responsible for: chịu trách nhiệm về. Tạm dịch: Tôi chịu trách nhiệm nấu bữa tối vì mẹ tôi thường đi làm về muộn."
2,"I usually ___________ my younger sisters when my parents are away on business.",look into,look after,look for,look up,B,"A. look into: điều tra | B. look after: chăm sóc, trông nom | C. look for: tìm kiếm | D. look up: tra cứu (từ điển). Cấu trúc: be on business: đi công tác. Tạm dịch: Tôi thường chăm sóc em gái nhỏ của mình khi ba mẹ đi công tác."
3,"In my family, my father always takes charge of doing the ___________ lifting.",strong,hard,heavy,huge,C,"A. strong /strɒŋ/ (a): mạnh | B. hard /hɑ:d/ (a): khó | C. heavy /'hevi/ (a): nặng | D. huge /hju:dʒ/ (a): to lớn. Cấu trúc: Take charge of = be responsible for: chịu trách nhiệm về; Heavy lifting: việc nặng nhọc. Tạm dịch: Trong gia đình tôi, bố tôi luôn đảm nhận những công việc nặng nhọc."
4,"___________ the rubbish in the early morning is a part of my daily routine.",Taking out,Coming out,Pulling out,Bringing out,A,"A. Take out: đổ (rác), nhổ (răng) | B. Come out: xuất bản, xuất hiện | C. Pull out: dời đi, rút ra | D. Bring out: làm nổi bật. Tạm dịch: Đổ rác vào sáng sớm là một phần trong lịch trình công việc hằng ngày của tôi."
5,"My wife is going on her business next week so I have to ___________ most of the chores around the house.",distribute,control,take,handle,D,"A. distribute /dɪ'strɪbju:t/ (v): đóng góp | B. control /kən'trəʊl/ (v): điều khiển | C. take /teɪk/ (v): lấy | D. handle /'hændl/ (v): quán xuyến. Tạm dịch: Vợ tôi sẽ đi công tác vào tuần tới nên tôi phải quán xuyến hầu hết các công việc nhà."
6,"As a blue - collar worker, he found it difficult to be in charge of the household ___________.",financial,financially,finances,financier,C,"A. financial /faɪ'nænʃl/ (a): thuộc về tài chính | B. financially /faɪ'nænʃli/ (adv): về mặt tài chính | C. finance /'faɪnæns/ (n): tài chính | D. financier /fɪ'nænsiər/ (n): chuyên gia tài chính. Cấu trúc: Blue-collar worker: công nhân. Tạm dịch: Vì chỉ là một công nhân, anh ấy cảm thấy khó khăn để lo toan về tài chính gia đình."
7,"___________ is a person who works at home and takes care of the house and family.",Breadwinner,Homemaker,Servant,Houseman,B,"A. Breadwinner (n): trụ cột gia đình | B. Homemaker (n): người làm nội trợ | C. Servant (n): người hầu | D. Houseman (n): bác sĩ thực tập nội trú. Tạm dịch: Người nội trợ là người làm việc ở nhà và chăm sóc nhà cửa và gia đình."
8,"My mother and I often go to the supermarket to shop for ___________ at weekends.",cook,groceries,heavy lifting,the chores,B,"A. cook (v): nấu ăn | B. grocery /'ɡrəʊsəri/ (n): đồ tạp hóa | C. heavy lifting: việc nặng | D. the chores: công việc vặt. Tạm dịch: Mẹ và tôi thường đi siêu thị để mua sắm đồ tạp hóa vào cuối tuần."
9,"Her husband is very kind. He always cares ___________ her and never puts all of the housework ___________ her.",about - in,for - in,about - on,with - on,C,"Cấu trúc: Care about sb: quan tâm tới ai; Put st on sb: đùn đẩy hết cái gì cho ai. Tạm dịch: Chồng của cô ấy rất tốt bụng. Anh ấy luôn luôn quan tâm cô ấy và không bao giờ đùn đẩy hết việc nhà cho cô ấy."
10,"To Hoa, her father is the greatest person in the world and he always sets a good ___________ for her.",role,behavior,example,action,C,"A. role (n): vai trò | B. behavior (n): cách cư xử | C. example (n): mẫu, ví dụ | D. action (n): hành động. Cấu trúc: set a good example for sb: làm gương tốt cho ai. Tạm dịch: Với Hoa, bố cô ấy là người tuyệt vời nhất trên thế giới này và ông ấy luôn là một tấm gương tốt cho cô ấy."
11,"We take ___________ in doing the washing-up, cleaning the floor and watering the flowers.",action,power,note,turns,D,"A. action (n): hành động | B. power (n): quyền lực | C. note (n): ghi chú | D. turn /tɜ:n/ (n): lượt, phiên. Cấu trúc: Take turns doing st: thay phiên nhau làm gì đó. Tạm dịch: Chúng tôi thay phiên nhau rửa bát, lau dọn sàn nhà, và tưới hoa."
12,"Most people will receive ___________ benefits when sharing the housework in their family.",enormous,huge,big,great,A,"A. enormous /ɪ'nɔ:məs/ (a): to lớn, khổng lồ | B. huge /hju:dʒ/ (a): to lớn về kích thước/số lượng | C. big (a): lớn | D. great (a): vĩ đại. Tạm dịch: Đa số mọi người sẽ nhận được những lợi ích to lớn khi chia sẻ công việc nhà trong gia đình của họ."
13,"When getting into troubles, Jack never ___________ on other people for help. He always solves them on his own.",determines,influences,relies,manages,C,"A. determine (v): quyết tâm | B. influence (v): ảnh hưởng | C. rely /rɪ'laɪ/ (v): dựa vào, cậy vào | D. manage (v): quản lý. Cấu trúc: Rely on: dựa vào, tin vào. Tạm dịch: Khi gặp rắc rối, Jack sẽ không bao giờ dựa dẫm vào sự giúp đỡ của người khác."
14,"It was essential for him to be financially ___________ of his parents, so he decided to find a part-time job.",dependent,independent,dependable,undependable,B,"A. dependent (a): phụ thuộc | B. independent (a): độc lập | C. dependable (a): có thể dựa dẫm | D. undependable (a): không thể phụ thuộc. Tạm dịch: Anh ấy cần độc lập về tài chính với bố mẹ. Vì thế anh ấy quyết định tìm một công việc làm thêm."
15,"We’ve divided the group report into three parts and you’re ___________ for the conclusion one.",responsible,irresponsible,response,responsive,A,"A. responsible /rɪ'spɒnsəbl/ (a): có trách nhiệm | B. irresponsible (a): vô trách nhiệm | C. response (n): phản hồi | D. responsive (a): phản ứng nhanh. Tạm dịch: Chúng tôi đã chia bản báo cáo thành ba phần, và bạn chịu trách nhiệm ở phần kết luận."
16,"My father advised me to make a list of things to do and ___________ them if you want to work effectively.",do,arrange,prioritize,approach,C,"A. do (v): làm | B. arrange (v): tổ chức | C. prioritize /praɪ'ɒrɪtaɪz/ (v): ưu tiên | D. approach (v): tiếp cận. Tạm dịch: Bố của tôi khuyên tôi là nên lập danh sách những việc cần làm và ưu tiên làm chúng nếu bạn muốn làm việc một cách hiệu quả."
17,"Despite my parents’ disagreement, I’m ___________ to drop out of university and establish my own business.",determined,confident,successful,hesitant,A,"A. determined /dɪ'tɜ:mɪnd/ (a): quyết tâm | B. confident (a): tự tin | C. successful (a): thành công | D. hesitant (a): do dự. Cấu trúc: drop out of: bỏ học. Tạm dịch: Mặc cho sự phản đối của bố mẹ, tôi vẫn quyết tâm bỏ học đại học và bắt đầu việc kinh doanh riêng."
