id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Smartphone can be a great learning _____ but you need to think of how to use it effectively.",benefit,choice,invention,tool,D,A. benefit /'benɪfɪt/ (n): lợi ích | B. choice /tʃɔɪs/ (n): sự lựa chọn | C. invention /ɪnˈvenʃən/ (n): sự phát minh | D. tool /tu:l/ (n): công cụ. Tạm dịch: Điện thoại thông minh có thể là một công cụ học tập tuyệt vời nhưng bạn cần suy nghĩ làm sao để sử dụng nó một cách hiệu quả.
2,"The Braille alphabet has been one of the greatest _____ in human history.",invention,inventions,inventors,inventive,B,"A. invention /ɪnˈvenʃən/ (n): sự phát minh | B. inventions /ɪnˈvenʃənz/ (n): những phát minh | C. inventors /ɪnˈventərz / (n): những nhà phát minh | D. inventive /in'ventɪv/ (a): thuộc về phát minh Căn cứ vào tính từ “greatest"" nên vị trí trống cần một danh từ. Căn cứ vào cụm từ “one of + N (số nhiều)” và căn cứ vào nghĩa của câu ta chọn đáp án | B. Tạm dịch: Bảng chữ nổi là một trong những phát minh vĩ đại nhất trong lịch sử loài người."
3,"Many young people carry a pair of earbuds as they are small, light, and _____",chargeable,economical,portable,transferable,C,"A. chargeable /ˈtʃɑːdʒəbəl/ (a): có thể sạc được | B. economical /ˌiːkəˈnɒmɪkl/ (a): tiết kiệm | C. portable /ˈpɔːtəbl/ (a): nhỏ gọn, có thể mang theo | D. transferable /trænsˈfɜːrəbl/ (a): có thể di chuyển. Tạm dịch: Nhiều người trẻ mang theo tai nghe vì chúng nhỏ, nhẹ và dễ mang."
4,"Velcro has gradually become a familiar _____ for shoes, jackets, and even spacesuits.",button,fastener,locker,zipper,B,"A. button /ˈbʌtn/ (n): nút | B. fastener /ˈfæsnər/ (n): cái móc, cái khóa | C. locker /ˈlɑːkər/ (n): người khóa, tủ có khoá, két có khoá | D. zipper /ˈzɪpər/ (n): khóa kéo. Tạm dịch: Velcro dần trở thành một loại khóa quen thuộc dành cho giày, áo vét và quần áo của phi hành gia."
5,"The _____ of the Internet has played an important part in the development of communication.",research,occurrence,invention,display,C,"A. research /rɪˈsɜːtʃ/ (n): cuộc nghiên cứu | B. occurrence /əˈkʌrəns/ (n): sự xảy ra | C. invention /ɪnˈvenʃn/ (n): sự phát minh | D. display /dɪˈspleɪ/ (n): sự phô bày, trưng bày. Tạm dịch: Sự phát minh ra Internet đóng một vai trò quan trọng trong sự phát triển liên lạc."
6,"Most smartphones now _____ flashplayer as well as voice and video calls.",display,offer,provide,support,D,"A. display /dɪˈspleɪ/ (v): trưng bày | B. offer /ˈɒfər/ (v): đề nghị, đưa ra | C. provide /prəˈvaɪd/ (v): cung cấp | D. support /səˈpɔːt/ (v): hỗ trợ. Tạm dịch: Phần lớn điện thoại thông minh bây giờ hỗ trợ máy nghe nhạc cũng như cuộc gọi âm thanh và video."
7,"The _____ of modern technologies has undeniably brought so much comfort to the lives of people.",interaction,advent,emergency,identity,B,"A. interaction /ˌɪntərˈækʃn/ (n): sự tương tác | B. advent /ˈædvent (n): sự ra đời, sự mở đầu | C. emergency /ɪˈmɜːdʒənsi/ (n): trường hợp khẩn cấp | D. identity /aɪˈdentəti/ (n): tính đồng nhất. Tạm dịch: Sự ra đời của công nghệ hiện đại đã đem lại sự thuận tiện không thể phủ nhận đối với đời sống con người."
8,"Many students prefer _____ assignments on their laptops to writing traditionally.",reading,searching,sending,typing,D,A. reading /ˈriːdɪŋ/ (v-ing): đọc | B. searching /ˈsɜːtʃɪŋ/ (v-ing): tìm kiếm | C. sending /sendɪŋ/ (v-ing): gửi | D. typing /ˈtaɪpɪŋ/ (v-ing): đánh máy. Cấu trúc: prefer st/doing st to st/doing st: thích làm gì hơn làm gì. Tạm dịch: Nhiều học sinh thích đánh máy bài tập trên máy tính xách tay hơn là viết bài theo kiểu truyền thống.
9,"Mobile devices such as laptops or digital cameras can be charged by _____",solar charges,solar-charges,solar chargers,solar-chargers,C,C. solar chargers (n): ổ sạc bằng năng lượng mặt trời. Tạm dịch: Nhiều thiết bị di động như máy tính xách tay hoặc máy ghi hình kĩ thuật số có thể được sạc bằng ổ sạc bằng năng lượng mặt trời.
10,"Teens may have access to the Internet through personal _____ like smart phone, but younger children still use the family computer to get online.",information,instruments,devices Do document,,C,A. information /ˌɪnfəˈmeɪʃn/ (n): thông tin | B. instruments /ˈɪnstrəmənt/ (n): dụng cụ (âm nhạc) | C. devices /dɪˈvaɪs/ (n): thiết bị | D. document /ˈdɒkjumənt/ (n): tài liệu. Tạm dịch: Thiếu niên có thể tiếp cận với Internet thông qua những thiết bị cá nhân như điện thoại thông minh nhưng những đứa trẻ nhỏ hơn vẫn sử dụng máy tính tại nhà để truy cập trực tuyến.
