id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Rapid ___________ would cause frequent floods and leave little water during dry seasons.",run-off,run-in,run-out,run-over,A,"A. run-off /ˈrʌn.ɒf/ (n): dòng chảy | B. run-in /ˈrʌn.ɪn/ (n): cuộc cãi lộn | C. run-out /ˈrʌn.aʊt/ (n): sự chạy lệch tâm | D. run-over (n): không tồn tại danh từ từ run-over. Tạm dịch: Dòng chảy nhanh sẽ gây ra lũ lụt thường xuyên và gây thiếu nước trong suốt mùa khô."
2,"These days it is impossible to open a newspaper without reading about the damage we are ___________ to the environment.",taking,doing,making,causing,D,"A. take to sb/st: bắt đầu thích ai/ cái gì | D. cause the damage to st: gây thiệt hại đến cái gì. Tạm dịch: Những ngày này, không thể mở một tờ báo mà không đọc về những thiệt hại chúng ta gây ra cho môi trường."
3,"Opencast coal mining is among the most environmentally ___________ activities carried out in Wales.",destruction,destructive,destructor,destroy,B,"A. destruction /dɪˈstrʌk.ʃən/ (n): sự phá hoại | B. destructive /dɪˈstrʌk.tɪv/ (a): hủy diệt, tàn phá | C. destructor /dɪsˈtrʌtə/ (n): kẻ phá hoại | D. destroy /dɪˈstrɔɪ/ (v): phá hủy. Giải thích: căn cứ vào danh từ 'activities' ta chọn tính từ destructive. Tạm dịch: Khai thác mỏ than là một trong số các hoạt động hủy hoại môi trường nhất đang diễn ra ở xứ Wales."
4,"Countries around the world have growing ___________ of trash because people are throwing out more trash than ever before.",mountains,hills,dumps,dunes,A,"A. mountain /ˈmaʊn.tən/ (n): núi, đống to, hàng đống | B. hill /hɪl/ (n): đồi | C. dump /dʌmp/ (n): đống rác | D. dune /dʒuːn/ (n): cồn cát, đụn cát. Tạm dịch: Hàng núi rác thải đang xuất hiện tại khắp các quốc gia trên thế giới vì con người đang xả rác nhiều hơn bao giờ hết."
5,"Many people do not know that polar ice is melting and sea levels are ___________.",raising,rising,degrading,dissolving,B,"A. raise /reɪz/ (v): nâng cái gì lên (ngoại động từ - cần tân ngữ) | B. rise /raɪz/ (v): gia tăng (nội động từ - không cần tân ngữ). Tạm dịch: Rất nhiều người không biết rằng các tảng băng đang tan chảy và mực nước biển cũng đang tăng lên."
6,"The coastal areas are being seriously contaminated, which ___________ from disposing harmful chemical rubbish into seas.",leads,causes,results,escapes,C,"A. lead /liːd/ to st: dẫn đến | C. result /rɪˈzʌlt/ from: có kết quả từ (result in: gây ra). Tạm dịch: Các khu vực ven biển đang bị ô nhiễm nghiêm trọng do việc xử lý rác hóa chất độc hại vào biển."
7,"Overusing pesticides is also considered to be a ___________ of pollution.",cause,reason,origin,threat,A,"A. cause /kɔːz/ (n): nguyên nhân | B. reason /ˈriː.zən/ (n): lý do | C. origin /ˈɒrɪdʒɪn/ (n): nguồn gốc | D. threat /θret/ (n): sự đe dọa. Tạm dịch: Việc lạm dụng thuốc trừ sâu cũng được xem như một nguyên nhân của việc ô nhiễm."
8,"Nowadays, we are facing many threats such as ___________, pollution, global warming and fossil fuel depletion.",afforestation,reforestation,forestation,deforestation,D,"A. afforestation /æfˌɒr.ɪˈsteɪ.ʃən/ (n): sự trồng cây gây rừng | D. deforestation /diːˌfɒr.ɪˈsteɪ.ʃən/ (n): sự chặt phá rừng. Tạm dịch: Ngày nay, chúng ta đang đối mặt với nhiều mối đe dọa như chặt phá rừng, ô nhiễm, nóng lên toàn cầu và cạn kiệt nhiên liệu hóa thạch."
9,"Dumping ___________ such as detergents, pesticides and other chemicals in lakes, rivers and seas contaminates our water source.",pollution,pollutants,polluted,pollute,B,"A. pollution /pəˈluːʃn/ (n): sự ô nhiễm | B. pollutant /pəˈluːtənt/ (n): chất gây ô nhiễm | C. polluted (a): bị ô nhiễm. Tạm dịch: Các chất gây ô nhiễm như chất tẩy rửa, thuốc trừ sâu và các hóa chất khác bị thải vào sông hồ làm ô nhiễm nguồn nước."
10,"___________ is very important to life, as no one can live long without it.",Clean water,Fresh water,Spring water,Mineral water,A,"A. Clean water (n): nước sạch, nước tinh khiết | B. Fresh water (n): nước ngọt. Tạm dịch: Nước sạch rất quan trọng, bởi vì không có ai sống mà không có nước sạch."
11,"Because non-renewable resources are being consumed at a rapid rate, human beings are likely to face fossil fuel ___________.",disappearance,degradation,depletion,destruction,C,"A. disappearance (n): sự biến mất | C. depletion /dɪˈpliːʃn/ (n): sự cạn kiệt. Tạm dịch: Vì nguồn tài nguyên không thể tái tạo đang bị sử dụng với tốc độ tăng nhanh, con người có khả năng phải đối mặt với sự cạn kiệt nhiên liệu hóa thạch."
12,"In Africa, people’s interference in the rhino’s ___________ leads to habitat loss.",sector,territory,domain,country,B,"A. sector (n): lĩnh vực | B. territory /ˈterɪtəri/ (n): lãnh thổ. Tạm dịch: Ở Châu Phi, sự can thiệp của con người tới lãnh thổ của tê giác gây ra sự mất môi trường sống."
13,"Soot comes from the ___________ combustion of fossil or other fuels.",completion,complete,incompletion,incomplete,D,"C. incompletion (n): tình trạng chưa hoàn thành | D. incomplete (a): chưa hoàn thành, chưa đầy đủ. Tạm dịch: Muội than sinh ra từ quá trình đốt cháy chưa hoàn toàn nhiên liệu hóa thạch hay các nhiên liệu khác."
14,"___________ is destroying larger areas of tropical rain forests.",Afforestation,Deforestation,Reforestation,Forestry,B,"B. Deforestation /diːˌfɒr.ɪˈsteɪ.ʃən/ (n): sự chặt phá rừng. Tạm dịch: Sự chặt phá rừng đang hủy hoại các khu vực có diện tích lớn hơn của những khu rừng nhiệt đới."
15,"Environmental pollution is becoming an ___________ serious problem that needs to be taken care of as soon as possible.",increasingly,increasing,increase,increased,A,"A. increasingly /ɪnˈkriːsɪŋli/ (adv): ngày càng. Trước tính từ 'serious' cần một trạng từ để bổ nghĩa. Tạm dịch: Ô nhiễm môi trường đang trở thành một vấn đề ngày càng nghiêm trọng cần được xử lý sớm."
16,"Most of the air pollution results ___________ the burning of fossil fuels, motor vehicles, factories, aircraft and rockets.",in,to,on,from,D,"D. result from: có kết quả từ, là do. Tạm dịch: Hầu hết ô nhiễm không khí là kết quả của việc đốt cháy nhiên liệu hóa thạch, xe cơ giới, nhà máy, máy bay và tên lửa."
17,"Some scientists argue that the historical evidence shows that over time the Earth heats ___________ and cools ___________ naturally.",up - away,away - down,up - down,down - up,C,"Heat up: làm nóng lên | Cool down: làm lạnh, bình tĩnh lại. Tạm dịch: Một vài nhà khoa học tranh cãi rằng các bằng chứng lịch sử chỉ ra rằng theo thời gian trái đất nóng lên và nguội đi tự nhiên."
18,"There’s has been a steady rise in the average temperature around the planet over the last hundred years or so, and the majority of scientists put it ___________ to human activity.",down,back,up,across,A,"Put it down to st: quy cho là do cái gì. Tạm dịch: Trong vòng trăm năm trở lại đây nhiệt độ trung bình tăng lên và đa số các nhà khoa học quy cho là do hoạt động của con người."
19,"Greenpeace is an international group that protests against anything which is a ___________ to the environment.",threat,threaten,threatening,threatened,A,"A. threat /θret/ (n): sự đe dọa. Sau 'a' cần một danh từ. Tạm dịch: Greenpeace là một tập đoàn quốc tế phản đối chống lại bất cứ mối đe dọa nào đối với môi trường."
20,"Scientists have found holes in the ___________, particularly over Antarctica.",ice caps,polar ice,ozone layer,greenhouse,C,"C. ozone layer (n): tầng ozon. Tạm dịch: Các nhà khoa học đã tìm thấy những lỗ hổng trên tầng ozon đặc biệt là ở khắp Nam Cực."
21,"Make sure your car runs on unleaded petrol and your home uses sources of ___________ energy.",recycling,reused,renewable,recyclable,C,"C. renewable /rɪˈnjuːəbl/ (a): có thể tái tạo. Tạm dịch: Hãy chắc chắn rằng chiếc xe hơi của bạn chạy bằng nguồn năng lượng không chứa chì và nhà của bạn sử dụng các nguồn năng lượng tái tạo."
22,"Many of the world’s largest cities are ___________ and some are permanently covered by a ___________.",heavily polluted - polluted cloud,heavy pollution - polluted cloud,heavy pollution - cloud of pollution,heavily polluted - cloud of pollution,D,"heavily polluted: bị ô nhiễm nặng nề | cloud of pollution: các tầng mây ô nhiễm. Tạm dịch: Rất nhiều thành phố lớn nhất thế giới bị ô nhiễm nặng nề và một số mãi mãi bị bao phủ bởi các tầng mây ô nhiễm."
23,"Thousands of acres of forest are being cut down every year and the ___________ of many animals are being destroyed.",natural resources,natural habitats,ways of life,living surroundings,B,"B. natural habitats (n): môi trường sống tự nhiên. Tạm dịch: Hàng ngàn hécta rừng đang bị chặt phá mỗi năm và môi trường sống tự nhiên của nhiều loài động vật đang bị phá hủy."
24,"There will be ___________ too. Some areas will become wetter while others will become much drier.",weather changes,weather forecasts,climatic changes,climate changes,D,"D. climate changes (n): biến đổi khí hậu. Tạm dịch: Sẽ có biến đổi khí hậu. Một vài vùng sẽ có mưa nhiều hơn trong khi những nơi khác lại trở nên hanh khô hơn."
25,"As the Earth gets hotter, the Arctic and Antarctic ___________ will slowly melt and the level of the oceans will rise.",snowballs,avalanches,ice caps,icebergs,C,"C. ice cap /'ais kæp/ (n): chỏm băng (trên đỉnh núi). Tạm dịch: Khi trái đất trở nên nóng hơn, các chỏm băng thuộc Bắc Cực và Nam Cực sẽ từ từ tan chảy và mực nước biển sẽ tăng lên."
26,"The ___________ that are produced by factories and car are allowing more ___________ from the sun to reach earth.",gases - radiation,gases - light,gas - light,gas - radiation,A,"gas: khí gas | radiation /ˌreɪdiˈeɪʃn/: phóng xạ, bức xạ. Tạm dịch: Các loại khí được thải ra từ nhà máy và xe hơi khiến nhiều bức xạ từ mặt trời thâm nhập vào trái đất."
27,"The gradual rise in the Earth’s temperature is known as ___________.",greenhouse effect,global warming,ozone layer,acid rain,B,"B. global warming (n): hiện tượng nóng lên toàn cầu. Tạm dịch: Sự tăng dần nhiệt độ của trái đất được gọi là hiện tượng nóng lên toàn cầu."
28,"Farmers contribute to environmental damage by spraying ___________ with ___________, which stay in the soil for years.",agriculture - pesticides,agriculture - fertilizers,crops - fertilizers,crops - pesticides,D,"crop: mùa màng | pesticide /ˈpestɪsaɪd/ (n): thuốc trừ sâu. Tạm dịch: Nông dân gây ra những phá hủy môi trường bằng cách phun thuốc trừ sâu, cái mà sẽ ngấm vào đất trong nhiều năm."
29,"During the last hundred years we have done great ___________ to the environment.",injury,pollution,damage,destruction,C,"Cấu trúc: do damage to st: gây thiệt hại cho cái gì. Tạm dịch: Trong suốt hàng trăm năm trở lại đây, chúng ta vẫn đang gây ra rất nhiều thiệt hại đến môi trường."
30,"As towns grow, they tend to destroy the surrounding ___________ areas.",urban,commercial,land,rural,D,"D. rural /ˈrʊərəl/ (a): thuộc nông thôn. Tạm dịch: Khi các thị trấn phát triển, chúng có xu hướng phá hủy các vùng nông thôn xung quanh."
