id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"In the near future, the government will instigate new measures to combat _____",terrorist,terrorism,terrorize,terror,B,"A. terrorist /'terərɪst/ (n): kẻ khủng bố | B. terrorism /'terərɪzəm/ (n): sự khủng bố, chính sách khủng bố | C. terrorize /'terəraɪz/ (v): làm cho khiếp sợ, khủng bố | D. terror /'terər/ (n): sự kinh hoàng, khiếp sợ, khủng bố. Tạm dịch: Trong tương lai gần, Chính phủ sẽ thúc đẩy các biện pháp mới để chống khủng bố."
2,"Many people think that in some more years we will see the complete of newspapers and magazines due to the Internet.",disappear,disappearance,appear,appearing,B,"A. disappear /ˌdɪsəˈpɪər/ (v): biến đi, biến mất | B. disappearance /ˌdɪsəˈpɪərəns/ (n): sự biến mất | C. appear /əˈpɪər/ (v): xuất hiện Căn cứ vào tính từ “complete"" nên vị trí trống cần một danh từ. Do đó ta chọn đáp án | B. Tạm dịch: Nhiều người nghĩ rằng trong một vài năm nữa chúng ta sẽ thấy sự biến mất hoàn toàn của báo và tạp chí do có Internet."
3,"A specific area of biotechnology that shows great promise for treatment and cure of life- _____ diseases.",developing,threatening,hoping,fitting,B,"A. developing /dɪˈveləpɪŋ/ (a): phát triển | B. Threatening /ˈθretnɪŋ/ (a): đe dọa, hăm dọa | C. hope /həʊp/ (v): hy vọng | D. fitting /ˈfɪtɪŋ/ (a): thích hợp, phù hợp. Tạm dịch: Một lĩnh vực cụ thể của công nghệ sinh học cho thấy nhiều hứa hẹn trong việc điều trị và chữa các bệnh đe dọa đến tính mạng."
4,"We sometimes go away from the city to the countryside for a _____ of fresh air.",feeling,sip,swallow,breath,D,"A. feeling /ˈfiːlɪŋ/ (n): cảm xúc, cảm nghĩ,ý kiến | B. sip /sɪp/ (n/v): nhấm nháp, uống từng ngụm | C. swallow /ˈswɒləʊ/ (n/v): nuốt | D. breath /breθ/ (n): thở, hơi thở A breath of fresh air: hít thở không khí trong lành. Tạm dịch: Chúng tôi thỉnh thoảng rời thành phố về nông thôn để hít thở không khí trong lành."
5,"The idea of building a _____ with human intelligence is not only ambitious but also highly unconventional.",robot,corporation,line,road,A,"A. robot /ˈrəʊbɒt/ (n): robot, người máy | B. corporation /ˌkɔːpəˈreɪʃn/ (n): tập đoàn | C. line /laɪn/ (n): đường kẻ | D. road /rəʊd/ (n): con đường. Tạm dịch: Ý tưởng xây dựng một con robot có trí thông minh của con người không chỉ tham vọng mà còn rất độc đáo."
6,"Washing machines, vacuum cleaners, and dish washers are labor _____ devices which help US do housework easily and quickly.",improving,making,saving,employing,C,"A. improving /ɪmˈpruːvɪŋ/ cải thiện, trau dồi, mở mang | B. making /'meɪkɪŋ/: làm | C. saving /'seɪvɪŋ/: cứu nguy, tiết kiệm | D. employing /ɪm'plɔɪɪŋ)/: thuê mướn. Cụm từ: labor saving: tiết kiệm nhân công, sức lao động. Tạm dịch: Máy giặt, máy hút bụi và máy rửa chén là những thiết bị tiết kiệm sức lao động giúp chúng ta làm việc nhà dễ dàng và nhanh chóng."
7,"The computer allows US to work fast and _____",efficiently,differently,variously,freshly,A,A. efficiently /ɪˈfɪʃntli/ (adv): hiệu quả | B. differently /ˈdɪfrəntli/ (adv): khác biệt | C. variously /ˈveəriəsli/ (adv): khác nhau theo từng trường hợp | D. freshly /ˈfreʃli/ (adv): tươi mới. Tạm dịch: Máy tính cho phép chúng ta làm việc nhanh chóng và hiệu quả.
8,"It is predicted that _____ computing technology will increase in value at _____ same time it will decrease in cost.",∅/the,a/the,the/a,a/∅,A,"Ta có: ""computing technology"" - công nghệ điện toán là danh từ chung nên ta không sử dụng mạo từ. Cụm từ: at the same time: đồng thời. Tạm dịch: Người ta dự đoán rằng công nghệ điện toán sẽ tăng giá trị đồng thời nó sẽ giảm chi phí."
9,"Bitcoin Investors are _____ on the hope that as this high-tech money becomes more widely accepted, its value will soar.",relying,entrusting,depending,gambling,D,"A. relying /rɪˈlaɪɪŋ/: tin cậy, dựa vào, nhờ vào | B. entrusting /ɪnˈtrʌstɪŋ/: giao phó trách nhiệm | C. depending /dɪˈpendɪŋ/: phụ thuộc | D. gambling /ˈɡæmblɪŋ/: cá độ, đánh bạc. Cấu trúc: gamble on st: mạo hiểm may rủi. Tạm dịch: Các nhà đầu tư Bitcoin đang mạo hiểm với hy vọng rằng khi tiền công nghệ cao này trở nên được chấp nhận rộng rãi hơn, giá trị của nó sẽ tăng vọt."
10,"Cancers and AIDS, which are _____ now, will be cured successfully.",treat,untreatable,treatment,treatable,B,"A. treat /tri:t/ (v): đối xử, điều trị, bàn về | B. untreatable / ʌn 'tri:təbəl/ (a): không thể chữa được | C. treatment /'tri:tmənt/ (n): sự đối xử, điều trị | D. treatable /'tri:təbəl/ (a): có thể thương lượng, điều trị. Tạm dịch: Ung thư và AIDS, hiện không thể điều trị được, sẽ được chữa khỏi thành công."
11,"There will be no places where people have to suffer the lack of food and _____",commodity,accommodation,shelters,slums,B,"A. commodity /kəˈmɒdəti/ (n): hàng hóa, tiện nghi | B. accommodation /əˌkɒməˈdeɪʃn/ (n): chỗ ở | C. shelters /ˈʃeltər/ (n): chỗ ẩn náu, nương tựa | D. slums /slʌm/ (n): khu nhà ổ chuột. Tạm dịch: Sẽ không có nơi nào mà mọi người phải chịu đựng sự thiếu thốn lương thực và chỗ ở."
12,"In the future, maybe all cars that run _____ petrol will be replaced by solar cars.",on,at,out,into,A,"Cấu trúc: run on something: chạy bằng gì. Tạm dịch: Trong tương lai, có thể tất cả những chiếc xe chạy bằng xăng sẽ được thay thế bằng xe năng lượng mặt trời."
13,"With recent developments in solar car design and the measurement of photovoltaic cells becoming smaller, the dream of a truly efficient solar car is more _____ than fantasy.",real,realize,realization,reality,D,"A. real ˈriːəl/ (a): thực tế | B. realize /ˈriːəlaɪz /(v): nhận thấy, hiểu rõ | C. realization /ˌriːəlaɪˈzeɪʃn/ (n): sự thực hiện, hiểu rõ | D. reality /riˈæləti/ (n): sự thật, thực tế. Tạm dịch: Với những phát triển gần đây trong thiết kếxe năng lượng mặt trời và kích thước các tế bào quang điện trở nên nhỏ hơn, giấc mơ về một chiếc xe năng lượng mặt trời thực sự hiệu quả ngày càng thực tế hơn là tưởng tượng."
14,"Many teenagers show signs of anxiety and _____ when being asked about their future.",depress,depression,depressing,depressed,B,"A. depress /dɪ'pres/ (v): làm buồn, chán nản, suy nhược | B. depression /dɪ'preʃən/ (n): sự buồn chán, phiền muộn, suy nhược | C. depressing /dɪ'presɪŋ/ (a): làm chán nản, thất vọng, buồn rầu | D. depressed /dɪ'prest/ (a): buồn, thất vọng. Cấu trúc: Liên từ ""and"" ở giữa thì hai vê phải giống nhau về từ loại/cấu trúc. Căn cứ vào danh từ ""anxiety"" nên vị trí trống cần một danh từ. Tạm dịch: Nhiều thanh thiếu niên có dấu hiệu lo lắng và phiền muộn khi được hỏi về tương lai của họ."
15,"Someone who is _____ ishopeful about the future or the success of something in particular.",powerful,optimistic,stagnant,pessimistic,B,"A. powerful /ˈpaʊəfəl/ (a): hùng mạnh, có quyền lực lớn | B. optimistic /ˌɒptɪˈmɪstɪk/ (a): lạc quan | C. stagnant /ˈstæɡnənt/ (a): trì trệ, uể oải, mụ mẫm | D. pessimistic /ˌpesɪˈmɪstɪk/ (a): bi quan. Tạm dịch: Một người lạc quan thường hy vọng về tương lai hoặc sự thành công của một cái gì đó đặc biệt."
16,"There will be powerful network of computers which may come from a single _____ computing _____ thatis worn on or in the body.",device,machinery,equipment,vehicle,A,"A. device /dɪ'vaɪs/ (n): thiết bị, dụng cụ, máy móc | B. machinery /məˈʃiːnəri/ (n): máy móc, bộ máy | C. equipment /ɪ'kwɪpmənt/ (n): đồ trang bị, thiết bị | D. vehicle /'vɪəkəl/ (n): xe cộ. Tạm dịch: Sẽ có một mạng lưới máy tính rộng khắp có thể đến từ một thiết bị điện toán duy nhất được đeo trên hoặc trong cơ thể."
