id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"People applying for a job in actuarial firms must have _____ skills, which involve the ability to gather information, solve complex problems and make decisions.",analysts,analytical,analysis,analyzing,B,"A. analysts /'aenahsts/ (n): nhà phân tích | B. analytical /aena'htikal/ (a): (thuộc) phân tích, giải tích | C. analysis /a'naelasis/ (n): sự phân tích | D. analyzing /'aenalaizirj/ (v): phân tích Căn cứ vào danh từ ""skills"" thì vị trí trống cần một tính từ. Nên đáp án đúng là | B. Tạm dịch: Những người xin việc trong các Công ty Thống kê Bảo hiểm phải có kỹ năng phân tích, cái mà liên quan đến khả năng thu thập thông tin, giải quyết các vấn đề phức tạp và đưa ra quyết định."
2,"A large proportion of employees from all demographics claimed to be _____ with strict rules and poor working conditions of their companies.",dissatisfied,satisfied,satisfaction,unsatisfactory,A,"A. dissatisfied /dɪsˈsætɪsfaɪd/ (a): không hài lòng, bất mãn | B. satisfied /ˈsætɪsfaɪd/ (a): hài lòng, thỏa mãn | C. satisfaction /ˌsætɪsˈfækʃn/ (n): cảm giác hài lòng, sự thỏa mãn | D. unsatisfactory /ˌʌnˌsætɪsˈfæktəri/ (a): không vừa ý, không thỏa đáng. Cấu trúc: To be dissatisfied with st: không hài lòng, bất mãn với cái gì >< To be satisfied with st: hài lòng, thỏa mãn với cái gì. Tạm dịch: Một tỷ lệ lớn nhân viên từ tất cả các cuộc điều tra xã hội khẳng định rằng họ không hài lòng với các quy tắc nghiêm ngặt và điều kiện làm việc kém của các công ty của họ."
3,"In America, a worker can take a _____ leave to take care of his or her baby.",parental,parenting,parenthood,parentage,A,"A. parental /pə'rentəl/ (a): (thuộc) cha mẹ | B. parenting /ˈpeərəntɪŋ/ (n): việc nuôi nấng con cái | C. parenthood /ˈpeərənthʊd/ (n): tư cách làm cha mẹ, bậc cha mẹ | D. parentage /ˈpeərəntɪdʒ/ (n): dòng dõi của cha mẹ, nguồn gốc tổ tiên. Cụm từ: parental leave: thời gian mà ông bố/bà mẹ được phép nghỉ việc để chăm con. Tạm dịch: Ở Mỹ, một công nhân có thể nghỉ phép để chăm sóc con mình."
4,"Many corporations and _____ are now making use of state-of-the-art artificial intelligence and automatic _____ in lieu of the human labor force.",entrepreneurs - applicants,enterprising - applicable,entrepreneurial - appliances,enterprises - applications,D,A. entrepreneurs - applicants: doanh nhân - người nộp đơn xin việc | B. enterprising - applicable: mạnh dạn - thích hợp | C. entrepreneurial - appliances: (thuộc) nghề thầu khoán - thiết bị | D. enterprises - applications: doanh nghiệp - ứng dụng. Tạm dịch: Nhiều tập đoàn và doanh nghiệp hiện đang tận dụng trí tuệ nhân tạo tiên tiến và các ứng dụng tự động thay cho sức lao động của con người.
5,"_____ is a person who studies processes in the earth's atmosphere that cause particular weather conditions.",Anthropologist,Archaeologist,Meteorologist,Philanthropist,C,"A. Anthropologist /ˌænθrəˈpɒlədʒɪst/ (n): nhà nhân chủng học | B. Archaeologist /ˌɑːkiˈɒlədʒɪst/ (n): nhà khảo cổ học | C. Meteorologist /ˌmiːtiəˈrɒlədʒɪst/ (n): nhà khí tượng | D. Philanthropist /fɪˈlænθrəpɪst/ (n): nhà hảo tâm. Tạm dịch: Nhà khí tượng học là người nghiên cứu các quá trình trong bầu khí quyển Trái đất, cái mà gây ra các điều kiện thời tiết đặc biệt."
6,"Having revealed confidential documents to an agency’s competitor, Mr. Gordon would definitely be sued for _____ of contract.",crack,breach,rupture,fracture,B,"A. crack /kræk/ (v): quất (roi), búng (ngón tay)/làm nứt, rạn vỡ | B. breach /bri:tʃ/ (v): chọc thủng | C. rupture /'rʌptʃər/ (v): đoạn tuyệt, cắt đứt (một mối quan hệ) | D. fracture /'fræktʃər/ (v): bẻ gãy, rạn, nứt. Cấu trúc: breach of contract: sự vi phạm hợp đồng. Tạm dịch: Sau khi tiết lộ tài liệu mật cho một đối thủ cạnh tranh của cơ quan, ông Gordon chắc chắn sẽ bị kiện vì vi phạm hợp đồng."
7,"The Headquarter of this multinational organization is currently _____ , which means some people will have to be made redundant.",undersized,overused,overstaffed,undercharged,C,"A. undersized /ˌʌndə'saɪzd/ (a): còi cọc, có kích thước nhỏ hơn bình thường | B. overused /ˌəʊvə'ju:st/ (a): lạm dụng, dùng quá nhiều | C. overstaffed /ˌəʊvə'sta:ft/ (a): thừa nhân viên | D. undercharged /ˌʌndə'tʃa:dʒd/ (a): định giá quá thấp. Tạm dịch: Trụ sở chính của tổ chức đa quốc gia này hiện đang bị thừa nhận viên, điều đó có nghĩa là một số người sẽ trở nên không cần thiết (dư thừa)."
8,"The managers said I'd would be on _____ for the first two or three weeks as they wanted to find out if a trainee were able to complete all the given tasks under intense pressure.",testing,inspection,probation,experimentation,C,"A. testing /'testiŋ/ (n): sự thử, sự nghiên cứu | B. inspection /ɪnˈspekʃn/ (n): sự xem xét kỹ lưỡng, kiểm tra, thanh tra | C. probation /prəˈbeɪʃn/ (n): sự thử thách, thử nghiệm, chế độ tù treo | D. experimentation /ɪkˌsperɪmenˈteɪʃn/ (n): sự thí nghiệm, thử nghiệm. Cấu trúc: be on probation: trong thời gian tập sự, quản chế. Tạm dịch: Các nhà quản lý cho biết tôi sẽ tập sự trong hai hoặc ba tuần đầu tiên vì họ muốn tìm hiểu xem liệu một thực tập sinh có thế hoàn thành tất cả các nhiệm vụ được đưa ra dưới áp lực cao hay không."
9,"Although her boss gives quite obvious a hint of dismissing Nancy for her incompetence, she is still _____ ignorant of the fact that she is about to face up to a gloomy scenario of unemployment. _____",jubilantly,ecstatically,blissfully,decorously,C,"A. jubilantly /ˈdʒuːbɪləntli/ (adv): một cách vui vẻ, hân hoan (niềm vui chiến thắng) | B. ecstatically /ɪkˈstætɪkli/ (adv): một cách đê mê, ngây ngất | C. blissfully /ˈblɪsfəli/ (adv): một cách hạnh phúc, sung sướng | D. decorously /ˈdekərəsli/ (adv): một cách lịch thiệp, đúng đắn. Cấu trúc: blissfully ignorant: không biết và không muốn biết về những điều gì không vui, không tốt đẹp. Tạm dịch: Mặc dù ông chủ của cô ấy đưa ra một ám chỉ khá rõ ràng về việc sa thải Nancy vì sự bất tài của cô nhưng cô ấy vẫn không biết gì về sự thật rằng cô sắp phải đối mặt với một viễn cảnh mù mịt của sự thất nghiệp."
10,"So _____ does Jin carry out his work that he hardly makes any mistakes.",superficially,substantially,meticulously,tactfully,C,"A. superficially /ˌsuːpəˈfɪʃəli/ (adv): thiển cận, hời hợt, nông cạn | B. substantially /səbˈstænʃəli/ (adv): về thực chất, căn bản | C. meticulously /məˈtɪkjələsli/ (adv): tỉ mỉ, kỹ càng | D. tactfully /ˈtæktfəli/ (adv): khéo xử, lịch thiệp. Tạm dịch: Jin tỉ mỉ thực hiện công việc của mình đến nỗi anh ấy hầu như không mắc lỗi nào."
11,"The newly developed software has been _____ successful as it takes far less time for a receptionist to process orders than the conventional method.",regularly,markedly,permissibly,intimately,B,"A. regularly /ˈreɡjələli/ (adv): thường xuyên, đều đặn | B. markedly /ˈmɑːkɪdli/ (adv): rõ ràng, rõ rệt, đáng kể | C. permissibly /pəˈmɪsəbli/ (adv): chấp nhận được, dùng được | D. intimately /ɪntɪmətli/ (adv): thân mật, tường tận, sâu sắc. Tạm dịch: Phần mềm mới được phát triển đã thành công đáng kể vì phải mất ít thời gian hơn cho nhân viên tiếp tân xử lý đơn đặt hàng so với phương pháp thông thường."
12,"Thanks to the executive director's scheme of choosing a famous singer as a brand ambassador, the revenue of his company has _____ increased and is estimated to exceed $10 billion dollars in 2019.",intriguingly,widely,amply,considerably,D,"A. intriguingly /ɪnˈtriːɡɪŋli/ (adv): hấp dẫn, kích thích sự tò mò | B. widely /'waɪdli/ (adv): rộng rãi, khắp nơi | C. amply /‘æmpli/ (adv): dư dả, đầy đủ | D. considerably /kənˈsɪdərəbli/ (adv): đáng kể, lớn lao, nhiều. Tạm dịch: Nhờ kế hoạch của giám đốc điều hành về việc chọn một ca sĩ nổi tiếng làm đại sứ thương hiệu, doanh thu của công ty ông ấy đã tăng đáng kể và ước tính vượt quá 10 tỷ đô la vào năm 2019."
