id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Thanks to the women's liberation women can take part in _____ activities.",social,society,socially,socialize,A,"A. social /ˈsəʊʃl/ (a): thuộc xã hội | B. society /səˈsaɪəti/ (n): xã hội | C. socially/ˈsəʊʃəli/ (adv): có tính chất xã hội | D. socialize/ˈsəʊʃəlaɪz/ (v): xã hội hóa, hòa nhập Trước danh từ ""activities"" ta cần một tính từ. Tạm dịch: Nhờ có sự giải phóng tự do cho phụ nữ mà phụ nữ có thể tham gia vào các hoạt động xã hội."
2,"In former days, women were considered not to be suitable for becoming a _____.",politics,political,politically,politician,D,"A. politics /'pɒlətɪks/ (n): chính trị học | B. political /pə'lɪtɪkəl/ (a): thuộc về chính trị | C. politically /pə'lɪtɪkəli/ (adv): về mặt chính trị | D. politician /'pɒlɪ'tɪʃən/ (n): chính trị gia Sau mạo từ ""a"" cần một danh từ nên ta loại phương án B, | C. Căn cứ vào nghĩa của câu ta chọn | D. Tạm dịch: Trước đây phụ nữ từng được cho là không phù hợp để trở thành chính trị gia."
3,"If you have the _____ in an election, you have the legal right to indicate your choice.",status,individual,vote,equality,C,"A. status /'steɪtəs/ (n): địa vị | B. individual/ɪdɪ'vɪdʒuəl/ (a): cá nhân | C. vote /vəʊt/ (n): phiếu bầu, sự bỏ phiếu | D. equality /i'kwɒləti/ (n): sự công bằng. Tạm dịch: Nếu bạn có phiếu bầu trong một cuộc bầu cử, bạn có quyền hợp pháp đưa ra lựa chọn của bạn."
4,"When a woman works outside the home and makes money herself, she is _____ independent from her husband.",financially,politically,philosophically,variously,A,"A. financially /faɪˈnænʃəli/ (adv): về mặt tài chính | B. politically /pə'lɪtɪkəli/ (adv): về mặt chính trị | C. philosophically ˌfɪləˈsɒfɪkli/ (adv): về mặt triết học | D. variously /'veəriəsli/ (adv): đa dạng. Tạm dịch: Khi một người phụ nữ làm việc ở bên ngoài và tự kiếm ra tiền, cô ấy độc lập về tài chính với chồng mình."
5,"Not all women can do two jobs well at the same time: _____ children and working at office.",educating,rearing,homemaking,giving a birth,B,A. educating /ˈedʒukeɪtɪŋ / (v-ing): giáo dục | B. rearing /rɪərɪŋ/ (v-ing): nuôi dạy (con cái) | C. homemaking /ˈhəʊmmeɪkɪŋ/ (n): việc nội trợ | D. giving a birth: sinh con. Tạm dịch: Không phải tất cả phụ nữ đều có thể làm tốt hai công việc cùng một lúc đó là nuôi dạy con và làm việc ở văn phòng.
6,"It is considered that women are suited for _____ childbearing and homemaking rather than social activities.",a,an,the,Ø (no article),D,Cấu trúc: tobe suited for st: phù hợp cho cái gì. Tạm dịch: Người ta cho rằng phụ nữ chỉ phù hợp với việc sinh con và làm nội trợ hơn là tham gia các hoạt động xã hội.
7,"Farming had been invented by women, not by men, and _____ agriculture remained the women's responsibility.",a,an,the,no article,D,"""Agriculture"" là danh từ chung nên không sử dụng mạo từ. Tạm dịch: Nghề nông được phát minh bởi phụ nữ chứ không phải đàn ông và nông nghiệp vẫn là trách nhiệm của phụ nữ."
8,"Although I did not totally agree _____ feminist's policies, I certainly admired their audacity, dedication and courage.",for,with,along,up,B,"Cấu trúc: agree with sb on/upon st: đồng ý với ai về điều gì. Tạm dịch: Mặc dù tôi không hoàn toàn đồng ý với các chính sách của các nhà bênh vực nữ quyền, tôi rất ngưỡng mộ sự mạnh dạn, sự tận tâm và sự dũng cảm của họ."
9,"For approximately the last 100 years women have been fighting for the same rights as men, especially around the turn from 19th to 20th century with the struggle for women's _____.",vote,suffrage,politician,work,B,"A. vote /vəʊt/ (n): phiếu bầu, sự bỏ phiếu | B. suffrage /ˈsʌfrɪdʒ/ (n): quyền đi bầu cử | C. politician /'pɒlɪ'tɪʃən/ (n): chính trị gia | D. work /wɜːk/ (n): công việc. Tạm dịch: ước tính trong khoảng 100 năm qua phụ nữ đã đấu tranh cho những quyền bình đẳng như đàn ông, đặc biệt trong giai đoạn chuyển từ thế kỉ 19 sang thế kỉ 20 với sự đấu tranh cho quyền đi bầu cử của phụ nữ."
10,"In theory, _____ is the belief that a woman should have the right to make her own decisions.",feminist,feminism,feminine,feminists,B,"A. feminist /'femɪnɪst/ (n): nhà bênh vực nữ quyền | B. feminism /'femɪmzəm/ (n): phong trào đấu tranh cho quyền phụ nữ | C. feminine /'femɪnɪn/ (a): thuộc/như đàn bà | D. feminists /'femɪnɪsts/ (n): những nhà bênh vực phụ nữ. Tạm dịch: về mặt lý thuyết, phong trào đấu tranh cho quyền phụ nữ là niềm tin rằng phụ nữ nên có quyền lợi để tự đưa ra những quyết định của riêng mình."
