id,cau_hoi,A,B,C,D,dap_an,giai_thich
1,"Dinosaurs have been _________ for millions of years.",endangered,extinct,threatened,disappeared,B,"A. endangered /ɪn'deɪndʒəd/ (a): bị nguy hiểm | B. extinct /ɪk'stɪŋkt/ (a): tuyệt chủng | C. threatened /'θretənd/ (a): bị đe dọa | D. disappeared /ˌdɪsə'pɪəd/ (a): bị biến mất. Tạm dịch: Các loài khủng long đã bị tuyệt chủng từ hàng triệu năm trước."
2,"It is predicted that over the next few decades many species will die _________ as once fertile areas turn to desert.",of,out,away,down,B,"A. die of: chết vì bệnh gì | B. die out: tuyệt chủng | C. die away: nhỏ dần, tắt dần | D. die down: nhỏ lại, bé lại. Tạm dịch: Người ta dự báo rằng khoảng vài thập kỷ nữa nhiều loài động thực vật sẽ tuyệt chủng ngay khi những vùng đất màu mỡ biến thành hoang mạc."
3,"All the different plants and animals in a natural community are in a _________ of balance.",state,status,situation,position,A,"A. state /steɪt/ (n): trạng thái | B. status /'steɪtəs/ (n): địa vị | C. situation /ˌsɪtʃu'eɪʃn/ (n): tình huống | D. position /pə'zɪʃn/ (n): vị trí. In a state of balance: ở trạng thái cân bằng. Tạm dịch: Tất cả các loài động thực vật khác nhau sống trong cùng một quần xã đang ở trong trạng thái cân bằng."
4,"The tiger is _________ of extinction. It is difficult to find them in the wild.",on the wing,on the rocks,on the verge,on the ground,C,"A. on the wing: đang bay | B. on the rocks: có khả năng thất bại | C. on the verge: trên bờ vực | D. on the ground: trong dân chúng, trong nội bộ dân chúng. Tạm dịch: Loài hổ đang đứng trên bờ vực tuyệt chủng. Rất khó để chúng ta có thể tìm thấy chúng trong thế giới hoang dã."
5,"Many companies do not want to spend too much on waste _________ as the cost is really high.",discharge,release,rid,disposal,D,"A. discharge /dɪs'tʃɑːdʒ/ (v): thả (người tù), cho về (người bệnh) | B. release /rɪ'liːs/ (v): phóng sinh, giải phóng | C. rid /rɪd/ (v): giải thoát, loại bỏ | D. disposal /dɪ'spəʊzl/ (n): sự vứt bỏ. Waste disposal: sự loại bỏ rác thải, sự xử lý rác thải. Tạm dịch: Nhiều công ty không muốn chi quá nhiều tiền cho việc xử lý chất thải vì chi phí thực tế cao."
6,"Many plants and endangered species are now endangering of _________.",expression,expulsion,extinction,extension,C,"A. expression /ɪk'spreʃn/ (n): sự bày tỏ | B. expulsion /ɪk'spʌlʃn/ (n): sự đuổi, sự trục xuất | C. extinction /ɪk'stɪŋktʃn/ (n): sự tuyệt chủng | D. extension /ɪk'stenʃn/ (n): sự mở rộng. Tạm dịch: Nhiều loài động thực vật đang đứng trước nguy cơ tuyệt chủng."
7,"Endangered species not only need species measures but also extra protection in order to _________.",survival,survive,surviving,survived,B,"A. survival /sə'vaɪvəl/ (v): sự tồn tại | B. survive /sə'vaɪv/ (v): tồn tại | C. surviving (V-ing) | D. survived (V-ed). Cấu trúc: in order to V-infi: để làm gì. Tạm dịch: Các loài có nguy cơ tuyệt chủng không chỉ cần những biện pháp pháp lý mà còn cần thêm sự bảo vệ để tồn tại."
8,"Different kinds of animals have appeared and disappeared _________ Earth's history.",during,throughout,within,through,B,"Tạm dịch: Các loại động vật khác nhau đã xuất hiện và biến mất trong suốt lịch sử của Trái Đất."
9,"Some animals go _________ because the climate where they live changes.",extinct,extinction,extinctive,dead,A,"A. extinct /ɪk'stɪŋkt/ (a): tuyệt chủng | B. extinction /ɪk'stɪŋktʃn/ (n): sự tuyệt chủng | C. extinctive /ɪks'tɪŋktɪv/ (a): để dập tắt; để làm tan vỡ; làm mất đi | D. dead /ded/ (a): chết. Tạm dịch: Một vài loài động vật bị tuyệt chủng bởi vì khí hậu nơi chúng sống thay đổi."
10,"The climate may become wetter or drier. It may become warmer or cooler. If the animals cannot change or _________ to the new climate, they will die.",adapt,adopt,evolve,resolve,A,"A. adapt /ə'dæpt/ (v): thích nghi | B. adopt /ə'dɒpt/ (v): chấp nhận | C. evolve /ɪ'vɒlv/ (v): tiến hóa | D. resolve /rɪ'zɒlv/ (v): giải quyết. Tạm dịch: Khí hậu có thể trở nên ẩm hơn hoặc khô hơn. Nó cũng có thể trở nên nóng hơn hoặc lạnh hơn. Nếu các loài động vật không thể thay đổi hoặc thích nghi với khí hậu mới, chúng sẽ chết."
